! 62Fe energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000151527	0.001000	0.000151527	0.001000	0.000135904	0.001000	0.000135904	0.001000	0.000135913	0.001000	3.80596e-05	0.001000	0.000113467	
0.002000	0.000147291	0.002000	0.000147291	0.002000	0.000129662	0.002000	0.000129662	0.002000	0.000129669	0.002000	4.93571e-05	0.002000	9.79336e-05	
0.005000	0.000139287	0.005000	0.000139287	0.005000	0.000119857	0.005000	0.000119857	0.005000	0.00011986	0.005000	6.95949e-05	0.005000	6.96917e-05	
0.008000	0.000138271	0.008000	0.000138271	0.008000	0.000118716	0.008000	0.000118716	0.008000	0.000118718	0.008000	8.30085e-05	0.008000	5.52622e-05	
0.010000	0.000139178	0.010000	0.000139178	0.010000	0.000119867	0.010000	0.000119867	0.010000	0.000119869	0.010000	9.02534e-05	0.010000	4.89242e-05	
0.015000	0.000143629	0.015000	0.000143629	0.015000	0.00012544	0.015000	0.00012544	0.015000	0.000125442	0.015000	0.000105075	0.015000	3.85541e-05	
0.020000	0.000149224	0.020000	0.000149224	0.020000	0.000132507	0.020000	0.000132507	0.020000	0.000132508	0.020000	0.000117044	0.020000	3.21797e-05	
0.025000	0.000155065	0.025000	0.000155065	0.025000	0.000139975	0.025000	0.000139975	0.025000	0.000139976	0.025000	0.00012726	0.025000	2.78057e-05	
0.030000	0.000160856	0.030000	0.000160856	0.030000	0.000147466	0.030000	0.000147466	0.030000	0.000147467	0.030000	0.000136265	0.030000	2.45912e-05	
0.035000	0.000173912	0.035000	0.000173912	0.035000	0.000159248	0.035000	0.000159248	0.035000	0.000159248	0.035000	0.000151797	0.035000	2.21149e-05	
0.040000	0.000192239	0.040000	0.000192239	0.040000	0.000175128	0.040000	0.000175128	0.040000	0.000175129	0.040000	0.000172099	0.040000	2.01408e-05	
0.045000	0.000209129	0.045000	0.000209129	0.045000	0.000191193	0.045000	0.000191193	0.045000	0.000191194	0.045000	0.000190775	0.045000	1.83535e-05	
0.050000	0.000225143	0.050000	0.000225143	0.050000	0.000207656	0.050000	0.000207656	0.050000	0.000207657	0.050000	0.000208124	0.050000	1.70195e-05	
0.055000	0.00024035	0.055000	0.00024035	0.055000	0.000224216	0.055000	0.000224216	0.055000	0.000224216	0.055000	0.000224466	0.055000	1.58845e-05	
0.060000	0.000254969	0.060000	0.000254969	0.060000	0.000240782	0.060000	0.000240782	0.060000	0.000240783	0.060000	0.000240063	0.060000	1.49058e-05	
0.070000	0.000282973	0.070000	0.000282973	0.070000	0.000273656	0.070000	0.000273656	0.070000	0.000273657	0.070000	0.000269673	0.070000	1.33003e-05	
0.080000	0.000309721	0.080000	0.000309721	0.080000	0.00030582	0.080000	0.00030582	0.080000	0.00030582	0.080000	0.000297686	0.080000	1.20349e-05	
0.090000	0.000335313	0.090000	0.000335313	0.090000	0.000336944	0.090000	0.000336944	0.090000	0.000336944	0.090000	0.000324304	0.090000	1.1009e-05	
0.100000	0.000365454	0.100000	0.000365454	0.100000	0.000366794	0.100000	0.000366794	0.100000	0.000366795	0.100000	0.000355296	0.100000	1.01588e-05	
0.120000	0.000425593	0.120000	0.000425593	0.120000	0.000422096	0.120000	0.000422096	0.120000	0.000422096	0.120000	0.000416766	0.120000	8.82713e-06	
0.140000	0.000478643	0.140000	0.000478643	0.140000	0.000471091	0.140000	0.000471091	0.140000	0.000471091	0.140000	0.000470815	0.140000	7.82806e-06	
0.160000	0.000524975	0.160000	0.000524975	0.160000	0.000513766	0.160000	0.000513766	0.160000	0.000513767	0.160000	0.000517927	0.160000	7.0481e-06	
0.180000	0.000565308	0.180000	0.000565308	0.180000	0.000550484	0.180000	0.000550484	0.180000	0.000550485	0.180000	0.000558888	0.180000	6.42066e-06	
0.200000	0.000600439	0.200000	0.000600439	0.200000	0.000581808	0.200000	0.000581808	0.200000	0.000581809	0.200000	0.000594535	0.200000	5.90392e-06	
0.250000	0.000686232	0.250000	0.000686232	0.250000	0.000640773	0.250000	0.000640773	0.250000	0.000640774	0.250000	0.000681297	0.250000	4.93549e-06	
0.300000	0.000749631	0.300000	0.000749631	0.300000	0.000679604	0.300000	0.000679604	0.300000	0.000679605	0.300000	0.000745373	0.300000	4.25749e-06	
0.350000	0.000796276	0.350000	0.000796276	0.350000	0.000715833	0.350000	0.000715833	0.350000	0.000715834	0.350000	0.000792522	0.350000	3.75406e-06	
0.400000	0.000835861	0.400000	0.000835861	0.400000	0.000747694	0.400000	0.000747694	0.400000	0.000747695	0.400000	0.000832497	0.400000	3.36422e-06	
0.450000	0.000882144	0.450000	0.000882144	0.450000	0.000771003	0.450000	0.000771003	0.450000	0.000771004	0.450000	0.000879092	0.450000	3.05269e-06	
0.500000	0.000918834	0.500000	0.000918834	0.500000	0.00078847	0.500000	0.00078847	0.500000	0.00078847	0.500000	0.000916036	0.500000	2.79755e-06	
0.600000	0.000971039	0.600000	0.000971039	0.600000	0.000812235	0.600000	0.000812235	0.600000	0.000812236	0.600000	0.000968636	0.600000	2.40359e-06	
0.700000	0.00100295	0.700000	0.00100295	0.700000	0.000826853	0.700000	0.000826853	0.700000	0.000826853	0.700000	0.00100084	0.700000	2.11261e-06	
0.800000	0.00101733	0.800000	0.00101733	0.800000	0.000835862	0.800000	0.000835862	0.800000	0.000835863	0.800000	0.00101544	0.800000	1.88824e-06	
0.900000	0.00102374	0.900000	0.00102374	0.900000	0.000841057	0.900000	0.000841057	0.900000	0.000841057	0.900000	0.00102203	0.900000	1.70957e-06	
