! 65Co energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000158148	0.001000	0.000158148	0.001000	0.000139057	0.001000	0.000139057	0.001000	0.000139066	0.001000	3.99805e-05	0.001000	0.000118167	
0.002000	0.000154416	0.002000	0.000154416	0.002000	0.000132109	0.002000	0.000132109	0.002000	0.000132116	0.002000	5.18482e-05	0.002000	0.000102568	
0.005000	0.000146612	0.005000	0.000146612	0.005000	0.000120211	0.005000	0.000120211	0.005000	0.000120215	0.005000	7.31074e-05	0.005000	7.35047e-05	
0.008000	0.000145661	0.008000	0.000145661	0.008000	0.000117542	0.008000	0.000117542	0.008000	0.000117545	0.008000	8.7198e-05	0.008000	5.84634e-05	
0.010000	0.000146633	0.010000	0.000146633	0.010000	0.000117877	0.010000	0.000117877	0.010000	0.000117879	0.010000	9.48086e-05	0.010000	5.18248e-05	
0.015000	0.000151303	0.015000	0.000151303	0.015000	0.000121821	0.015000	0.000121821	0.015000	0.000121822	0.015000	0.000110378	0.015000	4.09247e-05	
0.020000	0.000157154	0.020000	0.000157154	0.020000	0.000127613	0.020000	0.000127613	0.020000	0.000127614	0.020000	0.000122952	0.020000	3.42021e-05	
0.025000	0.000163262	0.025000	0.000163262	0.025000	0.000134015	0.025000	0.000134015	0.025000	0.000134017	0.025000	0.000133683	0.025000	2.95797e-05	
0.030000	0.00016932	0.030000	0.00016932	0.030000	0.000140581	0.030000	0.000140581	0.030000	0.000140582	0.030000	0.000143142	0.030000	2.61777e-05	
0.035000	0.00017787	0.035000	0.00017787	0.035000	0.000148913	0.035000	0.000148913	0.035000	0.000148913	0.035000	0.000154316	0.035000	2.35542e-05	
0.040000	0.000195809	0.040000	0.000195809	0.040000	0.000164522	0.040000	0.000164522	0.040000	0.000164523	0.040000	0.000174348	0.040000	2.14608e-05	
0.045000	0.000212267	0.045000	0.000212267	0.045000	0.000180429	0.045000	0.000180429	0.045000	0.00018043	0.045000	0.000192705	0.045000	1.95614e-05	
0.050000	0.000227857	0.050000	0.000227857	0.050000	0.000196858	0.050000	0.000196858	0.050000	0.000196858	0.050000	0.000209711	0.050000	1.81459e-05	
0.055000	0.000242648	0.055000	0.000242648	0.055000	0.000213472	0.055000	0.000213472	0.055000	0.000213473	0.055000	0.000225707	0.055000	1.69409e-05	
0.060000	0.000256866	0.060000	0.000256866	0.060000	0.000230172	0.060000	0.000230172	0.060000	0.000230173	0.060000	0.000240965	0.060000	1.59012e-05	
0.070000	0.00028414	0.070000	0.00028414	0.070000	0.000263507	0.070000	0.000263507	0.070000	0.000263507	0.070000	0.000269945	0.070000	1.41946e-05	
0.080000	0.000310264	0.080000	0.000310264	0.080000	0.000296335	0.080000	0.000296335	0.080000	0.000296336	0.080000	0.000297416	0.080000	1.28485e-05	
0.090000	0.000335344	0.090000	0.000335344	0.090000	0.000328277	0.090000	0.000328277	0.090000	0.000328277	0.090000	0.000323587	0.090000	1.17567e-05	
0.100000	0.000361616	0.100000	0.000361616	0.100000	0.000359058	0.100000	0.000359058	0.100000	0.000359058	0.100000	0.000350764	0.100000	1.08513e-05	
0.120000	0.000425551	0.120000	0.000425551	0.120000	0.000416434	0.120000	0.000416434	0.120000	0.000416435	0.120000	0.000416118	0.120000	9.43255e-06	
0.140000	0.000482355	0.140000	0.000482355	0.140000	0.00046764	0.140000	0.00046764	0.140000	0.000467641	0.140000	0.000473987	0.140000	8.36754e-06	
0.160000	0.000532231	0.160000	0.000532231	0.160000	0.000512537	0.160000	0.000512537	0.160000	0.000512538	0.160000	0.000524695	0.160000	7.53571e-06	
0.180000	0.000575825	0.180000	0.000575825	0.180000	0.00055141	0.180000	0.00055141	0.180000	0.000551411	0.180000	0.000568959	0.180000	6.86629e-06	
0.200000	0.000613911	0.200000	0.000613911	0.200000	0.000584779	0.200000	0.000584779	0.200000	0.000584779	0.200000	0.000607596	0.200000	6.31482e-06	
0.250000	0.000700303	0.250000	0.000700303	0.250000	0.000648251	0.250000	0.000648251	0.250000	0.000648252	0.250000	0.000695022	0.250000	5.28085e-06	
0.300000	0.000767036	0.300000	0.000767036	0.300000	0.000690733	0.300000	0.000690733	0.300000	0.000690734	0.300000	0.00076248	0.300000	4.55663e-06	
0.350000	0.00081649	0.350000	0.00081649	0.350000	0.000730675	0.350000	0.000730675	0.350000	0.000730676	0.350000	0.000812471	0.350000	4.01868e-06	
0.400000	0.000853586	0.400000	0.000853586	0.400000	0.000764926	0.400000	0.000764926	0.400000	0.000764927	0.400000	0.000849984	0.400000	3.60199e-06	
