! 67Ni energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000164638	0.001000	0.000164638	0.001000	0.000145935	0.001000	0.000145935	0.001000	0.000145944	0.001000	4.19008e-05	0.001000	0.000122737	
0.002000	0.000161468	0.002000	0.000161468	0.002000	0.000139935	0.002000	0.000139935	0.002000	0.000139942	0.002000	5.43387e-05	0.002000	0.00010713	
0.005000	0.000153932	0.005000	0.000153932	0.005000	0.00012918	0.005000	0.00012918	0.005000	0.000129184	0.005000	7.6619e-05	0.005000	7.73128e-05	
0.008000	0.000153066	0.008000	0.000153066	0.008000	0.000127287	0.008000	0.000127287	0.008000	0.00012729	0.008000	9.13864e-05	0.008000	6.16798e-05	
0.010000	0.000154109	0.010000	0.000154109	0.010000	0.000128097	0.010000	0.000128097	0.010000	0.000128099	0.010000	9.93625e-05	0.010000	5.47464e-05	
0.015000	0.000159001	0.015000	0.000159001	0.015000	0.000133157	0.015000	0.000133157	0.015000	0.000133159	0.015000	0.00011568	0.015000	4.33219e-05	
0.020000	0.000165109	0.020000	0.000165109	0.020000	0.000139985	0.020000	0.000139985	0.020000	0.000139986	0.020000	0.000128857	0.020000	3.62522e-05	
0.025000	0.000171485	0.025000	0.000171485	0.025000	0.000147357	0.025000	0.000147357	0.025000	0.000147358	0.025000	0.000140104	0.025000	3.13809e-05	
0.030000	0.000177808	0.030000	0.000177808	0.030000	0.000154836	0.030000	0.000154836	0.030000	0.000154837	0.030000	0.000150018	0.030000	2.77905e-05	
0.035000	0.000183964	0.035000	0.000183964	0.035000	0.000162243	0.035000	0.000162243	0.035000	0.000162244	0.035000	0.000158945	0.035000	2.50187e-05	
0.040000	0.000201396	0.040000	0.000201396	0.040000	0.000177372	0.040000	0.000177372	0.040000	0.000177373	0.040000	0.000178591	0.040000	2.28051e-05	
0.045000	0.000219427	0.045000	0.000219427	0.045000	0.000194136	0.045000	0.000194136	0.045000	0.000194136	0.045000	0.000198436	0.045000	2.09909e-05	
0.050000	0.000236202	0.050000	0.000236202	0.050000	0.000211012	0.050000	0.000211012	0.050000	0.000211013	0.050000	0.000216908	0.050000	1.9294e-05	
0.055000	0.00025235	0.055000	0.00025235	0.055000	0.000228248	0.055000	0.000228248	0.055000	0.000228249	0.055000	0.000234331	0.055000	1.80181e-05	
0.060000	0.000267889	0.060000	0.000267889	0.060000	0.000245544	0.060000	0.000245544	0.060000	0.000245545	0.060000	0.000250972	0.060000	1.69168e-05	
0.070000	0.000297679	0.070000	0.000297679	0.070000	0.000279995	0.070000	0.000279995	0.070000	0.000279995	0.070000	0.000282572	0.070000	1.51077e-05	
0.080000	0.00032614	0.080000	0.00032614	0.080000	0.000313842	0.080000	0.000313842	0.080000	0.000313843	0.080000	0.00031246	0.080000	1.36798e-05	
0.090000	0.000353365	0.090000	0.000353365	0.090000	0.000346713	0.090000	0.000346713	0.090000	0.000346714	0.090000	0.000340844	0.090000	1.25209e-05	
0.100000	0.000379312	0.100000	0.000379312	0.100000	0.000378337	0.100000	0.000378337	0.100000	0.000378338	0.100000	0.000367753	0.100000	1.15595e-05	
