! 70Cu energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000171087	0.001000	0.000171087	0.001000	0.000150919	0.001000	0.000150919	0.001000	0.000150928	0.001000	4.37274e-05	0.001000	0.000127359	
0.002000	0.000168458	0.002000	0.000168458	0.002000	0.000145068	0.002000	0.000145068	0.002000	0.000145074	0.002000	5.67075e-05	0.002000	0.00011175	
0.005000	0.000161146	0.005000	0.000161146	0.005000	0.000133864	0.005000	0.000133864	0.005000	0.000133868	0.005000	7.99591e-05	0.005000	8.11865e-05	
0.008000	0.00016033	0.008000	0.00016033	0.008000	0.000131591	0.008000	0.000131591	0.008000	0.000131594	0.008000	9.53702e-05	0.008000	6.49595e-05	
0.010000	0.000161423	0.010000	0.000161423	0.010000	0.000132224	0.010000	0.000132224	0.010000	0.000132227	0.010000	0.000103694	0.010000	5.77286e-05	
0.015000	0.000166496	0.015000	0.000166496	0.015000	0.000137011	0.015000	0.000137011	0.015000	0.000137013	0.015000	0.000120723	0.015000	4.57732e-05	
0.020000	0.000172826	0.020000	0.000172826	0.020000	0.000143703	0.020000	0.000143703	0.020000	0.000143704	0.020000	0.000134475	0.020000	3.8351e-05	
0.025000	0.000179438	0.025000	0.000179438	0.025000	0.000151013	0.025000	0.000151013	0.025000	0.000151014	0.025000	0.000146212	0.025000	3.32264e-05	
0.030000	0.000186002	0.030000	0.000186002	0.030000	0.000158473	0.030000	0.000158473	0.030000	0.000158474	0.030000	0.000156558	0.030000	2.9444e-05	
0.035000	0.000192395	0.035000	0.000192395	0.035000	0.000165888	0.035000	0.000165888	0.035000	0.000165889	0.035000	0.000165874	0.035000	2.65208e-05	
0.040000	0.0002055 	0.040000	0.0002055 	0.040000	0.00017805	0.040000	0.00017805	0.040000	0.000178051	0.040000	0.000181316	0.040000	2.41844e-05	
0.045000	0.000223974	0.045000	0.000223974	0.045000	0.000195026	0.045000	0.000195026	0.045000	0.000195027	0.045000	0.000201705	0.045000	2.22683e-05	
0.050000	0.00024118	0.050000	0.00024118	0.050000	0.000212147	0.050000	0.000212147	0.050000	0.000212148	0.050000	0.000220707	0.050000	2.04724e-05	
0.055000	0.000257769	0.055000	0.000257769	0.055000	0.000229677	0.055000	0.000229677	0.055000	0.000229678	0.055000	0.000238645	0.055000	1.91242e-05	
0.060000	0.000273745	0.060000	0.000273745	0.060000	0.000247296	0.060000	0.000247296	0.060000	0.000247297	0.060000	0.000255785	0.060000	1.79597e-05	
0.070000	0.000304392	0.070000	0.000304392	0.070000	0.00028246	0.070000	0.00028246	0.070000	0.00028246	0.070000	0.000288346	0.070000	1.60458e-05	
0.080000	0.000333681	0.080000	0.000333681	0.080000	0.000317084	0.080000	0.000317084	0.080000	0.000317085	0.080000	0.000319146	0.080000	1.45341e-05	
0.090000	0.000361702	0.090000	0.000361702	0.090000	0.000350772	0.090000	0.000350772	0.090000	0.000350772	0.090000	0.000348395	0.090000	1.33066e-05	
0.100000	0.000388408	0.100000	0.000388408	0.100000	0.000383234	0.100000	0.000383234	0.100000	0.000383235	0.100000	0.00037612	0.100000	1.22878e-05	
