! 77Ge energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.00016252	0.001000	0.000189549	0.001000	0.000160447	0.001000	0.000160447	0.001000	0.000160457	0.001000	4.87295e-05	0.001000	0.00014082	
0.002000	0.000165608	0.002000	0.000188616	0.002000	0.000153178	0.002000	0.000153178	0.002000	0.000153185	0.002000	6.31944e-05	0.002000	0.000125422	
0.005000	0.000167236	0.005000	0.000181994	0.005000	0.000136772	0.005000	0.000136772	0.005000	0.000136777	0.005000	8.91058e-05	0.005000	9.28884e-05	
0.008000	0.000171185	0.008000	0.000181238	0.008000	0.000130466	0.008000	0.000130466	0.008000	0.00013047	0.008000	0.00010628	0.008000	7.49582e-05	
0.010000	0.000174566	0.010000	0.000182412	0.010000	0.000128916	0.010000	0.000128916	0.010000	0.000128918	0.010000	0.000115556	0.010000	6.6856e-05	
0.015000	0.000183886	0.015000	0.000187855	0.015000	0.000129329	0.015000	0.000129329	0.015000	0.000129331	0.015000	0.000134532	0.015000	5.33227e-05	
0.020000	0.000193343	0.020000	0.000194697	0.020000	0.000132604	0.020000	0.000132604	0.020000	0.000132605	0.020000	0.000149858	0.020000	4.48392e-05	
0.025000	0.000202478	0.025000	0.000201884	0.025000	0.00013707	0.025000	0.00013707	0.025000	0.000137071	0.025000	0.000162937	0.025000	3.89467e-05	
0.030000	0.000211184	0.030000	0.000209046	0.030000	0.000142068	0.030000	0.000142068	0.030000	0.000142069	0.030000	0.000174467	0.030000	3.45792e-05	
0.035000	0.000223672	0.035000	0.000216043	0.035000	0.000147294	0.035000	0.000147294	0.035000	0.000147295	0.035000	0.000184849	0.035000	3.11933e-05	
