! 82Se energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000201444	0.001000	0.000201444	0.001000	0.000174828	0.001000	0.000174828	0.001000	0.000174838	0.001000	5.18123e-05	0.001000	0.000149632	
0.002000	0.000201687	0.002000	0.000201687	0.002000	0.000170126	0.002000	0.000170126	0.002000	0.000170134	0.002000	6.71923e-05	0.002000	0.000134494	
0.005000	0.000195552	0.005000	0.000195552	0.005000	0.000157145	0.005000	0.000157145	0.005000	0.00015715	0.005000	9.47429e-05	0.005000	0.000100809	
0.008000	0.000194792	0.008000	0.000194792	0.008000	0.000153048	0.008000	0.000153048	0.008000	0.000153051	0.008000	0.000113003	0.008000	8.17889e-05	
0.010000	0.000195983	0.010000	0.000195983	0.010000	0.000152786	0.010000	0.000152786	0.010000	0.000152789	0.010000	0.000122866	0.010000	7.31163e-05	
0.015000	0.000201578	0.015000	0.000201578	0.015000	0.000156108	0.015000	0.000156108	0.015000	0.000156111	0.015000	0.000143043	0.015000	5.85344e-05	
0.020000	0.000208674	0.020000	0.000208674	0.020000	0.000162005	0.020000	0.000162005	0.020000	0.000162006	0.020000	0.000159338	0.020000	4.93363e-05	
0.025000	0.000216168	0.025000	0.000216168	0.025000	0.000168889	0.025000	0.000168889	0.025000	0.000168891	0.025000	0.000173245	0.025000	4.29226e-05	
0.030000	0.00022366	0.030000	0.00022366	0.030000	0.000176145	0.030000	0.000176145	0.030000	0.000176147	0.030000	0.000185504	0.030000	3.81558e-05	
0.035000	0.000230996	0.035000	0.000230996	0.035000	0.000183498	0.035000	0.000183498	0.035000	0.000183499	0.035000	0.000196543	0.035000	3.44529e-05	
