! 86Kr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000212832	0.001000	0.000212832	0.001000	0.000186319	0.001000	0.000186319	0.001000	0.000186329	0.001000	5.46139e-05	0.001000	0.000158218	
0.002000	0.000214273	0.002000	0.000214273	0.002000	0.000183187	0.002000	0.000183187	0.002000	0.000183195	0.002000	7.08254e-05	0.002000	0.000143448	
0.005000	0.000208631	0.005000	0.000208631	0.005000	0.000171595	0.005000	0.000171595	0.005000	0.0001716 	0.005000	9.98658e-05	0.005000	0.000108765	
0.008000	0.00020782	0.008000	0.00020782	0.008000	0.00016818	0.008000	0.00016818	0.008000	0.000168183	0.008000	0.000119114	0.008000	8.8706e-05	
0.010000	0.000208988	0.010000	0.000208988	0.010000	0.000168332	0.010000	0.000168332	0.010000	0.000168335	0.010000	0.00012951	0.010000	7.94779e-05	
0.015000	0.000214638	0.015000	0.000214638	0.015000	0.000172683	0.015000	0.000172683	0.015000	0.000172685	0.015000	0.000150778	0.015000	6.38601e-05	
0.020000	0.000221901	0.020000	0.000221901	0.020000	0.000179605	0.020000	0.000179605	0.020000	0.000179607	0.020000	0.000167954	0.020000	5.39477e-05	
0.025000	0.000229622	0.025000	0.000229622	0.025000	0.000187498	0.025000	0.000187498	0.025000	0.000187499	0.025000	0.000182612	0.025000	4.70093e-05	
0.030000	0.000237373	0.030000	0.000237373	0.030000	0.000195736	0.030000	0.000195736	0.030000	0.000195737	0.030000	0.000195534	0.030000	4.18388e-05	
0.035000	0.000244985	0.035000	0.000244985	0.035000	0.000204042	0.035000	0.000204042	0.035000	0.000204043	0.035000	0.000207171	0.035000	3.78142e-05	
0.040000	0.000252388	0.040000	0.000252388	0.040000	0.000212284	0.040000	0.000212284	0.040000	0.000212285	0.040000	0.000217809	0.040000	3.45792e-05	
0.045000	0.000259559	0.045000	0.000259559	0.045000	0.000220398	0.045000	0.000220398	0.045000	0.000220399	0.045000	0.000227645	0.045000	3.19139e-05	
0.050000	0.000266545	0.050000	0.000266545	0.050000	0.000228402	0.050000	0.000228402	0.050000	0.000228403	0.050000	0.000236871	0.050000	2.96744e-05	
0.055000	0.000284715	0.055000	0.000284715	0.055000	0.000247764	0.055000	0.000247764	0.055000	0.000247765	0.055000	0.000256953	0.055000	2.77627e-05	
0.060000	0.000302065	0.060000	0.000302065	0.060000	0.000267145	0.060000	0.000267145	0.060000	0.000267145	0.060000	0.000276203	0.060000	2.58621e-05	
0.070000	0.000336074	0.070000	0.000336074	0.070000	0.000306768	0.070000	0.000306768	0.070000	0.000306769	0.070000	0.000312902	0.070000	2.31719e-05	
0.080000	0.000368783	0.080000	0.000368783	0.080000	0.000346225	0.080000	0.000346225	0.080000	0.000346226	0.080000	0.000347746	0.080000	2.10367e-05	
0.090000	0.000400235	0.090000	0.000400235	0.090000	0.000384973	0.090000	0.000384973	0.090000	0.000384974	0.090000	0.000380939	0.090000	1.92962e-05	
0.100000	0.000430345	0.100000	0.000430345	0.100000	0.000422618	0.100000	0.000422618	0.100000	0.000422619	0.100000	0.000412498	0.100000	1.78472e-05	
0.120000	0.000486282	0.120000	0.000486282	0.120000	0.000493548	0.120000	0.000493548	0.120000	0.000493549	0.120000	0.000470716	0.120000	1.55656e-05	
0.140000	0.000536521	0.140000	0.000536521	0.140000	0.00055769	0.140000	0.00055769	0.140000	0.00055769	0.140000	0.000522677	0.140000	1.38442e-05	
0.160000	0.000596784	0.160000	0.000596784	0.160000	0.000614642	0.160000	0.000614642	0.160000	0.000614643	0.160000	0.000584289	0.160000	1.24943e-05	
0.180000	0.0006538 	0.180000	0.0006538 	0.180000	0.000664578	0.180000	0.000664578	0.180000	0.000664579	0.180000	0.000642396	0.180000	1.14045e-05	
0.200000	0.000704606	0.200000	0.000704606	0.200000	0.000708002	0.200000	0.000708002	0.200000	0.000708003	0.200000	0.000694101	0.200000	1.05043e-05	
0.250000	0.000808957	0.250000	0.000808957	0.250000	0.000792565	0.250000	0.000792565	0.250000	0.000792566	0.250000	0.000800147	0.250000	8.81057e-06	
0.300000	0.000888456	0.300000	0.000888456	0.300000	0.000851435	0.300000	0.000851435	0.300000	0.000851436	0.300000	0.000880837	0.300000	7.61934e-06	
0.350000	0.000951929	0.350000	0.000951929	0.350000	0.000893377	0.350000	0.000893377	0.350000	0.000893378	0.350000	0.000945197	0.350000	6.73174e-06	
0.400000	0.00100266	0.400000	0.00100266	0.400000	0.000924422	0.400000	0.000924422	0.400000	0.000924423	0.400000	0.000996618	0.400000	6.04254e-06	
0.450000	0.00104324	0.450000	0.00104324	0.450000	0.000948416	0.450000	0.000948416	0.450000	0.000948417	0.450000	0.00103775	0.450000	5.49052e-06	
0.500000	0.00107604	0.500000	0.00107604	0.500000	0.000967736	0.500000	0.000967736	0.500000	0.000967737	0.500000	0.001071  	0.500000	5.03758e-06	
0.600000	0.00112469	0.600000	0.00112469	0.600000	0.00101558	0.600000	0.00101558	0.600000	0.00101558	0.600000	0.00112036	0.600000	4.33658e-06	
0.700000	0.00117417	0.700000	0.00117417	0.700000	0.00105471	0.700000	0.00105471	0.700000	0.00105471	0.700000	0.00117035	0.700000	3.81751e-06	
0.800000	0.00120837	0.800000	0.00120837	0.800000	0.00108393	0.800000	0.00108393	0.800000	0.00108393	0.800000	0.00120495	0.800000	3.41645e-06	
0.900000	0.0012317 	0.900000	0.0012317 	0.900000	0.00110606	0.900000	0.00110606	0.900000	0.00110606	0.900000	0.00122861	0.900000	3.09654e-06	
1.000000	0.00124717	1.000000	0.00124717	1.000000	0.00112281	1.000000	0.00112281	1.000000	0.00112281	1.000000	0.00124434	1.000000	2.83494e-06	
1.250000	0.00125885	1.250000	0.00125885	1.250000	0.00114798	1.250000	0.00114798	1.250000	0.00114798	1.250000	0.0012565 	1.250000	2.34937e-06	
1.500000	0.00125228	1.500000	0.00125228	1.500000	0.0011572 	1.500000	0.0011572 	1.500000	0.0011572 	1.500000	0.00125026	1.500000	2.01325e-06	
1.750000	0.00123729	1.750000	0.00123729	1.750000	0.00115651	1.750000	0.00115651	1.750000	0.00115651	1.750000	0.00123552	1.750000	1.76582e-06	
2.000000	0.00121358	2.000000	0.00121358	2.000000	0.00114948	2.000000	0.00114948	2.000000	0.00114949	2.000000	0.001212  	2.000000	1.57554e-06	
2.250000	0.00118796	2.250000	0.00118796	2.250000	0.00113839	2.250000	0.00113839	2.250000	0.00113839	2.250000	0.00118654	2.250000	1.42436e-06	
2.500000	0.00145013	2.500000	0.00116268	2.500000	0.00112468	2.500000	0.00112468	2.500000	0.00112468	2.500000	0.00116138	2.500000	1.30115e-06	
3.000000	0.00137718	3.000000	0.00111402	3.000000	0.00109298	3.000000	0.00109298	3.000000	0.00109298	3.000000	0.0011129 	3.000000	1.11201e-06	
3.500000	0.00130861	3.500000	0.00106649	3.500000	0.00105316	3.500000	0.00105316	3.500000	0.00105316	3.500000	0.00106552	3.500000	9.73238e-07	
4.000000	0.00124552	4.000000	0.00102334	4.000000	0.00101523	4.000000	0.00101523	4.000000	0.00101523	4.000000	0.00102247	4.000000	8.66809e-07	
4.500000	0.00118791	4.500000	0.000984693	4.500000	0.000979847	4.500000	0.000979847	4.500000	0.000979848	4.500000	0.000983911	4.500000	7.82435e-07	
5.000000	0.00113539	5.000000	0.000948759	5.000000	0.00094682	5.000000	0.00094682	5.000000	0.000946821	5.000000	0.000948045	5.000000	7.13803e-07	
5.500000	0.00108747	5.500000	0.000915155	5.500000	0.00091596	5.500000	0.00091596	5.500000	0.000915961	5.500000	0.000914498	5.500000	6.56816e-07	
6.000000	0.00104363	6.000000	0.000883842	6.000000	0.000887082	6.000000	0.000887082	6.000000	0.000887082	6.000000	0.000883233	6.000000	6.08695e-07	
6.500000	0.00100343	6.500000	0.000854698	6.500000	0.000860011	6.500000	0.000860011	6.500000	0.000860012	6.500000	0.000854131	6.500000	5.67489e-07	
7.000000	0.00096644	7.000000	0.000827488	7.000000	0.00083459	7.000000	0.00083459	7.000000	0.000834591	7.000000	0.000826957	7.000000	5.31783e-07	
7.500000	0.000932308	7.500000	0.000802007	7.500000	0.000810676	7.500000	0.000810676	7.500000	0.000810677	7.500000	0.000801507	7.500000	5.00527e-07	
8.000000	0.000900718	8.000000	0.000778121	8.000000	0.000788139	8.000000	0.000788139	8.000000	0.00078814	8.000000	0.000777648	8.000000	4.72923e-07	
8.500000	0.000871397	8.500000	0.000755675	8.500000	0.000766864	8.500000	0.000766864	8.500000	0.000766865	8.500000	0.000755226	8.500000	4.48357e-07	
9.000000	0.000844108	9.000000	0.000734535	9.000000	0.000746747	9.000000	0.000746747	9.000000	0.000746748	9.000000	0.000734108	9.000000	4.26345e-07	
9.500000	0.000818645	9.500000	0.000714584	9.500000	0.000727695	9.500000	0.000727695	9.500000	0.000727695	9.500000	0.000714177	9.500000	4.06502e-07	
10.000000	0.000794828	10.000000	0.000666768	10.000000	0.000709624	10.000000	0.000709624	10.000000	0.000709624	10.000000	0.00066638	10.000000	3.88516e-07	
11.000000	0.000751524	11.000000	0.00064199	11.000000	0.00067134	11.000000	0.00067719	11.000000	0.000680105	11.000000	0.000641633	11.000000	3.57149e-07	
12.000000	0.000713152	12.000000	0.00061872	12.000000	0.000637288	12.000000	0.000647898	12.000000	0.000652758	12.000000	0.000618389	12.000000	3.30693e-07	
13.000000	0.000678898	13.000000	0.000596928	13.000000	0.000606826	13.000000	0.000621331	13.000000	0.000627432	13.000000	0.00059662	13.000000	3.08064e-07	
14.000000	0.00064812	14.000000	0.000576543	14.000000	0.000579441	14.000000	0.00059714	14.000000	0.000603968	14.000000	0.000576254	14.000000	2.88474e-07	
15.000000	0.000620301	15.000000	0.000557472	15.000000	0.000554711	15.000000	0.000575032	15.000000	0.000582212	15.000000	0.000557201	15.000000	2.7134e-07	
16.000000	0.000595025	16.000000	0.000539619	16.000000	0.000532279	16.000000	0.000554759	16.000000	0.000562019	16.000000	0.000539363	16.000000	2.56221e-07	
17.000000	0.00057195	17.000000	0.000522888	17.000000	0.00051185	17.000000	0.000536112	17.000000	0.000543255	17.000000	0.000522645	17.000000	2.42776e-07	
18.000000	0.000550794	18.000000	0.000507187	18.000000	0.000493186	18.000000	0.000518911	18.000000	0.000525772	18.000000	0.000506957	18.000000	2.30736e-07	
19.000000	0.00053132	19.000000	0.000492434	19.000000	0.00047609	19.000000	0.000503004	19.000000	0.000509489	19.000000	0.000492214	19.000000	2.1989e-07	
20.000000	0.000513332	20.000000	0.00047855	20.000000	0.000460397	20.000000	0.000488259	20.000000	0.000494311	20.000000	0.00047834	20.000000	2.10066e-07	
21.000000	0.00049666	21.000000	0.000465464	21.000000	0.000445944	21.000000	0.000474561	21.000000	0.000480099	21.000000	0.000465263	21.000000	2.01122e-07	
22.000000	0.000481163	22.000000	0.000453113	22.000000	0.000432582	22.000000	0.00046181	22.000000	0.00046683	22.000000	0.00045292	22.000000	1.92945e-07	
23.000000	0.000466717	23.000000	0.000441439	23.000000	0.00042021	23.000000	0.000449919	23.000000	0.000454392	23.000000	0.000441254	23.000000	1.85437e-07	
24.000000	0.000453216	24.000000	0.000430389	24.000000	0.000408758	24.000000	0.000438811	24.000000	0.000442739	24.000000	0.00043021	24.000000	1.7852e-07	
25.000000	0.000440569	25.000000	0.000419915	25.000000	0.000398143	25.000000	0.000428418	25.000000	0.000431801	25.000000	0.000419742	25.000000	1.72124e-07	
27.000000	0.000417522	27.000000	0.000400527	27.000000	0.000379059	27.000000	0.000409546	27.000000	0.000411871	27.000000	0.000400366	27.000000	1.60674e-07	
29.000000	0.000397043	29.000000	0.000382977	29.000000	0.000362445	29.000000	0.000392895	29.000000	0.000394228	29.000000	0.000382826	29.000000	1.50717e-07	
31.000000	0.000378718	31.000000	0.000367017	31.000000	0.000348085	31.000000	0.000376848	31.000000	0.000377048	31.000000	0.000366875	31.000000	1.41974e-07	
33.000000	0.000362215	33.000000	0.000352442	33.000000	0.000335188	33.000000	0.000361107	33.000000	0.00036027	33.000000	0.000352307	33.000000	1.34234e-07	
35.000000	0.000347271	35.000000	0.000339079	35.000000	0.000323301	35.000000	0.000346741	35.000000	0.000345163	35.000000	0.000338952	35.000000	1.2733e-07	
38.000000	0.000327317	38.000000	0.000320999	38.000000	0.000307105	38.000000	0.000327398	38.000000	0.000325107	38.000000	0.00032088	38.000000	1.18265e-07	
41.000000	0.000309819	41.000000	0.000304925	41.000000	0.000292639	41.000000	0.000310293	41.000000	0.000307611	41.000000	0.000304815	41.000000	1.10457e-07	
44.000000	0.000294342	44.000000	0.000290542	44.000000	0.00027961	44.000000	0.000295057	44.000000	0.000292193	44.000000	0.000290439	44.000000	1.03658e-07	
47.000000	0.000280548	47.000000	0.000277597	47.000000	0.000267834	47.000000	0.000281399	47.000000	0.000278478	47.000000	0.000277499	47.000000	9.76812e-08	
50.000000	0.000268172	50.000000	0.000265884	50.000000	0.000257118	50.000000	0.000269086	50.000000	0.0002662 	50.000000	0.000265792	50.000000	9.23848e-08	
55.000000	0.000250137	55.000000	0.000248657	55.000000	0.000241306	55.000000	0.000251052	55.000000	0.000248331	55.000000	0.000248572	55.000000	8.47765e-08	
