! 89Rb energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000218462	0.001000	0.000218462	0.001000	0.000188578	0.001000	0.000188578	0.001000	0.000188588	0.001000	5.59305e-05	0.001000	0.000162532	
0.002000	0.000220492	0.002000	0.000220492	0.002000	0.000184792	0.002000	0.000184792	0.002000	0.0001848 	0.002000	7.25329e-05	0.002000	0.000147959	
0.005000	0.000215073	0.005000	0.000215073	0.005000	0.000171035	0.005000	0.000171035	0.005000	0.00017104	0.005000	0.000102273	0.005000	0.000112799	
0.008000	0.000214212	0.008000	0.000214212	0.008000	0.000165888	0.008000	0.000165888	0.008000	0.000165892	0.008000	0.000121985	0.008000	9.22265e-05	
0.010000	0.000215353	0.010000	0.000215353	0.010000	0.000165077	0.010000	0.000165077	0.010000	0.00016508	0.010000	0.000132632	0.010000	8.2721e-05	
0.015000	0.000220995	0.015000	0.000220995	0.015000	0.000167447	0.015000	0.000167447	0.015000	0.000167449	0.015000	0.000154413	0.015000	6.65827e-05	
0.020000	0.000228312	0.020000	0.000228312	0.020000	0.000172777	0.020000	0.000172777	0.020000	0.000172779	0.020000	0.000172003	0.020000	5.63092e-05	
0.025000	0.00023612	0.025000	0.00023612	0.025000	0.000179319	0.025000	0.000179319	0.025000	0.000179321	0.025000	0.000187015	0.025000	4.91047e-05	
0.030000	0.000243977	0.030000	0.000243977	0.030000	0.000186372	0.030000	0.000186372	0.030000	0.000186373	0.030000	0.000200248	0.030000	4.3729e-05	
0.035000	0.000251706	0.035000	0.000251706	0.035000	0.000193612	0.035000	0.000193612	0.035000	0.000193613	0.035000	0.000212165	0.035000	3.95405e-05	
0.040000	0.000259231	0.040000	0.000259231	0.040000	0.00020088	0.040000	0.00020088	0.040000	0.000200882	0.040000	0.00022306	0.040000	3.61713e-05	
0.045000	0.000266526	0.045000	0.000266526	0.045000	0.000208094	0.045000	0.000208094	0.045000	0.000208095	0.045000	0.000233133	0.045000	3.33936e-05	
0.050000	0.000273587	0.050000	0.000273587	0.050000	0.000215209	0.050000	0.000215209	0.050000	0.00021521	0.050000	0.000242528	0.050000	3.10586e-05	
0.055000	0.000287694	0.055000	0.000287694	0.055000	0.000229736	0.055000	0.000229736	0.055000	0.000229737	0.055000	0.00025863	0.055000	2.90643e-05	
0.060000	0.000305584	0.060000	0.000305584	0.060000	0.000248952	0.060000	0.000248952	0.060000	0.000248953	0.060000	0.000278246	0.060000	2.73385e-05	
0.070000	0.000339946	0.070000	0.000339946	0.070000	0.000287796	0.070000	0.000287796	0.070000	0.000287797	0.070000	0.000315676	0.070000	2.42702e-05	
0.080000	0.000373282	0.080000	0.000373282	0.080000	0.000327071	0.080000	0.000327071	0.080000	0.000327072	0.080000	0.000351241	0.080000	2.20406e-05	
0.090000	0.000405361	0.090000	0.000405361	0.090000	0.000365912	0.090000	0.000365912	0.090000	0.000365913	0.090000	0.000385139	0.090000	2.02222e-05	
0.100000	0.000436089	0.100000	0.000436089	0.100000	0.000403873	0.100000	0.000403873	0.100000	0.000403873	0.100000	0.000417381	0.100000	1.87076e-05	
0.120000	0.000493208	0.120000	0.000493208	0.120000	0.000475937	0.120000	0.000475937	0.120000	0.000475937	0.120000	0.000476887	0.120000	1.63217e-05	
0.140000	0.00054454	0.140000	0.00054454	0.140000	0.00054167	0.140000	0.00054167	0.140000	0.00054167	0.140000	0.000530019	0.140000	1.45205e-05	
0.160000	0.000600855	0.160000	0.000600855	0.160000	0.000600477	0.160000	0.000600477	0.160000	0.000600478	0.160000	0.000587748	0.160000	1.31076e-05	
0.180000	0.000659222	0.180000	0.000659222	0.180000	0.000652396	0.180000	0.000652396	0.180000	0.000652397	0.180000	0.000647256	0.180000	1.19664e-05	
0.200000	0.000711339	0.200000	0.000711339	0.200000	0.000697838	0.200000	0.000697838	0.200000	0.000697839	0.200000	0.000700316	0.200000	1.10236e-05	
0.250000	0.000818722	0.250000	0.000818722	0.250000	0.000787248	0.250000	0.000787248	0.250000	0.000787248	0.250000	0.000809473	0.250000	9.24891e-06	
0.300000	0.000900864	0.300000	0.000900864	0.300000	0.000850394	0.300000	0.000850394	0.300000	0.000850395	0.300000	0.000892863	0.300000	8.00023e-06	
0.350000	0.000967241	0.350000	0.000967241	0.350000	0.000895979	0.350000	0.000895979	0.350000	0.00089598	0.350000	0.000960172	0.350000	7.06954e-06	
0.400000	0.00102214	0.400000	0.00102214	0.400000	0.000930103	0.400000	0.000930103	0.400000	0.000930104	0.400000	0.0010158 	0.400000	6.34669e-06	
0.450000	0.00106616	0.450000	0.00106616	0.450000	0.000956713	0.450000	0.000956713	0.450000	0.000956714	0.450000	0.00106039	0.450000	5.76761e-06	
