! 98Nb energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000239913	0.001000	0.000239913	0.001000	0.00020624	0.001000	0.00020624	0.001000	0.00020625	0.001000	6.07087e-05	0.001000	0.000179204	
0.002000	0.000244381	0.002000	0.000244381	0.002000	0.000203884	0.002000	0.000203884	0.002000	0.000203892	0.002000	7.87294e-05	0.002000	0.000165652	
0.005000	0.000239964	0.005000	0.000239964	0.005000	0.0001894 	0.005000	0.0001894 	0.005000	0.000189405	0.005000	0.000111011	0.005000	0.000128953	
0.008000	0.000238865	0.008000	0.000238865	0.008000	0.000182917	0.008000	0.000182917	0.008000	0.000182921	0.008000	0.000132407	0.008000	0.000106459	
0.010000	0.000239849	0.010000	0.000239849	0.010000	0.000181369	0.010000	0.000181369	0.010000	0.000181372	0.010000	0.000143963	0.010000	9.58863e-05	
0.015000	0.000245314	0.015000	0.000245314	0.015000	0.000182403	0.015000	0.000182403	0.015000	0.000182406	0.015000	0.000167604	0.015000	7.771e-05 	
0.020000	0.000252698	0.020000	0.000252698	0.020000	0.000186891	0.020000	0.000186891	0.020000	0.000186893	0.020000	0.000186697	0.020000	6.60014e-05	
0.025000	0.000260722	0.025000	0.000260722	0.025000	0.000192888	0.025000	0.000192888	0.025000	0.00019289	0.025000	0.000202992	0.025000	5.773e-05 	
0.030000	0.000268882	0.030000	0.000268882	0.030000	0.000199584	0.030000	0.000199584	0.030000	0.000199586	0.030000	0.000217356	0.030000	5.15263e-05	
0.035000	0.000276965	0.035000	0.000276965	0.035000	0.000206594	0.035000	0.000206594	0.035000	0.000206596	0.035000	0.000230291	0.035000	4.66742e-05	
0.040000	0.000284875	0.040000	0.000284875	0.040000	0.000213721	0.040000	0.000213721	0.040000	0.000213722	0.040000	0.000242116	0.040000	4.27593e-05	
0.045000	0.000292573	0.045000	0.000292573	0.045000	0.000220856	0.045000	0.000220856	0.045000	0.000220857	0.045000	0.000253049	0.045000	3.95239e-05	
0.050000	0.000300046	0.050000	0.000300046	0.050000	0.000227939	0.050000	0.000227939	0.050000	0.00022794	0.050000	0.000263248	0.050000	3.67985e-05	
