! 100Mo energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000202369	0.001000	0.000245154	0.001000	0.000208224	0.001000	0.000208224	0.001000	0.000208235	0.001000	6.18856e-05	0.001000	0.000183269	
0.002000	0.000207971	0.002000	0.000250271	0.002000	0.000205306	0.002000	0.000205306	0.002000	0.000205315	0.002000	8.02557e-05	0.002000	0.000170015	
0.005000	0.000207639	0.005000	0.000246169	0.005000	0.000188803	0.005000	0.000188803	0.005000	0.000188809	0.005000	0.000113163	0.005000	0.000133007	
0.008000	0.00020882	0.008000	0.000245034	0.008000	0.000180637	0.008000	0.000180637	0.008000	0.000180641	0.008000	0.000134973	0.008000	0.000110061	
0.010000	0.000210732	0.010000	0.000245984	0.010000	0.000178137	0.010000	0.000178137	0.010000	0.00017814	0.010000	0.000146754	0.010000	9.92304e-05	
0.015000	0.000217456	0.015000	0.000251407	0.015000	0.000177193	0.015000	0.000177193	0.015000	0.000177196	0.015000	0.000170854	0.015000	8.05536e-05	
0.020000	0.000225313	0.020000	0.000258804	0.020000	0.000180077	0.020000	0.000180077	0.020000	0.000180079	0.020000	0.000190316	0.020000	6.84877e-05	
0.025000	0.000233427	0.025000	0.000266875	0.025000	0.000184708	0.025000	0.000184708	0.025000	0.00018471	0.025000	0.000206927	0.025000	5.99484e-05	
0.030000	0.000241472	0.030000	0.000275105	0.030000	0.000190203	0.030000	0.000190203	0.030000	0.000190205	0.030000	0.00022157	0.030000	5.35358e-05	
0.035000	0.000249319	0.035000	0.000283271	0.035000	0.000196133	0.035000	0.000196133	0.035000	0.000196134	0.035000	0.000234755	0.035000	4.85154e-05	
0.040000	0.000256921	0.040000	0.000291271	0.040000	0.000202271	0.040000	0.000202271	0.040000	0.000202273	0.040000	0.00024681	0.040000	4.44618e-05	
0.045000	0.000264265	0.045000	0.000299065	0.045000	0.000208492	0.045000	0.000208492	0.045000	0.000208493	0.045000	0.000257955	0.045000	4.11097e-05	
0.050000	0.00027169	0.050000	0.000306636	0.050000	0.000214721	0.050000	0.000214721	0.050000	0.000214722	0.050000	0.000268351	0.050000	3.82847e-05	
0.055000	0.000288189	0.055000	0.000313983	0.055000	0.000220914	0.055000	0.000220914	0.055000	0.000220915	0.055000	0.000278116	0.055000	3.58667e-05	
0.060000	0.000303612	0.060000	0.00032111	0.060000	0.000227046	0.060000	0.000227046	0.060000	0.000227047	0.060000	0.00028734	0.060000	3.37702e-05	
0.070000	0.000331006	0.070000	0.000357974	0.070000	0.000262064	0.070000	0.000262064	0.070000	0.000262065	0.070000	0.000327667	0.070000	3.03072e-05	
0.080000	0.000360474	0.080000	0.000397415	0.080000	0.000301606	0.080000	0.000301606	0.080000	0.000301607	0.080000	0.000370112	0.080000	2.73029e-05	
0.090000	0.000387026	0.090000	0.00043587	0.090000	0.00034169	0.090000	0.00034169	0.090000	0.000341691	0.090000	0.000410789	0.090000	2.50817e-05	
0.100000	0.000410949	0.100000	0.000472833	0.100000	0.000381443	0.100000	0.000381443	0.100000	0.000381444	0.100000	0.000449605	0.100000	2.32276e-05	
0.120000	0.000442749	0.120000	0.000541696	0.120000	0.000458301	0.120000	0.000458301	0.120000	0.000458301	0.120000	0.000521396	0.120000	2.02996e-05	
0.140000	0.00046944	0.140000	0.00060356	0.140000	0.000529868	0.140000	0.000529868	0.140000	0.000529869	0.140000	0.000585477	0.140000	1.80832e-05	
0.160000	0.000493998	0.160000	0.000658789	0.160000	0.000595048	0.160000	0.000595048	0.160000	0.000595049	0.160000	0.000642448	0.160000	1.63409e-05	
0.180000	0.000524822	0.180000	0.000710726	0.180000	0.00065353	0.180000	0.00065353	0.180000	0.000653531	0.180000	0.000695795	0.180000	1.49315e-05	
0.200000	0.000557037	0.200000	0.000768912	0.200000	0.000705496	0.200000	0.000705496	0.200000	0.000705497	0.200000	0.000755147	0.200000	1.37654e-05	
0.250000	0.000615549	0.250000	0.000889748	0.250000	0.000810229	0.250000	0.000810229	0.250000	0.00081023	0.250000	0.000878182	0.250000	1.15664e-05	
0.300000	0.000668474	0.300000	0.000983174	0.300000	0.000886722	0.300000	0.000886722	0.300000	0.000886723	0.300000	0.000973158	0.300000	1.0016e-05	
0.350000	0.00071605	0.350000	0.00105672	0.350000	0.000943685	0.350000	0.000943685	0.350000	0.000943685	0.350000	0.00104786	0.350000	8.85855e-06	
0.400000	0.00076356	0.400000	0.00112026	0.400000	0.000987519	0.400000	0.000987519	0.400000	0.00098752	0.400000	0.00111231	0.400000	7.95848e-06	
0.450000	0.00081008	0.450000	0.00118326	0.450000	0.00102251	0.450000	0.00102251	0.450000	0.00102251	0.450000	0.00117603	0.450000	7.23669e-06	
0.500000	0.000850751	0.500000	0.00123498	0.500000	0.00105139	0.500000	0.00105139	0.500000	0.00105139	0.500000	0.00122833	0.500000	6.64384e-06	
0.600000	0.000886805	0.600000	0.00131325	0.600000	0.0011034 	0.600000	0.0011034 	0.600000	0.0011034 	0.600000	0.00130753	0.600000	5.72518e-06	
0.700000	0.000903462	0.700000	0.00136771	0.700000	0.00115849	0.700000	0.00115849	0.700000	0.00115849	0.700000	0.00136266	0.700000	5.04401e-06	
