! 103Tc energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000206326	0.001000	0.000250346	0.001000	0.000214837	0.001000	0.000214837	0.001000	0.000214847	0.001000	6.29804e-05	0.001000	0.000187366	
0.002000	0.000212254	0.002000	0.000256088	0.002000	0.000213261	0.002000	0.000213261	0.002000	0.000213269	0.002000	8.16755e-05	0.002000	0.000174413	
0.005000	0.000211839	0.005000	0.000252265	0.005000	0.000198521	0.005000	0.000198521	0.005000	0.000198526	0.005000	0.000115165	0.005000	0.0001371 	
0.008000	0.000212784	0.008000	0.000251065	0.008000	0.000191394	0.008000	0.000191394	0.008000	0.000191398	0.008000	0.000137361	0.008000	0.000113704	
0.010000	0.000214562	0.010000	0.000251966	0.010000	0.000189475	0.010000	0.000189475	0.010000	0.000189478	0.010000	0.00014935	0.010000	0.000102615	
0.015000	0.00022104	0.015000	0.000257312	0.015000	0.000189815	0.015000	0.000189815	0.015000	0.000189818	0.015000	0.000173876	0.015000	8.34359e-05	
0.020000	0.00022874	0.020000	0.000264693	0.020000	0.000193846	0.020000	0.000193846	0.020000	0.000193848	0.020000	0.000193683	0.020000	7.10099e-05	
0.025000	0.000236753	0.025000	0.000272788	0.025000	0.000199535	0.025000	0.000199535	0.025000	0.000199536	0.025000	0.000210588	0.025000	6.22003e-05	
0.030000	0.000244732	0.030000	0.000281066	0.030000	0.000206018	0.030000	0.000206018	0.030000	0.00020602	0.030000	0.000225489	0.030000	5.55765e-05	
0.035000	0.000252536	0.035000	0.000289294	0.035000	0.000212882	0.035000	0.000212882	0.035000	0.000212883	0.035000	0.000238908	0.035000	5.03861e-05	
0.040000	0.000260111	0.040000	0.000297368	0.040000	0.000219907	0.040000	0.000219907	0.040000	0.000219908	0.040000	0.000251176	0.040000	4.61921e-05	
0.045000	0.000267441	0.045000	0.00030524	0.045000	0.000226974	0.045000	0.000226974	0.045000	0.000226975	0.045000	0.000262519	0.045000	4.27219e-05	
0.050000	0.000274525	0.050000	0.000312894	0.050000	0.000234015	0.050000	0.000234015	0.050000	0.000234016	0.050000	0.000273098	0.050000	3.97959e-05	
0.055000	0.000288835	0.055000	0.000320326	0.055000	0.000240989	0.055000	0.000240989	0.055000	0.00024099	0.055000	0.000283036	0.055000	3.72904e-05	
0.060000	0.000305063	0.060000	0.000327541	0.060000	0.000247873	0.060000	0.000247873	0.060000	0.000247874	0.060000	0.000292423	0.060000	3.51174e-05	
