! 106Ru energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000255466	0.001000	0.000255466	0.001000	0.000216765	0.001000	0.000216765	0.001000	0.000216775	0.001000	6.40393e-05	0.001000	0.000191427	
0.002000	0.000261838	0.002000	0.000261838	0.002000	0.000214621	0.002000	0.000214621	0.002000	0.000214629	0.002000	8.30487e-05	0.002000	0.00017879	
0.005000	0.000258301	0.005000	0.000258301	0.005000	0.000197851	0.005000	0.000197851	0.005000	0.000197856	0.005000	0.000117101	0.005000	0.0001412 	
0.008000	0.000257034	0.008000	0.000257034	0.008000	0.000189021	0.008000	0.000189021	0.008000	0.000189025	0.008000	0.000139671	0.008000	0.000117363	
0.010000	0.000257882	0.010000	0.000257882	0.010000	0.000186135	0.010000	0.000186135	0.010000	0.000186139	0.010000	0.000151861	0.010000	0.00010602	
0.015000	0.000263141	0.015000	0.000263141	0.015000	0.000184461	0.015000	0.000184461	0.015000	0.000184464	0.015000	0.000176799	0.015000	8.63416e-05	
0.020000	0.000270496	0.020000	0.000270496	0.020000	0.000186854	0.020000	0.000186854	0.020000	0.000186856	0.020000	0.00019694	0.020000	7.35563e-05	
0.025000	0.000278604	0.025000	0.000278604	0.025000	0.000191146	0.025000	0.000191146	0.025000	0.000191148	0.025000	0.000214128	0.025000	6.4476e-05	
0.030000	0.000286921	0.030000	0.000286921	0.030000	0.0001964 	0.030000	0.0001964 	0.030000	0.000196402	0.030000	0.000229281	0.030000	5.76404e-05	
0.035000	0.000295204	0.035000	0.000295204	0.035000	0.000202157	0.035000	0.000202157	0.035000	0.000202158	0.035000	0.000242925	0.035000	5.2279e-05	
0.040000	0.000303343	0.040000	0.000303343	0.040000	0.00020817	0.040000	0.00020817	0.040000	0.000208171	0.040000	0.000255399	0.040000	4.79438e-05	
