! 122Sb energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000285475	0.001000	0.000285475	0.001000	0.000247475	0.001000	0.000247475	0.001000	0.000247485	0.001000	6.68449e-05	0.001000	0.00021863	
0.002000	0.000295288	0.002000	0.000295288	0.002000	0.000249392	0.002000	0.000249392	0.002000	0.0002494 	0.002000	8.66871e-05	0.002000	0.0002086 	
0.005000	0.000292074	0.005000	0.000292074	0.005000	0.000234336	0.005000	0.000234336	0.005000	0.000234342	0.005000	0.000122231	0.005000	0.000169843	
0.008000	0.000289051	0.008000	0.000289051	0.008000	0.000224837	0.008000	0.000224837	0.008000	0.000224841	0.008000	0.00014579	0.008000	0.000143261	
0.010000	0.000288766	0.010000	0.000288766	0.010000	0.000221456	0.010000	0.000221456	0.010000	0.00022146	0.010000	0.000158514	0.010000	0.000130252	
0.015000	0.000291759	0.015000	0.000291759	0.015000	0.000218915	0.015000	0.000218915	0.015000	0.000218918	0.015000	0.000184545	0.015000	0.000107214	
0.020000	0.000297522	0.020000	0.000297522	0.020000	0.000220935	0.020000	0.000220935	0.020000	0.000220937	0.020000	0.000205567	0.020000	9.19549e-05	
0.025000	0.000304496	0.025000	0.000304496	0.025000	0.00022519	0.025000	0.00022519	0.025000	0.000225192	0.025000	0.000223509	0.025000	8.09865e-05	
0.030000	0.000311985	0.030000	0.000311985	0.030000	0.000230627	0.030000	0.000230627	0.030000	0.000230629	0.030000	0.000239325	0.030000	7.266e-05 	
0.035000	0.000319656	0.035000	0.000319656	0.035000	0.000236711	0.035000	0.000236711	0.035000	0.000236713	0.035000	0.000253568	0.035000	6.60882e-05	
0.040000	0.000327336	0.040000	0.000327336	0.040000	0.000243152	0.040000	0.000243152	0.040000	0.000243153	0.040000	0.000266588	0.040000	6.0748e-05	
0.045000	0.000334936	0.045000	0.000334936	0.045000	0.000249777	0.045000	0.000249777	0.045000	0.000249779	0.045000	0.000278627	0.045000	5.63092e-05	
0.050000	0.000342408	0.050000	0.000342408	0.050000	0.000256485	0.050000	0.000256485	0.050000	0.000256487	0.050000	0.000289856	0.050000	5.25521e-05	
0.055000	0.000349727	0.055000	0.000349727	0.055000	0.000263211	0.055000	0.000263211	0.055000	0.000263213	0.055000	0.000300403	0.055000	4.93246e-05	
0.060000	0.000356884	0.060000	0.000356884	0.060000	0.000269915	0.060000	0.000269915	0.060000	0.000269916	0.060000	0.000310366	0.060000	4.65175e-05	
0.070000	0.000370699	0.070000	0.000370699	0.070000	0.000283159	0.070000	0.000283159	0.070000	0.00028316	0.070000	0.000328836	0.070000	4.18623e-05	
0.080000	0.000385029	0.080000	0.000385029	0.080000	0.000297048	0.080000	0.000297048	0.080000	0.000297049	0.080000	0.000346882	0.080000	3.81468e-05	
0.090000	0.000432741	0.090000	0.000432741	0.090000	0.000338787	0.090000	0.000338787	0.090000	0.000338788	0.090000	0.000397967	0.090000	3.47732e-05	
0.100000	0.000479983	0.100000	0.000479983	0.100000	0.000381201	0.100000	0.000381201	0.100000	0.000381201	0.100000	0.000447723	0.100000	3.22603e-05	
0.120000	0.000570209	0.120000	0.000570209	0.120000	0.000464755	0.120000	0.000464755	0.120000	0.000464756	0.120000	0.000541935	0.120000	2.82744e-05	
0.140000	0.000653243	0.140000	0.000653243	0.140000	0.000544193	0.140000	0.000544193	0.140000	0.000544194	0.140000	0.000628  	0.140000	2.52431e-05	
0.160000	0.000728573	0.160000	0.000728573	0.160000	0.000617832	0.160000	0.000617832	0.160000	0.000617833	0.160000	0.000705722	0.160000	2.28517e-05	
0.180000	0.000796504	0.180000	0.000796504	0.180000	0.000684959	0.180000	0.000684959	0.180000	0.00068496	0.180000	0.000775593	0.180000	2.09116e-05	
0.200000	0.00085768	0.200000	0.00085768	0.200000	0.000745487	0.200000	0.000745487	0.200000	0.000745488	0.200000	0.000838377	0.200000	1.93026e-05	
0.250000	0.000987965	0.250000	0.000987965	0.250000	0.000870341	0.250000	0.000870341	0.250000	0.000870341	0.250000	0.000971705	0.250000	1.62592e-05	
0.300000	0.00109293	0.300000	0.00109293	0.300000	0.000964498	0.300000	0.000964498	0.300000	0.000964499	0.300000	0.00107882	0.300000	1.41056e-05	
0.350000	0.00117711	0.350000	0.00117711	0.350000	0.00103673	0.350000	0.00103673	0.350000	0.00103673	0.350000	0.00116462	0.350000	1.24937e-05	
0.400000	0.00124587	0.400000	0.00124587	0.400000	0.00109382	0.400000	0.00109382	0.400000	0.00109382	0.400000	0.00123464	0.400000	1.12375e-05	
0.450000	0.00130291	0.450000	0.00130291	0.450000	0.00114047	0.450000	0.00114047	0.450000	0.00114047	0.450000	0.00129269	0.450000	1.02285e-05	
0.500000	0.00135084	0.500000	0.00135084	0.500000	0.00117975	0.500000	0.00117975	0.500000	0.00117975	0.500000	0.00134144	0.500000	9.39856e-06	
0.600000	0.00147833	0.600000	0.00147833	0.600000	0.00124354	0.600000	0.00124354	0.600000	0.00124354	0.600000	0.00147022	0.600000	8.11029e-06	
0.700000	0.00157292	0.700000	0.00157292	0.700000	0.00129426	0.700000	0.00129426	0.700000	0.00129426	0.700000	0.00156577	0.700000	7.15326e-06	
0.800000	0.00164378	0.800000	0.00164378	0.800000	0.00133845	0.800000	0.00133845	0.800000	0.00133845	0.800000	0.00163736	0.800000	6.41189e-06	
0.900000	0.00169726	0.900000	0.00169726	0.900000	0.00139049	0.900000	0.00139049	0.900000	0.00139049	0.900000	0.00169144	0.900000	5.81925e-06	
1.000000	0.00173131	1.000000	0.00173131	1.000000	0.00143335	1.000000	0.00143335	1.000000	0.00143335	1.000000	0.00172598	1.000000	5.33377e-06	
1.250000	0.00176619	1.250000	0.00176619	1.250000	0.00151103	1.250000	0.00151103	1.250000	0.00151103	1.250000	0.00176176	1.250000	4.43043e-06	
1.500000	0.00177662	1.500000	0.00177662	1.500000	0.00155931	1.500000	0.00155931	1.500000	0.00155931	1.500000	0.00177282	1.500000	3.80329e-06	
1.750000	0.0017695 	1.750000	0.0017695 	1.750000	0.00158818	1.750000	0.00158818	1.750000	0.00158818	1.750000	0.00176616	1.750000	3.34059e-06	
2.000000	0.00174525	2.000000	0.00174525	2.000000	0.0016038 	2.000000	0.0016038 	2.000000	0.0016038 	2.000000	0.00174226	2.000000	2.98413e-06	
2.250000	0.00172037	2.250000	0.00172037	2.250000	0.00161015	2.250000	0.00161015	2.250000	0.00161015	2.250000	0.00171767	2.250000	2.70048e-06	
2.500000	0.0023444 	2.500000	0.0016953 	2.500000	0.00160991	2.500000	0.00160991	2.500000	0.00160991	2.500000	0.00169283	2.500000	2.46901e-06	
3.000000	0.00225022	3.000000	0.00164586	3.000000	0.0015965 	3.000000	0.0015965 	3.000000	0.0015965 	3.000000	0.00164374	3.000000	2.11314e-06	
3.500000	0.00215786	3.500000	0.0015984 	3.500000	0.00157285	3.500000	0.00157285	3.500000	0.00157285	3.500000	0.00159655	3.500000	1.85158e-06	
4.000000	0.00207042	4.000000	0.00155253	4.000000	0.00154386	4.000000	0.00154386	4.000000	0.00154386	4.000000	0.00155088	4.000000	1.65069e-06	
4.500000	0.00198888	4.500000	0.00150862	4.500000	0.00151223	4.500000	0.00151223	4.500000	0.00151223	4.500000	0.00150713	4.500000	1.49124e-06	
5.000000	0.00191327	5.000000	0.00146662	5.000000	0.00147795	5.000000	0.00147795	5.000000	0.00147795	5.000000	0.00146525	5.000000	1.3614e-06	
5.500000	0.00184331	5.500000	0.00142645	5.500000	0.0014409 	5.500000	0.0014409 	5.500000	0.0014409 	5.500000	0.0014252 	5.500000	1.2535e-06	
6.000000	0.00177856	6.000000	0.00138848	6.000000	0.00140555	6.000000	0.00140555	6.000000	0.00140555	6.000000	0.00138731	6.000000	1.16232e-06	
6.500000	0.00171855	6.500000	0.00135261	6.500000	0.00137183	6.500000	0.00137183	6.500000	0.00137183	6.500000	0.00135152	6.500000	1.08418e-06	
7.000000	0.00166283	7.000000	0.00131869	7.000000	0.00133968	7.000000	0.00133968	7.000000	0.00133968	7.000000	0.00131767	7.000000	1.01643e-06	
7.500000	0.00161099	7.500000	0.00128643	7.500000	0.00130901	7.500000	0.00130901	7.500000	0.00130901	7.500000	0.00128547	7.500000	9.5709e-07	
8.000000	0.00156265	8.000000	0.00125572	8.000000	0.00127974	8.000000	0.00127974	8.000000	0.00127974	8.000000	0.00125482	8.000000	9.04657e-07	
8.500000	0.00151747	8.500000	0.00122626	8.500000	0.00125179	8.500000	0.00125179	8.500000	0.00125179	8.500000	0.0012254 	8.500000	8.5797e-07	
9.000000	0.00147515	9.000000	0.00119808	9.000000	0.00122507	9.000000	0.00122507	9.000000	0.00122507	9.000000	0.00119726	9.000000	8.16119e-07	
9.500000	0.00143543	9.500000	0.00117134	9.500000	0.00119951	9.500000	0.00119951	9.500000	0.00119951	9.500000	0.00117056	9.500000	7.78375e-07	
10.000000	0.00139807	10.000000	0.00109825	10.000000	0.00117503	10.000000	0.00117503	10.000000	0.00117503	10.000000	0.00109751	10.000000	7.44151e-07	
11.000000	0.00132964	11.000000	0.00106723	11.000000	0.00111844	11.000000	0.00113111	11.000000	0.00114075	11.000000	0.00106655	11.000000	6.84433e-07	
12.000000	0.00126844	12.000000	0.00103731	12.000000	0.0010675 	12.000000	0.00109084	12.000000	0.0011076 	12.000000	0.00103668	12.000000	6.34034e-07	
13.000000	0.00121336	13.000000	0.00100855	13.000000	0.00102146	13.000000	0.00105382	13.000000	0.00107581	13.000000	0.00100796	13.000000	5.90898e-07	
14.000000	0.0011635 	14.000000	0.000981034	14.000000	0.000979666	14.000000	0.00101972	14.000000	0.00104547	14.000000	0.00098048	14.000000	5.53537e-07	
15.000000	0.00111812	15.000000	0.000954803	15.000000	0.000941587	15.000000	0.000988224	15.000000	0.00101662	15.000000	0.000954282	15.000000	5.20845e-07	
16.000000	0.00107663	16.000000	0.000929838	16.000000	0.000906782	16.000000	0.000959064	16.000000	0.000989226	16.000000	0.000929346	16.000000	4.91984e-07	
17.000000	0.00103853	17.000000	0.000906096	17.000000	0.000874883	17.000000	0.000932009	17.000000	0.000963267	17.000000	0.000905629	17.000000	4.66308e-07	
18.000000	0.00100341	18.000000	0.000883522	18.000000	0.000845584	18.000000	0.000906855	18.000000	0.000938631	18.000000	0.000883078	18.000000	4.43309e-07	
19.000000	0.000970922	19.000000	0.000862055	19.000000	0.000818602	19.000000	0.000883423	19.000000	0.000915316	19.000000	0.000861633	19.000000	4.22582e-07	
20.000000	0.000940766	20.000000	0.000841632	20.000000	0.000793681	20.000000	0.000861556	20.000000	0.000893267	20.000000	0.000841229	20.000000	4.038e-07 	
21.000000	0.000912694	21.000000	0.000822191	21.000000	0.00077062	21.000000	0.000841115	21.000000	0.000872324	21.000000	0.000821805	21.000000	3.86698e-07	
22.000000	0.000886488	22.000000	0.000803671	22.000000	0.000749255	22.000000	0.000821979	22.000000	0.000852534	22.000000	0.0008033 	22.000000	3.71057e-07	
23.000000	0.000861963	23.000000	0.000786014	23.000000	0.00072943	23.000000	0.000804038	23.000000	0.000833758	23.000000	0.000785657	23.000000	3.56693e-07	
24.000000	0.000838955	24.000000	0.000769165	24.000000	0.000711004	24.000000	0.000787195	24.000000	0.00081598	24.000000	0.000768822	24.000000	3.43454e-07	
25.000000	0.000817324	25.000000	0.000753075	25.000000	0.000693851	25.000000	0.000771364	25.000000	0.000799122	25.000000	0.000752744	25.000000	3.31211e-07	
27.000000	0.00077771	27.000000	0.000722982	27.000000	0.000662948	27.000000	0.000742436	27.000000	0.000767977	27.000000	0.000722673	27.000000	3.09286e-07	
29.000000	0.000742291	29.000000	0.000695393	29.000000	0.00063599	29.000000	0.000716721	29.000000	0.000739942	29.000000	0.000695103	29.000000	2.90211e-07	
31.000000	0.000710413	31.000000	0.000670016	31.000000	0.000613737	31.000000	0.000691272	31.000000	0.000710246	31.000000	0.000669743	31.000000	2.73457e-07	
33.000000	0.000681556	33.000000	0.000646599	33.000000	0.000594657	33.000000	0.000665647	33.000000	0.000679393	33.000000	0.000646341	33.000000	2.58618e-07	
35.000000	0.000655296	35.000000	0.000624925	35.000000	0.000576898	35.000000	0.000642052	35.000000	0.000651558	35.000000	0.00062468	35.000000	2.45379e-07	
38.000000	0.000620036	38.000000	0.000595282	38.000000	0.000552356	38.000000	0.000609955	38.000000	0.000614517	38.000000	0.000595054	38.000000	2.27988e-07	
41.000000	0.000588926	41.000000	0.000568619	41.000000	0.000530087	41.000000	0.000581247	41.000000	0.000582107	41.000000	0.000568406	41.000000	2.13003e-07	
44.000000	0.000561256	44.000000	0.000544508	44.000000	0.000509731	44.000000	0.000555412	44.000000	0.000553486	44.000000	0.000544308	44.000000	1.99949e-07	
47.000000	0.000536469	47.000000	0.000522598	47.000000	0.000491144	47.000000	0.000532033	47.000000	0.000527991	47.000000	0.00052241	47.000000	1.88471e-07	
50.000000	0.000514124	50.000000	0.0005026 	50.000000	0.000474059	50.000000	0.000510775	50.000000	0.00050514	50.000000	0.000502422	50.000000	1.78295e-07	
55.000000	0.000481382	55.000000	0.000472884	55.000000	0.000448418	55.000000	0.00047932	55.000000	0.000471826	55.000000	0.00047272	55.000000	1.63673e-07	
60.000000	0.00045321	60.000000	0.000446936	60.000000	0.000425825	60.000000	0.000451985	60.000000	0.00044335	60.000000	0.000446784	60.000000	1.51361e-07	
65.000000	0.000428691	65.000000	0.000424079	65.000000	0.000405731	65.000000	0.000428008	65.000000	0.000418691	65.000000	0.000423938	65.000000	1.40845e-07	
70.000000	0.000407141	70.000000	0.000403791	70.000000	0.000387817	70.000000	0.000406803	70.000000	0.00039714	70.000000	0.000403659	70.000000	1.31754e-07	
75.000000	0.00038804	75.000000	0.00038566	75.000000	0.000371697	75.000000	0.000387917	75.000000	0.000379162	75.000000	0.000385536	75.000000	1.23812e-07	
80.000000	0.000370981	80.000000	0.000369358	80.000000	0.000357118	80.000000	0.000370989	80.000000	0.000363102	80.000000	0.000369241	80.000000	1.16812e-07	
85.000000	0.000355647	85.000000	0.000354622	85.000000	0.000343868	85.000000	0.00035573	85.000000	0.000348667	85.000000	0.000354512	85.000000	1.10594e-07	
90.000000	0.000341782	90.000000	0.000341236	90.000000	0.000331771	90.000000	0.000341904	90.000000	0.000335624	90.000000	0.000341131	90.000000	1.05031e-07	
95.000000	0.000329179	95.000000	0.000329023	95.000000	0.000320721	95.000000	0.000329321	95.000000	0.000323798	95.000000	0.000328923	95.000000	1.00024e-07	
100.000000	0.00031767	100.000000	0.000317835	100.000000	0.000310552	100.000000	0.00031782	100.000000	0.000313004	100.000000	0.00031774	100.000000	9.54925e-08	
105.000000	0.000307115	105.000000	0.000307548	105.000000	0.000301162	105.000000	0.000307268	105.000000	0.00030309	105.000000	0.000307457	105.000000	9.13706e-08	
110.000000	0.000297396	110.000000	0.000298058	110.000000	0.000292463	110.000000	0.000297552	110.000000	0.000293987	110.000000	0.00029797	110.000000	8.76045e-08	
115.000000	0.000288416	115.000000	0.000289275	115.000000	0.000284405	115.000000	0.000288579	115.000000	0.000285559	115.000000	0.000289191	115.000000	8.41495e-08	
120.000000	0.000280091	120.000000	0.000281125	120.000000	0.000276911	120.000000	0.000280265	120.000000	0.000277778	120.000000	0.000281044	120.000000	8.09679e-08	
125.000000	0.000272351	125.000000	0.00027354	125.000000	0.000269909	125.000000	0.000272542	125.000000	0.000270533	125.000000	0.000273462	125.000000	7.80281e-08	
130.000000	0.000265135	130.000000	0.000266464	130.000000	0.000263358	130.000000	0.000265349	130.000000	0.000263797	130.000000	0.000266389	130.000000	7.53032e-08	
135.000000	0.000258389	135.000000	0.000259848	135.000000	0.000257233	135.000000	0.000258634	135.000000	0.00025749	135.000000	0.000259775	135.000000	7.27701e-08	
140.000000	0.000252068	140.000000	0.000253649	140.000000	0.000251482	140.000000	0.000252352	140.000000	0.000251611	140.000000	0.000253578	140.000000	7.0409e-08	
145.000000	0.000246132	145.000000	0.000247828	145.000000	0.000246061	145.000000	0.000246461	145.000000	0.000246071	145.000000	0.00024776	145.000000	6.82026e-08	
150.000000	0.000240546	150.000000	0.000242353	150.000000	0.000240947	150.000000	0.000240927	150.000000	0.000240884	150.000000	0.000242287	150.000000	6.61361e-08	
155.000000	0.000232533	155.000000	0.000237193	155.000000	0.000236146	155.000000	0.000235719	155.000000	0.000235988	155.000000	0.000237129	155.000000	6.41963e-08	
160.000000	0.00022791	160.000000	0.000232322	160.000000	0.000231609	160.000000	0.000230809	160.000000	0.000231373	160.000000	0.00023226	160.000000	6.23718e-08	
165.000000	0.000223539	165.000000	0.000227717	165.000000	0.000227292	165.000000	0.000226173	165.000000	0.000227022	165.000000	0.000227656	165.000000	6.06524e-08	
170.000000	0.000219401	170.000000	0.000223357	170.000000	0.0002232 	170.000000	0.000221787	170.000000	0.000222886	170.000000	0.000223298	170.000000	5.90293e-08	
175.000000	0.000215477	175.000000	0.000219222	175.000000	0.000219325	175.000000	0.000217634	175.000000	0.000218977	175.000000	0.000219165	175.000000	5.74944e-08	
180.000000	0.00021175	180.000000	0.000215297	180.000000	0.000215646	180.000000	0.000213695	180.000000	0.000215268	180.000000	0.000215241	180.000000	5.60406e-08	
185.000000	0.000208205	185.000000	0.000211565	185.000000	0.000212144	185.000000	0.000209954	185.000000	0.000211733	185.000000	0.00021151	185.000000	5.46615e-08	
190.000000	0.000204831	190.000000	0.000208013	190.000000	0.000208803	190.000000	0.000206397	190.000000	0.000208377	190.000000	0.00020796	190.000000	5.33515e-08	
195.000000	0.000201614	195.000000	0.000204628	195.000000	0.000205608	195.000000	0.000203011	195.000000	0.000205181	195.000000	0.000204576	195.000000	5.21055e-08	
200.000000	0.000198543	200.000000	0.000201399	200.000000	0.000202555	200.000000	0.000199784	200.000000	0.000202122	200.000000	0.000201348	200.000000	5.09187e-08	
