! 132Cs energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000303047	0.001000	0.000303047	0.001000	0.000262879	0.001000	0.000262879	0.001000	0.000262889	0.001000	6.9495e-05	0.001000	0.000233552	
0.002000	0.000315347	0.002000	0.000315347	0.002000	0.000266696	0.002000	0.000266696	0.002000	0.000266705	0.002000	9.01238e-05	0.002000	0.000225224	
0.005000	0.000313338	0.005000	0.000313338	0.005000	0.000251831	0.005000	0.000251831	0.005000	0.000251837	0.005000	0.000127077	0.005000	0.00018626	
0.008000	0.000309892	0.008000	0.000309892	0.008000	0.000241261	0.008000	0.000241261	0.008000	0.000241266	0.008000	0.00015157	0.008000	0.000158322	
0.010000	0.000309236	0.010000	0.000309236	0.010000	0.000237166	0.010000	0.000237166	0.010000	0.00023717	0.010000	0.000164799	0.010000	0.000144438	
0.015000	0.00031143	0.015000	0.00031143	0.015000	0.000233136	0.015000	0.000233136	0.015000	0.000233139	0.015000	0.000191861	0.015000	0.000119569	
0.020000	0.000316639	0.020000	0.000316639	0.020000	0.000234056	0.020000	0.000234056	0.020000	0.000234059	0.020000	0.000213717	0.020000	0.000102921	
0.025000	0.000323247	0.025000	0.000323247	0.025000	0.000237489	0.025000	0.000237489	0.025000	0.000237491	0.025000	0.00023237	0.025000	9.08761e-05	
0.030000	0.000330503	0.030000	0.000330503	0.030000	0.000242295	0.030000	0.000242295	0.030000	0.000242297	0.030000	0.000248813	0.030000	8.16899e-05	
0.035000	0.000338035	0.035000	0.000338035	0.035000	0.000247888	0.035000	0.000247888	0.035000	0.00024789	0.035000	0.00026362	0.035000	7.44147e-05	
0.040000	0.000345644	0.040000	0.000345644	0.040000	0.000253938	0.040000	0.000253938	0.040000	0.000253939	0.040000	0.000277157	0.040000	6.84869e-05	
0.045000	0.000353222	0.045000	0.000353222	0.045000	0.000260249	0.045000	0.000260249	0.045000	0.00026025	0.045000	0.000289673	0.045000	6.35488e-05	
