! 134Ba energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000310892	0.001000	0.000310892	0.001000	0.000264134	0.001000	0.000264134	0.001000	0.000264143	0.001000	7.37076e-05	0.001000	0.000237184	
0.002000	0.000324892	0.002000	0.000324892	0.002000	0.000267416	0.002000	0.000267416	0.002000	0.000267424	0.002000	9.55869e-05	0.002000	0.000229305	
0.005000	0.000325127	0.005000	0.000325127	0.005000	0.000250601	0.005000	0.000250601	0.005000	0.000250607	0.005000	0.00013478	0.005000	0.000190347	
0.008000	0.000322855	0.008000	0.000322855	0.008000	0.000238312	0.008000	0.000238312	0.008000	0.000238317	0.008000	0.000160757	0.008000	0.000162098	
0.010000	0.000322793	0.010000	0.000322793	0.010000	0.000233214	0.010000	0.000233214	0.010000	0.000233218	0.010000	0.000174788	0.010000	0.000148005	
0.015000	0.000326184	0.015000	0.000326184	0.015000	0.00022705	0.015000	0.00022705	0.015000	0.000227054	0.015000	0.000203492	0.015000	0.000122692	
0.020000	0.000332375	0.020000	0.000332375	0.020000	0.000226205	0.020000	0.000226205	0.020000	0.000226207	0.020000	0.000226672	0.020000	0.000105703	
0.025000	0.000339847	0.025000	0.000339847	0.025000	0.000228115	0.025000	0.000228115	0.025000	0.000228117	0.025000	0.000246456	0.025000	9.33905e-05	
0.030000	0.000347886	0.030000	0.000347886	0.030000	0.000231573	0.030000	0.000231573	0.030000	0.000231575	0.030000	0.000263896	0.030000	8.39898e-05	
0.035000	0.000356139	0.035000	0.000356139	0.035000	0.000235946	0.035000	0.000235946	0.035000	0.000235948	0.035000	0.0002796 	0.035000	7.65384e-05	
0.040000	0.000364421	0.040000	0.000364421	0.040000	0.000240876	0.040000	0.000240876	0.040000	0.000240878	0.040000	0.000293958	0.040000	7.04629e-05	
0.045000	0.000372632	0.045000	0.000372632	0.045000	0.00024615	0.045000	0.00024615	0.045000	0.000246151	0.045000	0.000307232	0.045000	6.53992e-05	
0.050000	0.000380718	0.050000	0.000380718	0.050000	0.000251631	0.050000	0.000251631	0.050000	0.000251632	0.050000	0.000319614	0.050000	6.11034e-05	
0.055000	0.00038865	0.055000	0.00038865	0.055000	0.000257233	0.055000	0.000257233	0.055000	0.000257234	0.055000	0.000331244	0.055000	5.74059e-05	
0.060000	0.000396415	0.060000	0.000396415	0.060000	0.000262897	0.060000	0.000262897	0.060000	0.000262898	0.060000	0.000342231	0.060000	5.41848e-05	
0.070000	0.000411429	0.070000	0.000411429	0.070000	0.000274267	0.070000	0.000274267	0.070000	0.000274268	0.070000	0.000362597	0.070000	4.88319e-05	
0.080000	0.000425766	0.080000	0.000425766	0.080000	0.000285549	0.080000	0.000285549	0.080000	0.00028555	0.080000	0.000381216	0.080000	4.45497e-05	
0.090000	0.000439466	0.090000	0.000439466	0.090000	0.000296654	0.090000	0.000296654	0.090000	0.000296655	0.090000	0.000398431	0.090000	4.10352e-05	
0.100000	0.000485589	0.100000	0.000485589	0.100000	0.000336669	0.100000	0.000336669	0.100000	0.00033667	0.100000	0.000447855	0.100000	3.77337e-05	
0.120000	0.000576878	0.120000	0.000576878	0.120000	0.000419941	0.120000	0.000419941	0.120000	0.000419942	0.120000	0.000543757	0.120000	3.31216e-05	
0.140000	0.000661496	0.140000	0.000661496	0.140000	0.000501117	0.140000	0.000501117	0.140000	0.000501118	0.140000	0.000631891	0.140000	2.96052e-05	
0.160000	0.000738774	0.160000	0.000738774	0.160000	0.000577897	0.160000	0.000577897	0.160000	0.000577898	0.160000	0.000711949	0.160000	2.68256e-05	
0.180000	0.000808899	0.180000	0.000808899	0.180000	0.000649096	0.180000	0.000649096	0.180000	0.000649097	0.180000	0.000784331	0.180000	2.45672e-05	
0.200000	0.000872428	0.200000	0.000872428	0.200000	0.000714274	0.200000	0.000714274	0.200000	0.000714275	0.200000	0.000849737	0.200000	2.26919e-05	
0.250000	0.00100683	0.250000	0.00100683	0.250000	0.000851758	0.250000	0.000851758	0.250000	0.000851759	0.250000	0.000987696	0.250000	1.91386e-05	
0.300000	0.00113223	0.300000	0.00113223	0.300000	0.000958394	0.300000	0.000958394	0.300000	0.000958395	0.300000	0.00111561	0.300000	1.66196e-05	
0.350000	0.00123764	0.350000	0.00123764	0.350000	0.00104211	0.350000	0.00104211	0.350000	0.00104211	0.350000	0.00122291	0.350000	1.47314e-05	
0.400000	0.00132434	0.400000	0.00132434	0.400000	0.00110952	0.400000	0.00110952	0.400000	0.00110953	0.400000	0.00131109	0.400000	1.32584e-05	
0.450000	0.00139655	0.450000	0.00139655	0.450000	0.00116539	0.450000	0.00116539	0.450000	0.00116539	0.450000	0.00138448	0.450000	1.20742e-05	
0.500000	0.00145734	0.500000	0.00145734	0.500000	0.00121293	0.500000	0.00121293	0.500000	0.00121293	0.500000	0.00144625	0.500000	1.10993e-05	
0.600000	0.00156792	0.600000	0.00156792	0.600000	0.00129093	0.600000	0.00129093	0.600000	0.00129093	0.600000	0.00155834	0.600000	9.58479e-06	
0.700000	0.00167687	0.700000	0.00167687	0.700000	0.00135351	0.700000	0.00135351	0.700000	0.00135351	0.700000	0.00166841	0.700000	8.45858e-06	
0.800000	0.00175981	0.800000	0.00175981	0.800000	0.00140545	0.800000	0.00140545	0.800000	0.00140545	0.800000	0.00175223	0.800000	7.58547e-06	
0.900000	0.00182355	0.900000	0.00182355	0.900000	0.00145937	0.900000	0.00145937	0.900000	0.00145938	0.900000	0.00181666	0.900000	6.88708e-06	
1.000000	0.00187277	1.000000	0.00187277	1.000000	0.0015115 	1.000000	0.0015115 	1.000000	0.0015115 	1.000000	0.00186646	1.000000	6.31465e-06	
1.250000	0.00192213	1.250000	0.00192213	1.250000	0.00160829	1.250000	0.00160829	1.250000	0.00160829	1.250000	0.00191688	1.250000	5.24874e-06	
1.500000	0.00193085	1.500000	0.00193085	1.500000	0.00167132	1.500000	0.00167132	1.500000	0.00167132	1.500000	0.00192634	1.500000	4.5081e-06	
1.750000	0.00192701	1.750000	0.00192701	1.750000	0.00171178	1.750000	0.00171178	1.750000	0.00171179	1.750000	0.00192305	1.750000	3.9613e-06	
2.000000	0.00191379	2.000000	0.00191379	2.000000	0.00173662	2.000000	0.00173662	2.000000	0.00173662	2.000000	0.00191025	2.000000	3.53983e-06	
2.250000	0.0018934 	2.250000	0.0018934 	2.250000	0.00175037	2.250000	0.00175037	2.250000	0.00175037	2.250000	0.00189019	2.250000	3.20429e-06	
2.500000	0.00264592	2.500000	0.00187137	2.500000	0.0017561 	2.500000	0.0017561 	2.500000	0.0017561 	2.500000	0.00186844	2.500000	2.93037e-06	
3.000000	0.00254765	3.000000	0.00182496	3.000000	0.00175151	3.000000	0.00175151	3.000000	0.00175151	3.000000	0.00182246	3.000000	2.50905e-06	
3.500000	0.00244964	3.500000	0.00177397	3.500000	0.0017337 	3.500000	0.0017337 	3.500000	0.0017337 	3.500000	0.00177177	3.500000	2.19922e-06	
4.000000	0.00235588	4.000000	0.00172242	4.000000	0.00170853	4.000000	0.00170853	4.000000	0.00170853	4.000000	0.00172046	4.000000	1.96116e-06	
4.500000	0.00226777	4.500000	0.00167499	4.500000	0.00167931	4.500000	0.00167931	4.500000	0.00167931	4.500000	0.00167322	4.500000	1.77214e-06	
5.000000	0.00218561	5.000000	0.00163084	5.000000	0.00164801	5.000000	0.00164801	5.000000	0.00164801	5.000000	0.00162923	5.000000	1.61819e-06	
