! 137La energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000315157	0.001000	0.000315157	0.001000	0.000267876	0.001000	0.000267876	0.001000	0.000267885	0.001000	7.43173e-05	0.001000	0.00024084	
0.002000	0.000329788	0.002000	0.000329788	0.002000	0.000271642	0.002000	0.000271642	0.002000	0.00027165	0.002000	9.63776e-05	0.002000	0.000233411	
0.005000	0.000330356	0.005000	0.000330356	0.005000	0.000254906	0.005000	0.000254906	0.005000	0.000254912	0.005000	0.000135895	0.005000	0.000194461	
0.008000	0.000327989	0.008000	0.000327989	0.008000	0.000242358	0.008000	0.000242358	0.008000	0.000242363	0.008000	0.000162087	0.008000	0.000165902	
0.010000	0.000327836	0.010000	0.000327836	0.010000	0.000237081	0.010000	0.000237081	0.010000	0.000237086	0.010000	0.000176234	0.010000	0.000151602	
0.015000	0.000331019	0.015000	0.000331019	0.015000	0.000230534	0.015000	0.000230534	0.015000	0.000230537	0.015000	0.000205175	0.015000	0.000125844	
0.020000	0.00033706	0.020000	0.00033706	0.020000	0.000229397	0.020000	0.000229397	0.020000	0.0002294 	0.020000	0.000228547	0.020000	0.000108512	
0.025000	0.000344426	0.025000	0.000344426	0.025000	0.000231084	0.025000	0.000231084	0.025000	0.000231086	0.025000	0.000248495	0.025000	9.59313e-05	
0.030000	0.000352394	0.030000	0.000352394	0.030000	0.000234366	0.030000	0.000234366	0.030000	0.000234368	0.030000	0.000266079	0.030000	8.63149e-05	
0.035000	0.000360599	0.035000	0.000360599	0.035000	0.0002386 	0.035000	0.0002386 	0.035000	0.000238601	0.035000	0.000281913	0.035000	7.8686e-05	
0.040000	0.000368851	0.040000	0.000368851	0.040000	0.000243416	0.040000	0.000243416	0.040000	0.000243418	0.040000	0.000296389	0.040000	7.24618e-05	
0.045000	0.000377045	0.045000	0.000377045	0.045000	0.000248596	0.045000	0.000248596	0.045000	0.000248597	0.045000	0.000309774	0.045000	6.72712e-05	
0.050000	0.000385124	0.050000	0.000385124	0.050000	0.000253999	0.050000	0.000253999	0.050000	0.000254  	0.050000	0.000322258	0.050000	6.2866e-05	
0.055000	0.000393057	0.055000	0.000393057	0.055000	0.000259534	0.055000	0.000259534	0.055000	0.000259536	0.055000	0.000333984	0.055000	5.90729e-05	
0.060000	0.000400829	0.060000	0.000400829	0.060000	0.000265142	0.060000	0.000265142	0.060000	0.000265144	0.060000	0.000345061	0.060000	5.57673e-05	
0.070000	0.000415868	0.070000	0.000415868	0.070000	0.000276423	0.070000	0.000276423	0.070000	0.000276424	0.070000	0.000365596	0.070000	5.0272e-05	
0.080000	0.000430243	0.080000	0.000430243	0.080000	0.000287639	0.080000	0.000287639	0.080000	0.00028764	0.080000	0.000384369	0.080000	4.58738e-05	
0.090000	0.000443989	0.090000	0.000443989	0.090000	0.000298693	0.090000	0.000298693	0.090000	0.000298694	0.090000	0.000401727	0.090000	4.22628e-05	
