! 139Ce energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000319372	0.001000	0.000319372	0.001000	0.000268094	0.001000	0.000268094	0.001000	0.000268103	0.001000	7.49545e-05	0.001000	0.000244417	
0.002000	0.000334656	0.002000	0.000334656	0.002000	0.000270933	0.002000	0.000270933	0.002000	0.000270941	0.002000	9.72039e-05	0.002000	0.000237452	
0.005000	0.000335603	0.005000	0.000335603	0.005000	0.000251477	0.005000	0.000251477	0.005000	0.000251483	0.005000	0.00013706	0.005000	0.000198543	
0.008000	0.000333169	0.008000	0.000333169	0.008000	0.000236648	0.008000	0.000236648	0.008000	0.000236652	0.008000	0.000163477	0.008000	0.000169692	
0.010000	0.000332935	0.010000	0.000332935	0.010000	0.000230048	0.010000	0.000230048	0.010000	0.000230052	0.010000	0.000177745	0.010000	0.00015519	
0.015000	0.000335932	0.015000	0.000335932	0.015000	0.000220679	0.015000	0.000220679	0.015000	0.000220682	0.015000	0.000206934	0.015000	0.000128998	
0.020000	0.000341835	0.020000	0.000341835	0.020000	0.000217191	0.020000	0.000217191	0.020000	0.000217193	0.020000	0.000230507	0.020000	0.000111328	
0.025000	0.000349106	0.025000	0.000349106	0.025000	0.000216838	0.025000	0.000216838	0.025000	0.000216841	0.025000	0.000250625	0.025000	9.84808e-05	
0.030000	0.00035701	0.030000	0.00035701	0.030000	0.000218304	0.030000	0.000218304	0.030000	0.000218306	0.030000	0.00026836	0.030000	8.86499e-05	
0.035000	0.000365175	0.035000	0.000365175	0.035000	0.000220886	0.035000	0.000220886	0.035000	0.000220888	0.035000	0.00028433	0.035000	8.08443e-05	
0.040000	0.000373402	0.040000	0.000373402	0.040000	0.000224182	0.040000	0.000224182	0.040000	0.000224184	0.040000	0.00029893	0.040000	7.44717e-05	
0.045000	0.000381584	0.045000	0.000381584	0.045000	0.000227946	0.045000	0.000227946	0.045000	0.000227948	0.045000	0.00031243	0.045000	6.91546e-05	
0.050000	0.000389661	0.050000	0.000389661	0.050000	0.000232021	0.050000	0.000232021	0.050000	0.000232022	0.050000	0.000325021	0.050000	6.46399e-05	
0.055000	0.000397599	0.055000	0.000397599	0.055000	0.000236302	0.055000	0.000236302	0.055000	0.000236303	0.055000	0.000336848	0.055000	6.07511e-05	
0.060000	0.000405381	0.060000	0.000405381	0.060000	0.000240717	0.060000	0.000240717	0.060000	0.000240719	0.060000	0.00034802	0.060000	5.7361e-05	
0.070000	0.000420454	0.070000	0.000420454	0.070000	0.00024977	0.070000	0.00024977	0.070000	0.000249771	0.070000	0.000368731	0.070000	5.1723e-05	
0.080000	0.000434873	0.080000	0.000434873	0.080000	0.00025893	0.080000	0.00025893	0.080000	0.000258931	0.080000	0.000387665	0.080000	4.72085e-05	
0.090000	0.000448672	0.090000	0.000448672	0.090000	0.000268065	0.090000	0.000268065	0.090000	0.000268066	0.090000	0.000405171	0.090000	4.35006e-05	
0.100000	0.000481333	0.100000	0.000481333	0.100000	0.000293354	0.100000	0.000293354	0.100000	0.000293355	0.100000	0.00044094	0.100000	4.03934e-05	
0.120000	0.000576654	0.120000	0.000576654	0.120000	0.000373282	0.120000	0.000373282	0.120000	0.000373283	0.120000	0.000541515	0.120000	3.51394e-05	
0.140000	0.000666  	0.140000	0.000666  	0.140000	0.000453248	0.140000	0.000453248	0.140000	0.000453249	0.140000	0.000634577	0.140000	3.1423e-05	
0.160000	0.000748012	0.160000	0.000748012	0.160000	0.000530128	0.160000	0.000530128	0.160000	0.000530128	0.160000	0.000719529	0.160000	2.84832e-05	
0.180000	0.000822702	0.180000	0.000822702	0.180000	0.000602378	0.180000	0.000602378	0.180000	0.000602379	0.180000	0.000796609	0.180000	2.60931e-05	
0.200000	0.000890542	0.200000	0.000890542	0.200000	0.000669276	0.200000	0.000669276	0.200000	0.000669277	0.200000	0.000866435	0.200000	2.41075e-05	
0.250000	0.00103442	0.250000	0.00103442	0.250000	0.000812682	0.250000	0.000812682	0.250000	0.000812683	0.250000	0.00101407	0.250000	2.03427e-05	
0.300000	0.00115706	0.300000	0.00115706	0.300000	0.000926059	0.300000	0.000926059	0.300000	0.00092606	0.300000	0.00113939	0.300000	1.76718e-05	
0.350000	0.00126204	0.350000	0.00126204	0.350000	0.00101639	0.350000	0.00101639	0.350000	0.00101639	0.350000	0.00124638	0.350000	1.56686e-05	
0.400000	0.00134861	0.400000	0.00134861	0.400000	0.00108994	0.400000	0.00108994	0.400000	0.00108994	0.400000	0.0013345 	0.400000	1.41053e-05	
0.450000	0.00142092	0.450000	0.00142092	0.450000	0.00115136	0.450000	0.00115136	0.450000	0.00115137	0.450000	0.00140807	0.450000	1.28479e-05	
0.500000	0.00148201	0.500000	0.00148201	0.500000	0.00120392	0.500000	0.00120392	0.500000	0.00120392	0.500000	0.00147019	0.500000	1.18126e-05	
0.600000	0.00158162	0.600000	0.00158162	0.600000	0.00129053	0.600000	0.00129053	0.600000	0.00129053	0.600000	0.00157142	0.600000	1.02036e-05	
0.700000	0.00169704	0.700000	0.00169704	0.700000	0.00136024	0.700000	0.00136024	0.700000	0.00136024	0.700000	0.00168803	0.700000	9.00664e-06	
0.800000	0.0017856 	0.800000	0.0017856 	0.800000	0.00141817	0.800000	0.00141817	0.800000	0.00141817	0.800000	0.00177753	0.800000	8.07842e-06	
0.900000	0.00185424	0.900000	0.00185424	0.900000	0.00148372	0.900000	0.00148372	0.900000	0.00148372	0.900000	0.0018469 	0.900000	7.33575e-06	
1.000000	0.00190775	1.000000	0.00190775	1.000000	0.00153958	1.000000	0.00153958	1.000000	0.00153958	1.000000	0.00190103	1.000000	6.72692e-06	
1.250000	0.00197476	1.250000	0.00197476	1.250000	0.00164414	1.250000	0.00164414	1.250000	0.00164414	1.250000	0.00196916	1.250000	5.59288e-06	
1.500000	0.00198752	1.500000	0.00198752	1.500000	0.00171324	1.500000	0.00171324	1.500000	0.00171324	1.500000	0.00198272	1.500000	4.80463e-06	
1.750000	0.00198666	1.750000	0.00198666	1.750000	0.00175851	1.750000	0.00175851	1.750000	0.00175851	1.750000	0.00198244	1.750000	4.22254e-06	
2.000000	0.00197746	2.000000	0.00197746	2.000000	0.0017872 	2.000000	0.0017872 	2.000000	0.0017872 	2.000000	0.00197368	2.000000	3.77377e-06	
2.250000	0.00195999	2.250000	0.00195999	2.250000	0.00180408	2.250000	0.00180408	2.250000	0.00180408	2.250000	0.00195657	2.250000	3.41644e-06	
2.500000	0.0027655 	2.500000	0.00193994	2.500000	0.00181237	2.500000	0.00181237	2.500000	0.00181237	2.500000	0.00193682	2.500000	3.12469e-06	
3.000000	0.00266614	3.000000	0.00189593	3.000000	0.00181161	3.000000	0.00181161	3.000000	0.00181161	3.000000	0.00189326	3.000000	2.67586e-06	
3.500000	0.00256628	3.500000	0.00184785	3.500000	0.00179641	3.500000	0.00179641	3.500000	0.00179641	3.500000	0.0018455 	3.500000	2.34573e-06	
4.000000	0.00247031	4.000000	0.00179231	4.000000	0.00177301	4.000000	0.00177301	4.000000	0.00177301	4.000000	0.00179022	4.000000	2.09204e-06	
4.500000	0.00237983	4.500000	0.00174248	4.500000	0.00174497	4.500000	0.00174497	4.500000	0.00174497	4.500000	0.00174059	4.500000	1.89058e-06	
5.000000	0.00229527	5.000000	0.00169686	5.000000	0.00171443	5.000000	0.00171443	5.000000	0.00171443	5.000000	0.00169513	5.000000	1.72647e-06	
5.500000	0.0022165 	5.500000	0.00165452	5.500000	0.00168269	5.500000	0.00168269	5.500000	0.00168269	5.500000	0.00165293	5.500000	1.59003e-06	
6.000000	0.0021432 	6.000000	0.00161567	6.000000	0.00164837	6.000000	0.00164837	6.000000	0.00164837	6.000000	0.0016142 	6.000000	1.4747e-06	
6.500000	0.00207495	6.500000	0.00157932	6.500000	0.00161277	6.500000	0.00161277	6.500000	0.00161277	6.500000	0.00157794	6.500000	1.37584e-06	
7.000000	0.00201132	7.000000	0.00154435	7.000000	0.00157859	7.000000	0.00157859	7.000000	0.00157859	7.000000	0.00154306	7.000000	1.2901e-06	
7.500000	0.0019519 	7.500000	0.00151076	7.500000	0.00154578	7.500000	0.00154578	7.500000	0.00154579	7.500000	0.00150955	7.500000	1.21498e-06	
8.000000	0.00189631	8.000000	0.00147842	8.000000	0.0015143 	8.000000	0.0015143 	8.000000	0.0015143 	8.000000	0.00147727	8.000000	1.1486e-06	
8.500000	0.00184421	8.500000	0.00144741	8.500000	0.00148408	8.500000	0.00148408	8.500000	0.00148409	8.500000	0.00144632	8.500000	1.08948e-06	
9.000000	0.00179527	9.000000	0.00141767	9.000000	0.00145507	9.000000	0.00145507	9.000000	0.00145507	9.000000	0.00141663	9.000000	1.03647e-06	
9.500000	0.00174923	9.500000	0.00138912	9.500000	0.0014272 	9.500000	0.0014272 	9.500000	0.0014272 	9.500000	0.00138813	9.500000	9.88656e-07	
10.000000	0.00170583	10.000000	0.00130509	10.000000	0.00140041	10.000000	0.00140041	10.000000	0.00140041	10.000000	0.00130414	10.000000	9.45296e-07	
11.000000	0.00162607	11.000000	0.00127275	11.000000	0.00133594	11.000000	0.00135238	11.000000	0.00136644	11.000000	0.00127188	11.000000	8.69618e-07	
12.000000	0.00155448	12.000000	0.00124098	12.000000	0.00127761	12.000000	0.00130807	12.000000	0.00133276	12.000000	0.00124018	12.000000	8.05734e-07	
13.000000	0.00148982	13.000000	0.00121011	13.000000	0.00122465	13.000000	0.00126712	13.000000	0.00129983	13.000000	0.00120936	13.000000	7.51044e-07	
14.000000	0.00143111	14.000000	0.0011803 	14.000000	0.0011764 	14.000000	0.0012292 	14.000000	0.00126791	14.000000	0.00117959	14.000000	7.03665e-07	
15.000000	0.00137754	15.000000	0.00115163	15.000000	0.0011323 	15.000000	0.00119403	15.000000	0.00123715	15.000000	0.00115096	15.000000	6.62199e-07	
16.000000	0.00132843	16.000000	0.00112413	16.000000	0.00109186	16.000000	0.00116135	16.000000	0.00120763	16.000000	0.00112351	16.000000	6.25587e-07	
17.000000	0.00128323	17.000000	0.00109781	17.000000	0.00105468	17.000000	0.00113093	17.000000	0.00117938	17.000000	0.00109722	17.000000	5.9301e-07	
18.000000	0.00124147	18.000000	0.00107264	18.000000	0.00102042	18.000000	0.00110255	18.000000	0.00115234	18.000000	0.00107208	18.000000	5.63825e-07	
19.000000	0.00120277	19.000000	0.00104859	19.000000	0.000988813	19.000000	0.00107605	19.000000	0.00112656	19.000000	0.00104805	19.000000	5.37519e-07	
20.000000	0.00116677	20.000000	0.00102559	20.000000	0.000959577	20.000000	0.00105125	20.000000	0.00110202	20.000000	0.00102508	20.000000	5.13679e-07	
21.000000	0.0011332 	21.000000	0.00100361	21.000000	0.00093249	21.000000	0.00102801	21.000000	0.00107855	21.000000	0.00100311	21.000000	4.91969e-07	
22.000000	0.00110181	22.000000	0.00098258	22.000000	0.000907362	22.000000	0.00100621	22.000000	0.00105626	22.000000	0.000982108	22.000000	4.7211e-07	
23.000000	0.00107239	23.000000	0.000962462	23.000000	0.000884002	23.000000	0.000985739	23.000000	0.00103499	23.000000	0.000962008	23.000000	4.53871e-07	
