! 142Pr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000327303	0.001000	0.000327303	0.001000	0.000277702	0.001000	0.000277702	0.001000	0.000277711	0.001000	7.92854e-05	0.001000	0.000248018	
0.002000	0.000344336	0.002000	0.000344336	0.002000	0.000283493	0.002000	0.000283493	0.002000	0.000283501	0.002000	0.00010282	0.002000	0.000241515	
0.005000	0.00034763	0.005000	0.00034763	0.005000	0.000269019	0.005000	0.000269019	0.005000	0.000269025	0.005000	0.00014498	0.005000	0.00020265	
0.008000	0.000346432	0.008000	0.000346432	0.008000	0.000257458	0.008000	0.000257458	0.008000	0.000257463	0.008000	0.000172923	0.008000	0.000173509	
0.010000	0.000346822	0.010000	0.000346822	0.010000	0.000252663	0.010000	0.000252663	0.010000	0.000252668	0.010000	0.000188015	0.010000	0.000158807	
0.015000	0.000351071	0.015000	0.000351071	0.015000	0.000247129	0.015000	0.000247129	0.015000	0.000247132	0.015000	0.000218891	0.015000	0.00013218	
0.020000	0.000357996	0.020000	0.000357996	0.020000	0.000246901	0.020000	0.000246901	0.020000	0.000246904	0.020000	0.000243826	0.020000	0.000114171	
0.025000	0.000366163	0.025000	0.000366163	0.025000	0.000249453	0.025000	0.000249453	0.025000	0.000249455	0.025000	0.000265107	0.025000	0.000101056	
0.030000	0.000374876	0.030000	0.000374876	0.030000	0.000253569	0.030000	0.000253569	0.030000	0.000253571	0.030000	0.000283866	0.030000	9.10093e-05	
0.035000	0.000383785	0.035000	0.000383785	0.035000	0.00025861	0.035000	0.00025861	0.035000	0.000258612	0.035000	0.000300759	0.035000	8.30259e-05	
0.040000	0.000392707	0.040000	0.000392707	0.040000	0.000264211	0.040000	0.000264211	0.040000	0.000264213	0.040000	0.000316203	0.040000	7.65038e-05	
0.045000	0.000401541	0.045000	0.000401541	0.045000	0.000270153	0.045000	0.000270153	0.045000	0.000270154	0.045000	0.000330482	0.045000	7.10592e-05	
0.050000	0.000410235	0.050000	0.000410235	0.050000	0.000276297	0.050000	0.000276297	0.050000	0.000276298	0.050000	0.000343801	0.050000	6.64342e-05	
0.055000	0.00041876	0.055000	0.00041876	0.055000	0.000282555	0.055000	0.000282555	0.055000	0.000282556	0.055000	0.000356311	0.055000	6.24489e-05	
0.060000	0.000427102	0.060000	0.000427102	0.060000	0.000288866	0.060000	0.000288866	0.060000	0.000288868	0.060000	0.000368129	0.060000	5.89735e-05	
0.070000	0.000443228	0.070000	0.000443228	0.070000	0.000301504	0.070000	0.000301504	0.070000	0.000301505	0.070000	0.000390036	0.070000	5.31914e-05	
0.080000	0.000458624	0.080000	0.000458624	0.080000	0.000314016	0.080000	0.000314016	0.080000	0.000314018	0.080000	0.000410064	0.080000	4.85595e-05	
0.090000	0.000473336	0.090000	0.000473336	0.090000	0.000326313	0.090000	0.000326313	0.090000	0.000326314	0.090000	0.000428582	0.090000	4.47538e-05	
0.100000	0.000498487	0.100000	0.000498487	0.100000	0.000348054	0.100000	0.000348054	0.100000	0.000348055	0.100000	0.000456924	0.100000	4.15637e-05	
0.120000	0.000592369	0.120000	0.000592369	0.120000	0.000432891	0.120000	0.000432891	0.120000	0.000432892	0.120000	0.000556204	0.120000	3.61656e-05	
0.140000	0.000679989	0.140000	0.000679989	0.140000	0.000516137	0.140000	0.000516137	0.140000	0.000516138	0.140000	0.000647641	0.140000	3.2348e-05	
0.160000	0.000760176	0.160000	0.000760176	0.160000	0.000595005	0.160000	0.000595005	0.160000	0.000595006	0.160000	0.000730849	0.160000	2.93269e-05	
0.180000	0.000833067	0.180000	0.000833067	0.180000	0.000668253	0.180000	0.000668253	0.180000	0.000668254	0.180000	0.000806197	0.180000	2.687e-05 	
0.200000	0.000899204	0.200000	0.000899204	0.200000	0.000735405	0.200000	0.000735405	0.200000	0.000735406	0.200000	0.000874376	0.200000	2.48284e-05	
0.250000	0.00103943	0.250000	0.00103943	0.250000	0.000877406	0.250000	0.000877406	0.250000	0.000877407	0.250000	0.00101848	0.250000	2.09562e-05	
0.300000	0.00116168	0.300000	0.00116168	0.300000	0.000987954	0.300000	0.000987954	0.300000	0.000987955	0.300000	0.00114347	0.300000	1.8208e-05	
0.350000	0.00127279	0.350000	0.00127279	0.350000	0.00107507	0.350000	0.00107507	0.350000	0.00107507	0.350000	0.00125664	0.350000	1.61464e-05	
