 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\26_62.txt

 Ion = Iron [26] , Mass = 62 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.256E+00  5.766E+00  710.22 um    76.07 um    70.64 um  
 110.00 keV   1.317E+00  5.631E+00  780.01 um    82.32 um    76.75 um  
 120.00 keV   1.376E+00  5.502E+00  850.57 um    88.49 um    82.86 um  
 130.00 keV   1.474E+00  5.378E+00  921.66 um    94.57 um    88.96 um  
 140.00 keV   1.583E+00  5.260E+00  992.97 um   100.52 um    95.03 um  
 150.00 keV   1.676E+00  5.148E+00    1.06 mm   106.37 um   101.06 um  
 160.00 keV   1.756E+00  5.040E+00    1.14 mm   112.11 um   107.06 um  
 170.00 keV   1.824E+00  4.938E+00    1.21 mm   117.77 um   113.04 um  
 180.00 keV   1.883E+00  4.840E+00    1.28 mm   123.36 um   119.00 um  
 200.00 keV   1.975E+00  4.656E+00    1.43 mm   135.15 um   130.91 um  
 225.00 keV   2.058E+00  4.449E+00    1.61 mm   149.95 um   145.79 um  
 250.00 keV   2.116E+00  4.262E+00    1.80 mm   164.40 um   160.72 um  
 275.00 keV   2.161E+00  4.092E+00    2.00 mm   178.60 um   175.72 um  
 300.00 keV   2.198E+00  3.937E+00    2.20 mm   192.60 um   190.81 um  
 325.00 keV   2.232E+00  3.796E+00    2.40 mm   206.43 um   206.00 um  
 350.00 keV   2.265E+00  3.666E+00    2.60 mm   220.12 um   221.27 um  
