 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\27_65.txt

 Ion = Cobalt [27] , Mass = 65 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.083E+00  6.093E+00  698.25 um    74.39 um    68.95 um  
 110.00 keV   1.135E+00  5.961E+00  766.58 um    80.53 um    74.92 um  
 120.00 keV   1.186E+00  5.833E+00  835.70 um    86.59 um    80.89 um  
 130.00 keV   1.234E+00  5.710E+00  905.62 um    92.60 um    86.88 um  
 140.00 keV   1.342E+00  5.592E+00  975.99 um    98.52 um    92.86 um  
 150.00 keV   1.423E+00  5.479E+00    1.05 mm   104.35 um    98.81 um  
 160.00 keV   1.487E+00  5.370E+00    1.12 mm   110.10 um   104.75 um  
 170.00 keV   1.538E+00  5.267E+00    1.19 mm   115.79 um   110.69 um  
 180.00 keV   1.580E+00  5.167E+00    1.26 mm   121.43 um   116.64 um  
 200.00 keV   1.644E+00  4.980E+00    1.41 mm   133.40 um   128.57 um  
 225.00 keV   1.703E+00  4.767E+00    1.60 mm   148.55 um   143.59 um  
 250.00 keV   1.752E+00  4.575E+00    1.79 mm   163.43 um   158.74 um  
 275.00 keV   1.800E+00  4.399E+00    1.98 mm   178.10 um   174.02 um  
 300.00 keV   1.849E+00  4.239E+00    2.18 mm   192.58 um   189.43 um  
 325.00 keV   1.900E+00  4.092E+00    2.39 mm   206.88 um   204.95 um  
 350.00 keV   1.955E+00  3.956E+00    2.59 mm   221.01 um   220.55 um  
