 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\28_67.txt

 Ion = Nickel [28] , Mass = 67 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   7.280E-01  6.391E+00  698.54 um    74.88 um    69.23 um  
 110.00 keV   7.635E-01  6.261E+00  767.45 um    81.18 um    75.32 um  
 120.00 keV   7.974E-01  6.134E+00  837.33 um    87.44 um    81.44 um  
 130.00 keV   8.300E-01  6.011E+00  908.17 um    93.66 um    87.59 um  
 140.00 keV   9.811E-01  5.893E+00  979.33 um    99.79 um    93.73 um  
 150.00 keV   1.155E+00  5.780E+00    1.05 mm   105.75 um    99.80 um  
 160.00 keV   1.279E+00  5.671E+00    1.12 mm   111.55 um   105.80 um  
 170.00 keV   1.367E+00  5.566E+00    1.19 mm   117.24 um   111.76 um  
 180.00 keV   1.431E+00  5.465E+00    1.26 mm   122.86 um   117.69 um  
 200.00 keV   1.507E+00  5.275E+00    1.40 mm   134.69 um   129.54 um  
 225.00 keV   1.548E+00  5.058E+00    1.59 mm   149.66 um   144.43 um  
 250.00 keV   1.565E+00  4.860E+00    1.78 mm   164.46 um   159.48 um  
 275.00 keV   1.577E+00  4.679E+00    1.97 mm   179.17 um   174.74 um  
 300.00 keV   1.596E+00  4.514E+00    2.17 mm   193.82 um   190.21 um  
 325.00 keV   1.623E+00  4.361E+00    2.37 mm   208.41 um   205.87 um  
 350.00 keV   1.661E+00  4.221E+00    2.58 mm   222.91 um   221.69 um  
