 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\29_70.txt

 Ion = Copper [29] , Mass = 70 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   8.277E-01  6.709E+00  672.89 um    71.12 um    65.72 um  
 110.00 keV   8.681E-01  6.582E+00  737.98 um    76.98 um    71.38 um  
 120.00 keV   9.067E-01  6.458E+00  803.85 um    82.78 um    77.05 um  
 130.00 keV   9.437E-01  6.338E+00  870.51 um    88.54 um    82.73 um  
 140.00 keV   9.793E-01  6.221E+00  937.97 um    94.27 um    88.45 um  
 150.00 keV   1.104E+00  6.108E+00    1.01 mm    99.92 um    94.15 um  
 160.00 keV   1.205E+00  5.999E+00    1.07 mm   105.47 um    99.82 um  
 170.00 keV   1.290E+00  5.894E+00    1.14 mm   110.94 um   105.47 um  
 180.00 keV   1.361E+00  5.793E+00    1.21 mm   116.34 um   111.10 um  
 200.00 keV   1.475E+00  5.601E+00    1.35 mm   127.68 um   122.33 um  
 225.00 keV   1.578E+00  5.380E+00    1.52 mm   141.92 um   136.38 um  
 250.00 keV   1.655E+00  5.178E+00    1.70 mm   155.83 um   150.45 um  
 275.00 keV   1.715E+00  4.993E+00    1.88 mm   169.50 um   164.60 um  
 300.00 keV   1.767E+00  4.822E+00    2.07 mm   182.98 um   178.82 um  
 325.00 keV   1.815E+00  4.665E+00    2.25 mm   196.32 um   193.13 um  
 350.00 keV   1.862E+00  4.519E+00    2.44 mm   209.52 um   207.53 um  
