 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\30_72.txt

 Ion = Zinc [30] , Mass = 72 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.309E+00  6.999E+00  720.47 um    74.69 um    69.05 um  
 110.00 keV   1.373E+00  6.876E+00  787.80 um    80.56 um    74.73 um  
 120.00 keV   1.434E+00  6.754E+00  855.66 um    86.35 um    80.40 um  
 130.00 keV   1.492E+00  6.635E+00  924.05 um    92.06 um    86.06 um  
 140.00 keV   1.549E+00  6.519E+00  992.99 um    97.71 um    91.71 um  
 150.00 keV   1.611E+00  6.407E+00    1.06 mm   103.30 um    97.36 um  
 160.00 keV   1.679E+00  6.298E+00    1.13 mm   108.83 um   102.99 um  
 170.00 keV   1.748E+00  6.193E+00    1.20 mm   114.30 um   108.61 um  
 180.00 keV   1.815E+00  6.091E+00    1.27 mm   119.71 um   114.22 um  
 200.00 keV   1.944E+00  5.897E+00    1.42 mm   131.09 um   125.41 um  
 225.00 keV   2.093E+00  5.673E+00    1.59 mm   145.31 um   139.33 um  
 250.00 keV   2.226E+00  5.468E+00    1.78 mm   159.05 um   153.17 um  
 275.00 keV   2.345E+00  5.278E+00    1.96 mm   172.40 um   166.94 um  
 300.00 keV   2.453E+00  5.104E+00    2.14 mm   185.41 um   180.66 um  
 325.00 keV   2.552E+00  4.942E+00    2.33 mm   198.12 um   194.32 um  
 350.00 keV   2.643E+00  4.792E+00    2.52 mm   210.57 um   207.93 um  
