 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\31_74.txt

 Ion = Gallium [31] , Mass = 74 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.281E+00  7.286E+00  704.83 um    72.78 um    67.19 um  
 110.00 keV   1.344E+00  7.167E+00  770.12 um    78.45 um    72.68 um  
 120.00 keV   1.403E+00  7.048E+00  835.89 um    84.05 um    78.15 um  
 130.00 keV   1.461E+00  6.931E+00  902.16 um    89.58 um    83.62 um  
 140.00 keV   1.516E+00  6.816E+00  968.93 um    95.05 um    89.07 um  
 150.00 keV   1.574E+00  6.704E+00    1.04 mm   100.47 um    94.52 um  
 160.00 keV   1.651E+00  6.596E+00    1.10 mm   105.82 um    99.95 um  
 170.00 keV   1.724E+00  6.491E+00    1.17 mm   111.11 um   105.37 um  
 180.00 keV   1.793E+00  6.389E+00    1.24 mm   116.34 um   110.78 um  
 200.00 keV   1.922E+00  6.194E+00    1.38 mm   127.35 um   121.55 um  
 225.00 keV   2.066E+00  5.967E+00    1.55 mm   141.11 um   134.96 um  
 250.00 keV   2.192E+00  5.759E+00    1.73 mm   154.44 um   148.31 um  
 275.00 keV   2.306E+00  5.566E+00    1.90 mm   167.41 um   161.61 um  
 300.00 keV   2.409E+00  5.387E+00    2.08 mm   180.08 um   174.87 um  
 325.00 keV   2.505E+00  5.221E+00    2.26 mm   192.48 um   188.09 um  
 350.00 keV   2.594E+00  5.067E+00    2.45 mm   204.64 um   201.28 um  
