 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\31_75.txt

 Ion = Gallium [31] , Mass = 75 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.272E+00  7.307E+00  617.94 um    63.50 um    58.62 um  
 110.00 keV   1.335E+00  7.188E+00  675.06 um    68.45 um    63.40 um  
 120.00 keV   1.394E+00  7.070E+00  732.60 um    73.32 um    68.17 um  
 130.00 keV   1.451E+00  6.954E+00  790.57 um    78.14 um    72.93 um  
 140.00 keV   1.506E+00  6.841E+00  848.97 um    82.90 um    77.67 um  
 150.00 keV   1.558E+00  6.730E+00  907.81 um    87.62 um    82.42 um  
 160.00 keV   1.635E+00  6.622E+00  966.98 um    92.28 um    87.15 um  
 170.00 keV   1.708E+00  6.517E+00    1.03 mm    96.89 um    91.88 um  
 180.00 keV   1.777E+00  6.416E+00    1.09 mm   101.45 um    96.58 um  
 200.00 keV   1.906E+00  6.222E+00    1.21 mm   111.05 um   105.97 um  
 225.00 keV   2.049E+00  5.996E+00    1.36 mm   123.06 um   117.65 um  
 250.00 keV   2.176E+00  5.788E+00    1.51 mm   134.68 um   129.28 um  
 275.00 keV   2.290E+00  5.596E+00    1.67 mm   145.99 um   140.86 um  
 300.00 keV   2.393E+00  5.417E+00    1.82 mm   157.04 um   152.41 um  
 325.00 keV   2.489E+00  5.251E+00    1.98 mm   167.85 um   163.93 um  
 350.00 keV   2.578E+00  5.097E+00    2.14 mm   178.45 um   175.41 um  
