 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\32_77.txt

 Ion = Germanium [32] , Mass = 77 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.052E+00  7.589E+00  700.71 um    72.10 um    66.45 um  
 110.00 keV   1.104E+00  7.474E+00  765.47 um    77.75 um    71.89 um  
 120.00 keV   1.153E+00  7.360E+00  830.74 um    83.33 um    77.33 um  
 130.00 keV   1.200E+00  7.246E+00  896.55 um    88.85 um    82.75 um  
 140.00 keV   1.245E+00  7.135E+00  962.91 um    94.32 um    88.18 um  
 150.00 keV   1.289E+00  7.025E+00    1.03 mm    99.74 um    93.61 um  
 160.00 keV   1.289E+00  6.918E+00    1.10 mm   105.15 um    99.06 um  
 170.00 keV   1.282E+00  6.814E+00    1.17 mm   110.56 um   104.54 um  
 180.00 keV   1.294E+00  6.712E+00    1.24 mm   115.97 um   110.06 um  
 200.00 keV   1.353E+00  6.518E+00    1.38 mm   127.51 um   121.17 um  
 225.00 keV   1.459E+00  6.291E+00    1.56 mm   142.09 um   135.15 um  
 250.00 keV   1.576E+00  6.080E+00    1.74 mm   156.32 um   149.18 um  
 275.00 keV   1.693E+00  5.884E+00    1.92 mm   170.20 um   163.22 um  
 300.00 keV   1.802E+00  5.703E+00    2.11 mm   183.78 um   177.26 um  
 325.00 keV   1.901E+00  5.533E+00    2.29 mm   197.10 um   191.30 um  
 350.00 keV   1.989E+00  5.375E+00    2.48 mm   210.19 um   205.34 um  
