 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\33_79.txt

 Ion = Arsenic [33] , Mass = 79 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.221E+00  7.867E+00  677.53 um    69.08 um    63.60 um  
 110.00 keV   1.280E+00  7.757E+00  739.08 um    74.38 um    68.71 um  
 120.00 keV   1.337E+00  7.646E+00  801.01 um    79.60 um    73.80 um  
 130.00 keV   1.392E+00  7.535E+00  863.36 um    84.76 um    78.88 um  
 140.00 keV   1.444E+00  7.426E+00  926.13 um    89.87 um    83.94 um  
 150.00 keV   1.495E+00  7.318E+00  989.33 um    94.92 um    89.00 um  
 160.00 keV   1.552E+00  7.212E+00    1.05 mm    99.93 um    94.05 um  
 170.00 keV   1.633E+00  7.109E+00    1.12 mm   104.89 um    99.09 um  
 180.00 keV   1.707E+00  7.008E+00    1.18 mm   109.79 um   104.12 um  
 200.00 keV   1.840E+00  6.814E+00    1.31 mm   120.11 um   114.12 um  
 225.00 keV   1.983E+00  6.585E+00    1.47 mm   133.01 um   126.57 um  
 250.00 keV   2.106E+00  6.373E+00    1.64 mm   145.53 um   138.98 um  
 275.00 keV   2.214E+00  6.175E+00    1.80 mm   157.75 um   151.34 um  
 300.00 keV   2.313E+00  5.990E+00    1.97 mm   169.70 um   163.69 um  
 325.00 keV   2.404E+00  5.817E+00    2.14 mm   181.42 um   176.02 um  
 350.00 keV   2.489E+00  5.656E+00    2.31 mm   192.95 um   188.33 um  
