 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\34_82.txt

 Ion = Selenium [34] , Mass = 82 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.182E+00  8.157E+00  666.07 um    67.35 um    61.92 um  
 110.00 keV   1.240E+00  8.054E+00  725.96 um    72.47 um    66.85 um  
 120.00 keV   1.295E+00  7.949E+00  786.19 um    77.52 um    71.76 um  
 130.00 keV   1.348E+00  7.842E+00  846.79 um    82.51 um    76.66 um  
 140.00 keV   1.398E+00  7.736E+00  907.78 um    87.44 um    81.54 um  
 150.00 keV   1.448E+00  7.631E+00  969.16 um    92.33 um    86.42 um  
 160.00 keV   1.495E+00  7.528E+00    1.03 mm    97.17 um    91.29 um  
 170.00 keV   1.570E+00  7.426E+00    1.09 mm   101.97 um    96.15 um  
 180.00 keV   1.654E+00  7.327E+00    1.16 mm   106.71 um   100.99 um  
 200.00 keV   1.796E+00  7.134E+00    1.28 mm   116.68 um   110.63 um  
 225.00 keV   1.939E+00  6.907E+00    1.44 mm   129.16 um   122.61 um  
 250.00 keV   2.058E+00  6.694E+00    1.60 mm   141.27 um   134.55 um  
 275.00 keV   2.161E+00  6.494E+00    1.76 mm   153.10 um   146.46 um  
 300.00 keV   2.252E+00  6.307E+00    1.92 mm   164.69 um   158.35 um  
 325.00 keV   2.337E+00  6.132E+00    2.09 mm   176.08 um   170.25 um  
 350.00 keV   2.417E+00  5.968E+00    2.25 mm   187.30 um   182.14 um  
