 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\35_84.txt

 Ion = Bromine [35] , Mass = 84 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.143E+00  8.426E+00  655.12 um    66.02 um    60.60 um  
 110.00 keV   1.199E+00  8.328E+00  713.57 um    71.00 um    65.40 um  
 120.00 keV   1.253E+00  8.227E+00  772.32 um    75.91 um    70.17 um  
 130.00 keV   1.304E+00  8.124E+00  831.40 um    80.76 um    74.93 um  
 140.00 keV   1.353E+00  8.021E+00  890.85 um    85.56 um    79.68 um  
 150.00 keV   1.400E+00  7.919E+00  950.66 um    90.32 um    84.41 um  
 160.00 keV   1.446E+00  7.817E+00    1.01 mm    95.04 um    89.15 um  
 170.00 keV   1.497E+00  7.717E+00    1.07 mm    99.72 um    93.87 um  
 180.00 keV   1.571E+00  7.618E+00    1.13 mm   104.36 um    98.59 um  
 200.00 keV   1.704E+00  7.427E+00    1.25 mm   114.13 um   107.99 um  
 225.00 keV   1.850E+00  7.200E+00    1.41 mm   126.36 um   119.68 um  
 250.00 keV   1.977E+00  6.986E+00    1.56 mm   138.23 um   131.33 um  
 275.00 keV   2.087E+00  6.785E+00    1.72 mm   149.82 um   142.94 um  
 300.00 keV   2.184E+00  6.596E+00    1.88 mm   161.17 um   154.54 um  
 325.00 keV   2.271E+00  6.418E+00    2.04 mm   172.33 um   166.13 um  
 350.00 keV   2.349E+00  6.251E+00    2.20 mm   183.32 um   177.72 um  
