 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\36_86.txt

 Ion = Krypton [36] , Mass = 86 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.847E+00  8.691E+00  615.19 um    60.68 um    55.67 um  
 110.00 keV   1.937E+00  8.598E+00  668.22 um    65.05 um    59.89 um  
 120.00 keV   2.023E+00  8.502E+00  721.31 um    69.33 um    64.06 um  
 130.00 keV   2.105E+00  8.403E+00  774.49 um    73.54 um    68.20 um  
 140.00 keV   2.185E+00  8.303E+00  827.78 um    77.68 um    72.31 um  
 150.00 keV   2.262E+00  8.203E+00  881.21 um    81.76 um    76.39 um  
 160.00 keV   2.336E+00  8.103E+00  934.78 um    85.79 um    80.44 um  
 170.00 keV   2.408E+00  8.005E+00  988.51 um    89.76 um    84.48 um  
 180.00 keV   2.218E+00  7.908E+00    1.04 mm    93.76 um    88.54 um  
 200.00 keV   1.925E+00  7.718E+00    1.16 mm   102.58 um    96.88 um  
 225.00 keV   1.806E+00  7.492E+00    1.30 mm   114.19 um   107.64 um  
 250.00 keV   1.828E+00  7.278E+00    1.46 mm   125.76 um   118.64 um  
 275.00 keV   1.917E+00  7.076E+00    1.61 mm   137.19 um   129.76 um  
 300.00 keV   2.038E+00  6.885E+00    1.77 mm   148.41 um   140.94 um  
 325.00 keV   2.168E+00  6.706E+00    1.93 mm   159.41 um   152.13 um  
 350.00 keV   2.296E+00  6.537E+00    2.09 mm   170.18 um   163.31 um  
