 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\36_87.txt

 Ion = Krypton [36] , Mass = 87 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.836E+00  8.705E+00  539.68 um    53.02 um    48.63 um  
 110.00 keV   1.926E+00  8.614E+00  586.13 um    56.83 um    52.31 um  
 120.00 keV   2.011E+00  8.519E+00  632.62 um    60.56 um    55.95 um  
 130.00 keV   2.093E+00  8.421E+00  679.18 um    64.23 um    59.56 um  
 140.00 keV   2.172E+00  8.323E+00  725.85 um    67.84 um    63.14 um  
 150.00 keV   2.249E+00  8.224E+00  772.62 um    71.40 um    66.70 um  
 160.00 keV   2.322E+00  8.125E+00  819.52 um    74.92 um    70.24 um  
 170.00 keV   2.394E+00  8.027E+00  866.55 um    78.39 um    73.75 um  
 180.00 keV   2.265E+00  7.931E+00  914.18 um    81.86 um    77.28 um  
 200.00 keV   1.947E+00  7.743E+00    1.01 mm    89.51 um    84.52 um  
 225.00 keV   1.810E+00  7.518E+00    1.14 mm    99.59 um    93.87 um  
 250.00 keV   1.821E+00  7.305E+00    1.28 mm   109.67 um   103.44 um  
 275.00 keV   1.904E+00  7.103E+00    1.41 mm   119.63 um   113.12 um  
 300.00 keV   2.020E+00  6.913E+00    1.55 mm   129.42 um   122.86 um  
 325.00 keV   2.148E+00  6.734E+00    1.69 mm   139.02 um   132.61 um  
 350.00 keV   2.276E+00  6.565E+00    1.83 mm   148.42 um   142.35 um  
