 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\37_89.txt

 Ion = Rubidium [37] , Mass = 89 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.158E+00  8.964E+00  632.28 um    62.87 um    57.54 um  
 110.00 keV   1.214E+00  8.879E+00  687.52 um    67.51 um    62.01 um  
 120.00 keV   1.268E+00  8.789E+00  742.98 um    72.09 um    66.45 um  
 130.00 keV   1.320E+00  8.696E+00  798.67 um    76.60 um    70.87 um  
 140.00 keV   1.370E+00  8.600E+00  854.62 um    81.07 um    75.27 um  
 150.00 keV   1.418E+00  8.504E+00  910.86 um    85.49 um    79.66 um  
 160.00 keV   1.464E+00  8.408E+00  967.40 um    89.87 um    84.04 um  
 170.00 keV   1.509E+00  8.312E+00    1.02 mm    94.22 um    88.41 um  
 180.00 keV   1.578E+00  8.218E+00    1.08 mm    98.53 um    92.77 um  
 200.00 keV   1.841E+00  8.032E+00    1.20 mm   107.53 um   101.41 um  
 225.00 keV   2.060E+00  7.808E+00    1.34 mm   118.66 um   112.03 um  
 250.00 keV   2.207E+00  7.596E+00    1.48 mm   129.39 um   122.54 um  
 275.00 keV   2.314E+00  7.394E+00    1.62 mm   139.85 um   132.98 um  
 300.00 keV   2.396E+00  7.203E+00    1.77 mm   150.10 um   143.40 um  
 325.00 keV   2.465E+00  7.022E+00    1.92 mm   160.21 um   153.81 um  
 350.00 keV   2.527E+00  6.851E+00    2.06 mm   170.18 um   164.22 um  
