 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\38_91.txt

 Ion = Strontium [38] , Mass = 91 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.183E+00  9.219E+00  621.08 um    61.46 um    56.17 um  
 110.00 keV   1.241E+00  9.140E+00  674.83 um    65.95 um    60.49 um  
 120.00 keV   1.296E+00  9.055E+00  728.74 um    70.38 um    64.78 um  
 130.00 keV   1.349E+00  8.966E+00  782.84 um    74.74 um    69.05 um  
 140.00 keV   1.400E+00  8.875E+00  837.16 um    79.05 um    73.30 um  
 150.00 keV   1.449E+00  8.782E+00  891.73 um    83.32 um    77.53 um  
 160.00 keV   1.497E+00  8.688E+00  946.56 um    87.55 um    81.75 um  
 170.00 keV   1.543E+00  8.595E+00    1.00 mm    91.75 um    85.97 um  
 180.00 keV   1.587E+00  8.502E+00    1.06 mm    95.91 um    90.18 um  
 200.00 keV   1.812E+00  8.319E+00    1.17 mm   104.65 um    98.53 um  
 225.00 keV   2.020E+00  8.098E+00    1.31 mm   115.49 um   108.83 um  
 250.00 keV   2.168E+00  7.886E+00    1.45 mm   125.96 um   119.02 um  
 275.00 keV   2.280E+00  7.684E+00    1.59 mm   136.16 um   129.16 um  
 300.00 keV   2.370E+00  7.492E+00    1.73 mm   146.16 um   139.26 um  
 325.00 keV   2.448E+00  7.310E+00    1.87 mm   156.00 um   149.36 um  
 350.00 keV   2.519E+00  7.138E+00    2.01 mm   165.70 um   159.45 um  
