 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\39_94.txt

 Ion = Yttrium [39] , Mass = 94 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.238E+00  9.480E+00  610.14 um    59.81 um    54.57 um  
 110.00 keV   1.298E+00  9.409E+00  662.30 um    64.13 um    58.71 um  
 120.00 keV   1.356E+00  9.331E+00  714.56 um    68.37 um    62.83 um  
 130.00 keV   1.411E+00  9.248E+00  766.96 um    72.55 um    66.92 um  
 140.00 keV   1.465E+00  9.162E+00  819.53 um    76.68 um    70.98 um  
 150.00 keV   1.516E+00  9.074E+00  872.29 um    80.77 um    75.03 um  
 160.00 keV   1.566E+00  8.984E+00  925.26 um    84.81 um    79.07 um  
 170.00 keV   1.614E+00  8.894E+00  978.45 um    88.82 um    83.09 um  
 180.00 keV   1.661E+00  8.804E+00    1.03 mm    92.80 um    87.11 um  
 200.00 keV   1.863E+00  8.626E+00    1.14 mm   101.16 um    95.08 um  
 225.00 keV   2.110E+00  8.409E+00    1.27 mm   111.53 um   104.90 um  
 250.00 keV   2.280E+00  8.199E+00    1.41 mm   121.50 um   114.58 um  
 275.00 keV   2.405E+00  7.999E+00    1.54 mm   131.20 um   124.19 um  
 300.00 keV   2.502E+00  7.808E+00    1.68 mm   140.69 um   133.76 um  
 325.00 keV   2.583E+00  7.625E+00    1.81 mm   150.02 um   143.30 um  
 350.00 keV   2.655E+00  7.452E+00    1.95 mm   159.23 um   152.83 um  
