 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\40_96.txt

 Ion = Zirconium [40] , Mass = 96 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.134E+00  9.725E+00  605.10 um    59.22 um    53.94 um  
 110.00 keV   1.189E+00  9.661E+00  656.58 um    63.48 um    58.03 um  
 120.00 keV   1.242E+00  9.589E+00  708.15 um    67.67 um    62.09 um  
 130.00 keV   1.293E+00  9.511E+00  759.86 um    71.80 um    66.12 um  
 140.00 keV   1.342E+00  9.428E+00  811.73 um    75.88 um    70.13 um  
 150.00 keV   1.389E+00  9.344E+00  863.79 um    79.91 um    74.13 um  
 160.00 keV   1.434E+00  9.257E+00  916.05 um    83.91 um    78.11 um  
 170.00 keV   1.479E+00  9.170E+00  968.54 um    87.88 um    82.08 um  
 180.00 keV   1.522E+00  9.082E+00    1.02 mm    91.81 um    86.04 um  
 200.00 keV   1.692E+00  8.908E+00    1.13 mm   100.11 um    93.93 um  
 225.00 keV   1.959E+00  8.694E+00    1.26 mm   110.40 um   103.64 um  
 250.00 keV   2.129E+00  8.486E+00    1.39 mm   120.29 um   113.23 um  
 275.00 keV   2.244E+00  8.287E+00    1.52 mm   129.92 um   122.74 um  
 300.00 keV   2.328E+00  8.095E+00    1.66 mm   139.36 um   132.21 um  
 325.00 keV   2.395E+00  7.913E+00    1.79 mm   148.66 um   141.68 um  
 350.00 keV   2.454E+00  7.739E+00    1.93 mm   157.86 um   151.16 um  
