 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\41_98.txt

 Ion = Niobium [41] , Mass = 98 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.246E+00  9.966E+00  592.83 um    57.65 um    52.42 um  
 110.00 keV   1.306E+00  9.908E+00  642.68 um    61.74 um    56.35 um  
 120.00 keV   1.364E+00  9.842E+00  692.57 um    65.75 um    60.24 um  
 130.00 keV   1.420E+00  9.769E+00  742.53 um    69.71 um    64.10 um  
 140.00 keV   1.474E+00  9.691E+00  792.60 um    73.61 um    67.94 um  
 150.00 keV   1.526E+00  9.610E+00  842.81 um    77.47 um    71.76 um  
 160.00 keV   1.576E+00  9.527E+00  893.18 um    81.29 um    75.56 um  
 170.00 keV   1.624E+00  9.443E+00  943.72 um    85.07 um    79.35 um  
 180.00 keV   1.671E+00  9.358E+00  994.44 um    88.82 um    83.13 um  
 200.00 keV   1.742E+00  9.187E+00    1.10 mm    96.78 um    90.67 um  
 225.00 keV   1.780E+00  8.977E+00    1.23 mm   106.84 um   100.09 um  
 250.00 keV   1.864E+00  8.771E+00    1.36 mm   116.71 um   109.53 um  
 275.00 keV   1.968E+00  8.573E+00    1.49 mm   126.38 um   118.97 um  
 300.00 keV   2.078E+00  8.383E+00    1.62 mm   135.87 um   128.39 um  
 325.00 keV   2.188E+00  8.200E+00    1.76 mm   145.19 um   137.80 um  
 350.00 keV   2.294E+00  8.025E+00    1.89 mm   154.36 um   147.19 um  
