 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\41_99.txt

 Ion = Niobium [41] , Mass = 99 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.239E+00  9.975E+00  520.09 um    50.39 um    45.81 um  
 110.00 keV   1.300E+00  9.919E+00  563.75 um    53.96 um    49.24 um  
 120.00 keV   1.358E+00  9.854E+00  607.44 um    57.46 um    52.63 um  
 130.00 keV   1.413E+00  9.782E+00  651.19 um    60.91 um    56.00 um  
 140.00 keV   1.466E+00  9.706E+00  695.04 um    64.32 um    59.35 um  
 150.00 keV   1.518E+00  9.626E+00  739.00 um    67.69 um    62.68 um  
 160.00 keV   1.568E+00  9.544E+00  783.09 um    71.02 um    66.00 um  
 170.00 keV   1.616E+00  9.461E+00  827.33 um    74.32 um    69.30 um  
 180.00 keV   1.663E+00  9.377E+00  871.73 um    77.59 um    72.60 um  
 200.00 keV   1.743E+00  9.208E+00  961.08 um    84.53 um    79.17 um  
 225.00 keV   1.774E+00  8.998E+00    1.07 mm    93.30 um    87.38 um  
 250.00 keV   1.855E+00  8.795E+00    1.19 mm   101.91 um    95.61 um  
 275.00 keV   1.956E+00  8.597E+00    1.30 mm   110.35 um   103.84 um  
 300.00 keV   2.065E+00  8.408E+00    1.42 mm   118.63 um   112.06 um  
 325.00 keV   2.174E+00  8.226E+00    1.54 mm   126.77 um   120.26 um  
 350.00 keV   2.279E+00  8.052E+00    1.66 mm   134.77 um   128.45 um  
 375.00 keV   2.380E+00  7.885E+00    1.78 mm   142.65 um   136.62 um  
