 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\42_101.txt

 Ion = Molybdenum [42] , Mass = 101 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.129E+00  1.021E+01  589.74 um    57.07 um    51.79 um  
 110.00 keV   1.184E+00  1.016E+01  639.03 um    61.09 um    55.65 um  
 120.00 keV   1.237E+00  1.010E+01  688.35 um    65.05 um    59.48 um  
 130.00 keV   1.287E+00  1.004E+01  737.73 um    68.95 um    63.29 um  
 140.00 keV   1.336E+00  9.964E+00  787.22 um    72.79 um    67.07 um  
 150.00 keV   1.383E+00  9.888E+00  836.84 um    76.60 um    70.83 um  
 160.00 keV   1.428E+00  9.810E+00  886.61 um    80.37 um    74.57 um  
 170.00 keV   1.472E+00  9.730E+00  936.55 um    84.10 um    78.31 um  
 180.00 keV   1.514E+00  9.648E+00  986.66 um    87.81 um    82.03 um  
 200.00 keV   1.596E+00  9.484E+00    1.09 mm    95.65 um    89.45 um  
 225.00 keV   1.861E+00  9.279E+00    1.21 mm   105.45 um    98.64 um  
 250.00 keV   2.052E+00  9.078E+00    1.34 mm   114.86 um   107.69 um  
 275.00 keV   2.190E+00  8.882E+00    1.47 mm   124.00 um   116.66 um  
 300.00 keV   2.296E+00  8.693E+00    1.59 mm   132.94 um   125.58 um  
 325.00 keV   2.381E+00  8.512E+00    1.72 mm   141.74 um   134.47 um  
 350.00 keV   2.453E+00  8.337E+00    1.85 mm   150.41 um   143.35 um  
