 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\43_103.txt

 Ion = Technetium [43] , Mass = 103 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.110E+00  1.044E+01  583.01 um    56.23 um    50.94 um  
 110.00 keV   1.164E+00  1.040E+01  631.39 um    60.16 um    54.72 um  
 120.00 keV   1.216E+00  1.035E+01  679.77 um    64.03 um    58.46 um  
 130.00 keV   1.265E+00  1.029E+01  728.20 um    67.84 um    62.18 um  
 140.00 keV   1.313E+00  1.022E+01  776.71 um    71.60 um    65.87 um  
 150.00 keV   1.359E+00  1.015E+01  825.32 um    75.32 um    69.54 um  
 160.00 keV   1.404E+00  1.007E+01  874.07 um    79.00 um    73.20 um  
 170.00 keV   1.447E+00  9.996E+00  922.97 um    82.65 um    76.84 um  
 180.00 keV   1.489E+00  9.917E+00  972.04 um    86.27 um    80.47 um  
 200.00 keV   1.569E+00  9.757E+00    1.07 mm    93.93 um    87.71 um  
 225.00 keV   1.823E+00  9.557E+00    1.19 mm   103.50 um    96.67 um  
 250.00 keV   2.033E+00  9.359E+00    1.32 mm   112.69 um   105.50 um  
 275.00 keV   2.181E+00  9.165E+00    1.44 mm   121.61 um   114.23 um  
 300.00 keV   2.290E+00  8.978E+00    1.57 mm   130.33 um   122.91 um  
 325.00 keV   2.374E+00  8.797E+00    1.69 mm   138.91 um   131.55 um  
 350.00 keV   2.444E+00  8.623E+00    1.82 mm   147.36 um   140.19 um  
