 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\44_106.txt

 Ion = Ruthenium [44] , Mass = 106 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.081E+00  1.067E+01  577.71 um    55.35 um    50.04 um  
 110.00 keV   1.134E+00  1.064E+01  625.25 um    59.19 um    53.73 um  
 120.00 keV   1.184E+00  1.060E+01  672.76 um    62.97 um    57.38 um  
 130.00 keV   1.232E+00  1.054E+01  720.29 um    66.68 um    61.00 um  
 140.00 keV   1.279E+00  1.048E+01  767.88 um    70.35 um    64.60 um  
 150.00 keV   1.324E+00  1.042E+01  815.56 um    73.97 um    68.17 um  
 160.00 keV   1.367E+00  1.035E+01  863.34 um    77.55 um    71.73 um  
 170.00 keV   1.409E+00  1.027E+01  911.26 um    81.11 um    75.28 um  
 180.00 keV   1.450E+00  1.020E+01  959.31 um    84.63 um    78.81 um  
 200.00 keV   1.529E+00  1.005E+01    1.06 mm    92.10 um    85.85 um  
 225.00 keV   1.753E+00  9.852E+00    1.18 mm   101.44 um    94.57 um  
 250.00 keV   1.997E+00  9.659E+00    1.30 mm   110.41 um   103.16 um  
 275.00 keV   2.161E+00  9.469E+00    1.42 mm   119.09 um   111.64 um  
 300.00 keV   2.277E+00  9.284E+00    1.54 mm   127.57 um   120.06 um  
 325.00 keV   2.363E+00  9.105E+00    1.66 mm   135.89 um   128.43 um  
 350.00 keV   2.431E+00  8.932E+00    1.78 mm   144.11 um   136.79 um  
