 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\45_108.txt

 Ion = Rhodium [45] , Mass = 108 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.102E+00  1.090E+01  570.47 um    54.44 um    49.13 um  
 110.00 keV   1.156E+00  1.087E+01  617.04 um    58.18 um    52.72 um  
 120.00 keV   1.207E+00  1.083E+01  663.56 um    61.86 um    56.28 um  
 130.00 keV   1.256E+00  1.078E+01  710.06 um    65.47 um    59.80 um  
 140.00 keV   1.304E+00  1.073E+01  756.60 um    69.04 um    63.30 um  
 150.00 keV   1.350E+00  1.067E+01  803.19 um    72.57 um    66.78 um  
 160.00 keV   1.394E+00  1.060E+01  849.88 um    76.05 um    70.24 um  
 170.00 keV   1.437E+00  1.053E+01  896.66 um    79.51 um    73.68 um  
 180.00 keV   1.478E+00  1.046E+01  943.57 um    82.93 um    77.11 um  
 200.00 keV   1.558E+00  1.031E+01    1.04 mm    90.19 um    83.95 um  
 225.00 keV   1.722E+00  1.012E+01    1.16 mm    99.29 um    92.43 um  
 250.00 keV   1.943E+00  9.935E+00    1.27 mm   108.07 um   100.81 um  
 275.00 keV   2.104E+00  9.748E+00    1.39 mm   116.58 um   109.09 um  
 300.00 keV   2.226E+00  9.565E+00    1.51 mm   124.90 um   117.31 um  
 325.00 keV   2.324E+00  9.388E+00    1.63 mm   133.06 um   125.49 um  
 350.00 keV   2.405E+00  9.215E+00    1.75 mm   141.10 um   133.65 um  
