 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\46_110.txt

 Ion = Palladium [46] , Mass = 110 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.196E+00  1.111E+01  561.41 um    53.28 um    48.00 um  
 110.00 keV   1.254E+00  1.110E+01  606.79 um    56.90 um    51.47 um  
 120.00 keV   1.310E+00  1.106E+01  652.08 um    60.45 um    54.91 um  
 130.00 keV   1.363E+00  1.102E+01  697.33 um    63.94 um    58.31 um  
 140.00 keV   1.415E+00  1.097E+01  742.56 um    67.38 um    61.69 um  
 150.00 keV   1.464E+00  1.091E+01  787.82 um    70.78 um    65.04 um  
 160.00 keV   1.512E+00  1.085E+01  833.13 um    74.14 um    68.37 um  
 170.00 keV   1.559E+00  1.079E+01  878.52 um    77.47 um    71.69 um  
 180.00 keV   1.604E+00  1.072E+01  923.99 um    80.76 um    74.99 um  
 200.00 keV   1.691E+00  1.058E+01    1.02 mm    87.73 um    81.55 um  
 225.00 keV   1.790E+00  1.039E+01    1.13 mm    96.50 um    89.71 um  
 250.00 keV   1.885E+00  1.021E+01    1.25 mm   105.06 um    97.83 um  
 275.00 keV   1.988E+00  1.003E+01    1.36 mm   113.43 um   105.92 um  
 300.00 keV   2.094E+00  9.845E+00    1.48 mm   121.63 um   113.98 um  
 325.00 keV   2.199E+00  9.669E+00    1.60 mm   129.70 um   122.01 um  
 350.00 keV   2.300E+00  9.497E+00    1.72 mm   137.65 um   130.02 um  
