 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\46_111.txt

 Ion = Palladium [46] , Mass = 111 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.190E+00  1.112E+01  492.59 um    46.60 um    41.96 um  
 110.00 keV   1.248E+00  1.110E+01  532.35 um    49.76 um    45.00 um  
 120.00 keV   1.304E+00  1.107E+01  572.03 um    52.86 um    48.00 um  
 130.00 keV   1.357E+00  1.103E+01  611.66 um    55.91 um    50.97 um  
 140.00 keV   1.408E+00  1.098E+01  651.28 um    58.91 um    53.91 um  
 150.00 keV   1.458E+00  1.092E+01  690.92 um    61.88 um    56.84 um  
 160.00 keV   1.506E+00  1.086E+01  730.60 um    64.81 um    59.75 um  
 170.00 keV   1.552E+00  1.080E+01  770.34 um    67.71 um    62.64 um  
 180.00 keV   1.597E+00  1.073E+01  810.16 um    70.59 um    65.52 um  
 200.00 keV   1.683E+00  1.059E+01  890.06 um    76.68 um    71.25 um  
 225.00 keV   1.783E+00  1.041E+01  990.55 um    84.33 um    78.37 um  
 250.00 keV   1.876E+00  1.023E+01    1.09 mm    91.80 um    85.46 um  
 275.00 keV   1.978E+00  1.005E+01    1.19 mm    99.11 um    92.51 um  
 300.00 keV   2.083E+00  9.867E+00    1.30 mm   106.27 um    99.54 um  
 325.00 keV   2.187E+00  9.691E+00    1.40 mm   113.32 um   106.55 um  
 350.00 keV   2.287E+00  9.521E+00    1.50 mm   120.25 um   113.54 um  
 375.00 keV   2.384E+00  9.355E+00    1.61 mm   127.09 um   120.51 um  
