 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\47_113.txt

 Ion = Silver [47] , Mass = 113 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.868E+00  1.133E+01  537.05 um    49.94 um    44.88 um  
 110.00 keV   1.959E+00  1.132E+01  579.35 um    53.22 um    48.03 um  
 120.00 keV   2.046E+00  1.130E+01  621.45 um    56.42 um    51.13 um  
 130.00 keV   2.130E+00  1.126E+01  663.38 um    59.55 um    54.19 um  
 140.00 keV   2.210E+00  1.122E+01  705.20 um    62.63 um    57.21 um  
 150.00 keV   2.288E+00  1.117E+01  746.93 um    65.66 um    60.21 um  
 160.00 keV   2.363E+00  1.111E+01  788.60 um    68.64 um    63.18 um  
 170.00 keV   2.435E+00  1.105E+01  830.24 um    71.58 um    66.12 um  
 180.00 keV   2.506E+00  1.099E+01  871.85 um    74.49 um    69.04 um  
 200.00 keV   2.642E+00  1.085E+01  955.09 um    80.63 um    74.82 um  
 225.00 keV   2.802E+00  1.068E+01    1.06 mm    88.30 um    81.96 um  
 250.00 keV   2.778E+00  1.050E+01    1.16 mm    95.79 um    89.06 um  
 275.00 keV   2.834E+00  1.032E+01    1.27 mm   103.17 um    96.15 um  
 300.00 keV   2.934E+00  1.014E+01    1.38 mm   110.42 um   103.23 um  
 325.00 keV   3.056E+00  9.970E+00    1.49 mm   117.53 um   110.27 um  
 350.00 keV   3.186E+00  9.801E+00    1.59 mm   124.51 um   117.28 um  
 375.00 keV   3.315E+00  9.636E+00    1.70 mm   131.36 um   124.24 um  
