 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\48_115.txt

 Ion = Cadmium [48] , Mass = 115 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.179E+00  1.154E+01  551.43 um    51.83 um    46.50 um  
 110.00 keV   1.237E+00  1.154E+01  595.35 um    55.29 um    49.82 um  
 120.00 keV   1.292E+00  1.152E+01  639.13 um    58.69 um    53.11 um  
 130.00 keV   1.344E+00  1.149E+01  682.82 um    62.02 um    56.36 um  
 140.00 keV   1.395E+00  1.145E+01  726.46 um    65.31 um    59.58 um  
 150.00 keV   1.444E+00  1.141E+01  770.09 um    68.55 um    62.77 um  
 160.00 keV   1.491E+00  1.136E+01  813.73 um    71.75 um    65.95 um  
 170.00 keV   1.537E+00  1.130E+01  857.41 um    74.92 um    69.10 um  
 180.00 keV   1.582E+00  1.124E+01  901.15 um    78.06 um    72.24 um  
 200.00 keV   1.667E+00  1.111E+01  988.84 um    84.71 um    78.49 um  
 225.00 keV   1.769E+00  1.094E+01    1.10 mm    93.06 um    86.23 um  
 250.00 keV   1.852E+00  1.077E+01    1.21 mm   101.20 um    93.94 um  
 275.00 keV   1.944E+00  1.059E+01    1.32 mm   109.17 um   101.61 um  
 300.00 keV   2.043E+00  1.042E+01    1.43 mm   117.00 um   109.26 um  
 325.00 keV   2.142E+00  1.025E+01    1.55 mm   124.69 um   116.88 um  
 350.00 keV   2.241E+00  1.008E+01    1.66 mm   132.27 um   124.48 um  
