 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\49_118.txt

 Ion = Indium [49] , Mass = 118 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.134E+00  1.175E+01  548.32 um    51.25 um    45.88 um  
 110.00 keV   1.190E+00  1.176E+01  591.69 um    54.66 um    49.14 um  
 120.00 keV   1.243E+00  1.175E+01  634.89 um    57.99 um    52.36 um  
 130.00 keV   1.293E+00  1.172E+01  677.99 um    61.26 um    55.55 um  
 140.00 keV   1.342E+00  1.169E+01  721.03 um    64.48 um    58.70 um  
 150.00 keV   1.389E+00  1.165E+01  764.04 um    67.66 um    61.84 um  
 160.00 keV   1.435E+00  1.161E+01  807.06 um    70.80 um    64.95 um  
 170.00 keV   1.479E+00  1.155E+01  850.09 um    73.91 um    68.04 um  
 180.00 keV   1.522E+00  1.150E+01  893.17 um    76.99 um    71.12 um  
 200.00 keV   1.604E+00  1.138E+01  979.52 um    83.50 um    77.23 um  
 225.00 keV   1.701E+00  1.122E+01    1.09 mm    91.69 um    84.82 um  
 250.00 keV   1.816E+00  1.105E+01    1.20 mm    99.66 um    92.35 um  
 275.00 keV   1.937E+00  1.088E+01    1.31 mm   107.44 um    99.83 um  
 300.00 keV   2.048E+00  1.071E+01    1.42 mm   115.06 um   107.27 um  
 325.00 keV   2.150E+00  1.054E+01    1.53 mm   122.54 um   114.68 um  
 350.00 keV   2.245E+00  1.038E+01    1.64 mm   129.91 um   122.06 um  
 375.00 keV   2.334E+00  1.022E+01    1.75 mm   137.18 um   129.41 um  
