 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\50_120.txt

 Ion = Tin [50] , Mass = 120 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.097E+00  1.195E+01  544.47 um    50.77 um    45.36 um  
 110.00 keV   1.150E+00  1.196E+01  587.29 um    54.12 um    48.57 um  
 120.00 keV   1.201E+00  1.196E+01  629.94 um    57.40 um    51.74 um  
 130.00 keV   1.251E+00  1.194E+01  672.47 um    60.62 um    54.88 um  
 140.00 keV   1.298E+00  1.192E+01  714.92 um    63.79 um    57.98 um  
 150.00 keV   1.343E+00  1.188E+01  757.34 um    66.92 um    61.06 um  
 160.00 keV   1.387E+00  1.184E+01  799.75 um    70.01 um    64.12 um  
 170.00 keV   1.430E+00  1.179E+01  842.17 um    73.07 um    67.16 um  
 180.00 keV   1.471E+00  1.174E+01  884.62 um    76.10 um    70.19 um  
 200.00 keV   1.551E+00  1.163E+01  969.70 um    82.50 um    76.20 um  
 225.00 keV   1.645E+00  1.148E+01    1.08 mm    90.56 um    83.65 um  
 250.00 keV   1.773E+00  1.131E+01    1.18 mm    98.39 um    91.05 um  
 275.00 keV   1.930E+00  1.115E+01    1.29 mm   106.02 um    98.38 um  
 300.00 keV   2.058E+00  1.098E+01    1.40 mm   113.47 um   105.65 um  
 325.00 keV   2.167E+00  1.082E+01    1.51 mm   120.78 um   112.88 um  
 350.00 keV   2.262E+00  1.065E+01    1.62 mm   127.97 um   120.08 um  
 375.00 keV   2.347E+00  1.049E+01    1.72 mm   135.07 um   127.25 um  
