 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\51_122.txt

 Ion = Antimony [51] , Mass = 122 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.096E+00  1.215E+01  539.81 um    50.18 um    44.74 um  
 110.00 keV   1.150E+00  1.217E+01  581.99 um    53.46 um    47.89 um  
 120.00 keV   1.201E+00  1.217E+01  623.98 um    56.68 um    51.00 um  
 130.00 keV   1.250E+00  1.216E+01  665.84 um    59.84 um    54.08 um  
 140.00 keV   1.297E+00  1.214E+01  707.61 um    62.95 um    57.12 um  
 150.00 keV   1.343E+00  1.211E+01  749.32 um    66.01 um    60.14 um  
 160.00 keV   1.387E+00  1.207E+01  791.01 um    69.04 um    63.13 um  
 170.00 keV   1.429E+00  1.203E+01  832.70 um    72.03 um    66.11 um  
 180.00 keV   1.471E+00  1.198E+01  874.41 um    75.00 um    69.07 um  
 200.00 keV   1.550E+00  1.188E+01  957.95 um    81.27 um    74.95 um  
 225.00 keV   1.644E+00  1.173E+01    1.06 mm    89.15 um    82.24 um  
 250.00 keV   1.778E+00  1.157E+01    1.17 mm    96.81 um    89.47 um  
 275.00 keV   2.005E+00  1.141E+01    1.27 mm   104.24 um    96.61 um  
 300.00 keV   2.178E+00  1.125E+01    1.38 mm   111.46 um   103.66 um  
 325.00 keV   2.314E+00  1.109E+01    1.48 mm   118.52 um   110.64 um  
 350.00 keV   2.423E+00  1.093E+01    1.59 mm   125.45 um   117.58 um  
 375.00 keV   2.513E+00  1.077E+01    1.69 mm   132.27 um   124.48 um  
