 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\51_123.txt

 Ion = Antimony [51] , Mass = 123 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.092E+00  1.215E+01  473.67 um    43.90 um    39.13 um  
 110.00 keV   1.145E+00  1.217E+01  510.63 um    46.78 um    41.88 um  
 120.00 keV   1.196E+00  1.218E+01  547.43 um    49.59 um    44.60 um  
 130.00 keV   1.245E+00  1.217E+01  584.10 um    52.34 um    47.28 um  
 140.00 keV   1.292E+00  1.215E+01  620.69 um    55.06 um    49.94 um  
 150.00 keV   1.337E+00  1.212E+01  657.23 um    57.73 um    52.58 um  
 160.00 keV   1.381E+00  1.208E+01  693.75 um    60.38 um    55.19 um  
 170.00 keV   1.423E+00  1.204E+01  730.27 um    62.99 um    57.79 um  
 180.00 keV   1.465E+00  1.199E+01  766.80 um    65.58 um    60.38 um  
 200.00 keV   1.544E+00  1.189E+01  839.96 um    71.06 um    65.51 um  
 225.00 keV   1.638E+00  1.174E+01  931.72 um    77.94 um    71.88 um  
 250.00 keV   1.757E+00  1.159E+01    1.02 mm    84.64 um    78.19 um  
 275.00 keV   1.988E+00  1.143E+01    1.12 mm    91.14 um    84.43 um  
 300.00 keV   2.163E+00  1.127E+01    1.21 mm    97.44 um    90.59 um  
 325.00 keV   2.301E+00  1.111E+01    1.30 mm   103.61 um    96.68 um  
 350.00 keV   2.412E+00  1.095E+01    1.39 mm   109.66 um   102.74 um  
 375.00 keV   2.503E+00  1.079E+01    1.48 mm   115.62 um   108.77 um  
