 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\52_125.txt

 Ion = Tellurium [52] , Mass = 125 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.004E+00  1.234E+01  538.70 um    49.87 um    44.36 um  
 110.00 keV   1.053E+00  1.237E+01  580.56 um    53.11 um    47.47 um  
 120.00 keV   1.100E+00  1.238E+01  622.22 um    56.29 um    50.54 um  
 130.00 keV   1.145E+00  1.238E+01  663.74 um    59.41 um    53.58 um  
 140.00 keV   1.188E+00  1.237E+01  705.17 um    62.49 um    56.59 um  
 150.00 keV   1.230E+00  1.234E+01  746.53 um    65.51 um    59.57 um  
 160.00 keV   1.270E+00  1.231E+01  787.86 um    68.51 um    62.52 um  
 170.00 keV   1.309E+00  1.227E+01  829.18 um    71.47 um    65.46 um  
 180.00 keV   1.347E+00  1.223E+01  870.52 um    74.40 um    68.39 um  
 200.00 keV   1.420E+00  1.213E+01  953.31 um    80.60 um    74.20 um  
 225.00 keV   1.506E+00  1.200E+01    1.06 mm    88.39 um    81.40 um  
 250.00 keV   1.587E+00  1.185E+01    1.16 mm    95.99 um    88.55 um  
 275.00 keV   1.860E+00  1.169E+01    1.27 mm   103.36 um    95.62 um  
 300.00 keV   2.053E+00  1.153E+01    1.37 mm   110.50 um   102.58 um  
 325.00 keV   2.198E+00  1.138E+01    1.47 mm   117.46 um   109.46 um  
 350.00 keV   2.309E+00  1.122E+01    1.58 mm   124.30 um   116.30 um  
