 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\53_127.txt

 Ion = Iodine [53] , Mass = 127 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   2.005E+00  1.253E+01  508.67 um    46.05 um    40.86 um  
 110.00 keV   2.103E+00  1.257E+01  547.08 um    48.93 um    43.62 um  
 120.00 keV   2.196E+00  1.259E+01  585.18 um    51.73 um    46.33 um  
 130.00 keV   2.286E+00  1.259E+01  623.03 um    54.47 um    49.01 um  
 140.00 keV   2.372E+00  1.258E+01  660.67 um    57.16 um    51.64 um  
 150.00 keV   2.455E+00  1.256E+01  698.15 um    59.80 um    54.24 um  
 160.00 keV   2.536E+00  1.254E+01  735.48 um    62.39 um    56.82 um  
 170.00 keV   2.614E+00  1.250E+01  772.70 um    64.95 um    59.37 um  
 180.00 keV   2.690E+00  1.246E+01  809.83 um    67.47 um    61.89 um  
 200.00 keV   2.835E+00  1.237E+01  883.88 um    72.79 um    66.88 um  
 225.00 keV   3.007E+00  1.224E+01  976.20 um    79.42 um    73.01 um  
 250.00 keV   3.170E+00  1.210E+01    1.07 mm    85.83 um    79.05 um  
 275.00 keV   3.214E+00  1.195E+01    1.16 mm    92.08 um    85.03 um  
 300.00 keV   3.285E+00  1.180E+01    1.25 mm    98.22 um    90.98 um  
 325.00 keV   3.385E+00  1.164E+01    1.35 mm   104.26 um    96.90 um  
 350.00 keV   3.498E+00  1.149E+01    1.44 mm   110.19 um   102.78 um  
 375.00 keV   3.614E+00  1.134E+01    1.54 mm   116.02 um   108.63 um  
