 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\54_130.txt

 Ion = Xenon [54] , Mass = 130 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.818E+00  1.271E+01  510.34 um    46.10 um    40.81 um  
 110.00 keV   1.907E+00  1.276E+01  548.76 um    48.98 um    43.56 um  
 120.00 keV   1.991E+00  1.279E+01  586.87 um    51.78 um    46.28 um  
 130.00 keV   2.073E+00  1.280E+01  624.73 um    54.52 um    48.95 um  
 140.00 keV   2.151E+00  1.280E+01  662.39 um    57.21 um    51.58 um  
 150.00 keV   2.227E+00  1.278E+01  699.88 um    59.85 um    54.18 um  
 160.00 keV   2.300E+00  1.276E+01  737.24 um    62.45 um    56.76 um  
 170.00 keV   2.370E+00  1.274E+01  774.49 um    65.01 um    59.31 um  
 180.00 keV   2.439E+00  1.270E+01  811.64 um    67.53 um    61.83 um  
 200.00 keV   2.571E+00  1.262E+01  885.77 um    72.86 um    66.83 um  
 225.00 keV   2.727E+00  1.250E+01  978.20 um    79.53 um    72.97 um  
 250.00 keV   2.874E+00  1.237E+01    1.07 mm    85.96 um    79.03 um  
 275.00 keV   2.954E+00  1.222E+01    1.16 mm    92.24 um    85.03 um  
 300.00 keV   3.035E+00  1.208E+01    1.26 mm    98.39 um    90.99 um  
 325.00 keV   3.144E+00  1.193E+01    1.35 mm   104.43 um    96.90 um  
 350.00 keV   3.263E+00  1.177E+01    1.44 mm   110.36 um   102.78 um  
 375.00 keV   3.382E+00  1.162E+01    1.54 mm   116.20 um   108.62 um  
