 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\55_132.txt

 Ion = Cesium [55] , Mass = 132 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.122E+00  1.289E+01  524.26 um    47.86 um    42.30 um  
 110.00 keV   1.177E+00  1.295E+01  564.10 um    50.89 um    45.21 um  
 120.00 keV   1.229E+00  1.298E+01  603.69 um    53.86 um    48.07 um  
 130.00 keV   1.279E+00  1.300E+01  643.07 um    56.76 um    50.89 um  
 140.00 keV   1.328E+00  1.300E+01  682.29 um    59.62 um    53.69 um  
 150.00 keV   1.374E+00  1.300E+01  721.40 um    62.43 um    56.45 um  
 160.00 keV   1.419E+00  1.298E+01  760.43 um    65.21 um    59.20 um  
 170.00 keV   1.463E+00  1.296E+01  799.40 um    67.95 um    61.92 um  
 180.00 keV   1.505E+00  1.293E+01  838.33 um    70.66 um    64.62 um  
 200.00 keV   1.587E+00  1.285E+01  916.15 um    76.39 um    69.98 um  
 225.00 keV   1.683E+00  1.274E+01    1.01 mm    83.58 um    76.61 um  
 250.00 keV   1.774E+00  1.261E+01    1.11 mm    90.57 um    83.17 um  
 275.00 keV   1.830E+00  1.248E+01    1.21 mm    97.40 um    89.69 um  
 300.00 keV   1.886E+00  1.233E+01    1.31 mm   104.13 um    96.19 um  
 325.00 keV   1.974E+00  1.219E+01    1.41 mm   110.76 um   102.67 um  
 350.00 keV   2.077E+00  1.204E+01    1.51 mm   117.28 um   109.12 um  
 375.00 keV   2.186E+00  1.189E+01    1.61 mm   123.71 um   115.54 um  
