 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\56_134.txt

 Ion = Barium [56] , Mass = 134 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.015E+00  1.307E+01  458.51 um    41.82 um    36.90 um  
 110.00 keV   1.064E+00  1.313E+01  493.24 um    44.47 um    39.43 um  
 120.00 keV   1.112E+00  1.317E+01  527.73 um    47.05 um    41.92 um  
 130.00 keV   1.157E+00  1.320E+01  562.05 um    49.58 um    44.38 um  
 140.00 keV   1.201E+00  1.321E+01  596.23 um    52.07 um    46.81 um  
 150.00 keV   1.243E+00  1.321E+01  630.31 um    54.52 um    49.22 um  
 160.00 keV   1.284E+00  1.320E+01  664.31 um    56.94 um    51.61 um  
 170.00 keV   1.323E+00  1.318E+01  698.26 um    59.33 um    53.98 um  
 180.00 keV   1.361E+00  1.315E+01  732.18 um    61.69 um    56.34 um  
 200.00 keV   1.435E+00  1.309E+01  799.98 um    66.69 um    61.01 um  
 225.00 keV   1.522E+00  1.298E+01  884.81 um    72.96 um    66.79 um  
 250.00 keV   1.604E+00  1.286E+01  969.83 um    79.06 um    72.51 um  
 275.00 keV   1.725E+00  1.273E+01    1.06 mm    85.02 um    78.19 um  
 300.00 keV   1.916E+00  1.259E+01    1.14 mm    90.82 um    83.81 um  
 325.00 keV   2.068E+00  1.245E+01    1.23 mm    96.49 um    89.36 um  
 350.00 keV   2.191E+00  1.230E+01    1.31 mm   102.05 um    94.87 um  
 375.00 keV   2.294E+00  1.216E+01    1.40 mm   107.52 um   100.35 um  
