 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\57_137.txt

 Ion = Lanthanum [57] , Mass = 137 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.060E+00  1.324E+01  455.16 um    41.26 um    36.30 um  
 110.00 keV   1.111E+00  1.331E+01  489.36 um    43.84 um    38.78 um  
 120.00 keV   1.161E+00  1.336E+01  523.31 um    46.36 um    41.21 um  
 130.00 keV   1.208E+00  1.339E+01  557.07 um    48.83 um    43.61 um  
 140.00 keV   1.254E+00  1.341E+01  590.67 um    51.26 um    45.98 um  
 150.00 keV   1.298E+00  1.342E+01  624.15 um    53.65 um    48.33 um  
 160.00 keV   1.340E+00  1.341E+01  657.54 um    56.01 um    50.66 um  
 170.00 keV   1.382E+00  1.340E+01  690.87 um    58.33 um    52.97 um  
 180.00 keV   1.422E+00  1.338E+01  724.15 um    60.63 um    55.26 um  
 200.00 keV   1.499E+00  1.332E+01  790.63 um    65.49 um    59.80 um  
 225.00 keV   1.589E+00  1.323E+01  873.72 um    71.59 um    65.41 um  
 250.00 keV   1.675E+00  1.311E+01  956.93 um    77.52 um    70.97 um  
 275.00 keV   1.759E+00  1.299E+01    1.04 mm    83.31 um    76.48 um  
 300.00 keV   1.872E+00  1.286E+01    1.12 mm    88.98 um    81.96 um  
 325.00 keV   1.987E+00  1.272E+01    1.21 mm    94.55 um    87.39 um  
 350.00 keV   2.098E+00  1.258E+01    1.29 mm   100.01 um    92.79 um  
 375.00 keV   2.203E+00  1.244E+01    1.38 mm   105.40 um    98.16 um  
