 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\58_139.txt

 Ion = Cerium [58] , Mass = 139 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.011E+00  1.341E+01  453.34 um    41.02 um    36.02 um  
 110.00 keV   1.060E+00  1.349E+01  487.25 um    43.57 um    38.47 um  
 120.00 keV   1.107E+00  1.355E+01  520.91 um    46.07 um    40.87 um  
 130.00 keV   1.153E+00  1.359E+01  554.36 um    48.51 um    43.25 um  
 140.00 keV   1.196E+00  1.361E+01  587.65 um    50.91 um    45.59 um  
 150.00 keV   1.238E+00  1.362E+01  620.82 um    53.28 um    47.91 um  
 160.00 keV   1.279E+00  1.362E+01  653.89 um    55.61 um    50.21 um  
 170.00 keV   1.318E+00  1.361E+01  686.89 um    57.91 um    52.49 um  
 180.00 keV   1.356E+00  1.359E+01  719.83 um    60.18 um    54.76 um  
 200.00 keV   1.430E+00  1.354E+01  785.64 um    64.99 um    59.25 um  
 225.00 keV   1.516E+00  1.346E+01  867.86 um    71.01 um    64.79 um  
 250.00 keV   1.598E+00  1.335E+01  950.18 um    76.87 um    70.28 um  
 275.00 keV   1.676E+00  1.323E+01    1.03 mm    82.60 um    75.73 um  
 300.00 keV   1.854E+00  1.311E+01    1.12 mm    88.19 um    81.12 um  
 325.00 keV   2.010E+00  1.297E+01    1.20 mm    93.65 um    86.46 um  
 350.00 keV   2.139E+00  1.284E+01    1.28 mm    99.00 um    91.75 um  
 375.00 keV   2.248E+00  1.270E+01    1.36 mm   104.27 um    97.00 um  
