 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\59_142.txt

 Ion = Praseodymium [59] , Mass = 142 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.014E+00  1.358E+01  451.21 um    40.61 um    35.57 um  
 110.00 keV   1.063E+00  1.366E+01  484.74 um    43.12 um    37.97 um  
 120.00 keV   1.111E+00  1.373E+01  517.99 um    45.57 um    40.34 um  
 130.00 keV   1.156E+00  1.377E+01  551.03 um    47.97 um    42.67 um  
 140.00 keV   1.200E+00  1.380E+01  583.90 um    50.32 um    44.97 um  
 150.00 keV   1.242E+00  1.382E+01  616.63 um    52.64 um    47.24 um  
 160.00 keV   1.282E+00  1.383E+01  649.25 um    54.92 um    49.49 um  
 170.00 keV   1.322E+00  1.382E+01  681.79 um    57.18 um    51.73 um  
 180.00 keV   1.360E+00  1.381E+01  714.26 um    59.41 um    53.95 um  
 200.00 keV   1.434E+00  1.377E+01  779.10 um    64.11 um    58.34 um  
 225.00 keV   1.521E+00  1.369E+01  860.06 um    70.02 um    63.77 um  
 250.00 keV   1.603E+00  1.360E+01  941.06 um    75.75 um    69.13 um  
 275.00 keV   1.681E+00  1.349E+01    1.02 mm    81.35 um    74.46 um  
 300.00 keV   1.822E+00  1.337E+01    1.10 mm    86.83 um    79.73 um  
 325.00 keV   1.973E+00  1.324E+01    1.18 mm    92.19 um    84.96 um  
 350.00 keV   2.101E+00  1.311E+01    1.27 mm    97.44 um    90.13 um  
 375.00 keV   2.212E+00  1.298E+01    1.35 mm   102.60 um    95.27 um  
