 Event ID : 2
7.36237 -1.45075 55.36 22 0.8
171.788 2.86764 60.48 24 9.925
-7.62939e-06 -87.813 124.48 49 8.8
-36.8118 -15.5519 142.4 56 8.25
24.5412 -201.367 142.4 56 9.725
-41.72 117.568 152.64 60 8.575
-58.8988 73.7119 157.76 62 9.05
-14.7247 -206.899 157.76 62 9.3
-152.155 -121.886 160.32 63 8.35
-112.889 -206.899 162.88 64 8.85
-26.9953 -134.57 162.88 64 8.5
-49.0824 82.2132 162.88 64 8.275
-29.4494 -141.858 165.44 65 8.175
-83.44 -28.3038 191.04 75 9.15
117.798 53.8078 191.04 75 9.6
-19.6329 36.8052 208.96 82 48
-17.1788 35.456 208.96 82 1810.45
-14.7247 39.7067 219.2 86 47.95
-14.7247 36.8052 221.76 87 197.3
-17.1788 41.0558 226.88 89 151.5
-9.53674e-06 79.3117 229.44 90 41.275
-17.1788 32.5545 229.44 90 248.125
-4.90824 79.3117 229.44 90 40.35
-12.2706 35.456 255.04 100 52.8
-19.6329 31.2053 260.16 102 42.075
-12.2706 32.5545 265.28 104 136.3
-14.7247 31.2053 267.84 105 211.5
-9.81648 31.2053 308.8 121 47.175
-14.7247 28.3038 329.28 129 100.875
-12.2706 26.9547 357.44 140 136.55
-9.81648 28.3038 357.44 140 72.6
-17.1788 24.0532 390.72 153 49.675
-14.7247 -116.218 390.72 153 13.05
-7.36236 -100.565 393.28 154 15
-12.2706 24.0532 400.96 157 84.25
-12.2706 -120.469 416.32 163 13.575
88.3483 -14.2027 421.44 165 15.25
49.0824 -14.2027 424 166 13.35
98.1647 -19.8025 424 166 14.7
-19.6329 -22.704 444.48 174 14.975
-39.2659 -39.7067 447.04 175 14.05
-7.36236 24.0532 447.04 175 56.45
-14.7247 22.704 449.6 176 117.925
-63.8071 -39.7067 452.16 177 14.65
-9.81648 22.704 452.16 177 95.825
-58.8988 -87.813 454.72 178 13.725
76.0776 -15.5519 454.72 178 16.425
161.972 -65.3461 459.84 180 13.125
46.6282 -24.0532 459.84 180 13.775
17.1788 -41.0558 462.4 181 14.5
-14.7247 -79.3117 462.4 181 13.525
31.9035 -69.4613 462.4 181 14.575
83.44 -28.3038 464.96 182 14
17.1788 -60.9599 464.96 182 15.675
-100.619 -94.9652 467.52 183 14.85
9.81648 -19.8025 475.2 186 15.175
-7.36236 -26.9547 477.76 187 12.925
-9.81648 19.8025 482.88 189 69.05
-71.1694 -109.066 493.12 193 14.15
-103.073 28.3038 516.16 202 15.675
-51.5365 9.95207 516.16 202 14.825
-4.90825 19.8025 518.72 203 60.25
-7.36237 18.4534 523.84 205 72.05
-9.81648 -19.8025 526.4 206 15.55
-12.2706 -1.45075 526.4 206 13.875
-7.36237 15.5519 534.08 209 55.825
7.36234 77.9626 546.88 214 13.8
2.4541 52.4586 546.88 214 11.325
-112.889 -56.7093 549.44 215 15.275
-88.3482 11.3012 554.56 217 15.725
98.1647 19.8025 562.24 220 15.475
49.0824 28.3038 567.36 222 13.075
12.2706 100.565 572.48 224 15.35
-4.90825 14.2027 572.48 224 66.675
-17.1788 86.4639 572.48 224 11.9
-2.45413 52.4586 572.48 224 9.125
51.5365 9.95207 575.04 225 16.725
122.706 45.3065 575.04 225 14.825
93.2565 31.2053 575.04 225 15.7
17.1788 100.565 575.04 225 16.925
-2.45413 35.456 575.04 225 10.75
125.16 24.0532 580.16 227 16.35
-2.45413 15.5519 585.28 229 49.9
-2.45412 100.565 587.84 230 17.7
76.0776 15.5519 590.4 231 15.7
-4.90825 11.3012 592.96 232 48.3
73.6235 22.704 595.52 233 15.325
-137.431 -96.3821 603.2 236 15.2
-171.788 -116.354 605.76 237 15.025
-22.0871 120.469 610.88 239 17.05
-2.45413 9.95207 628.8 246 61.85
-142.339 82.3487 636.48 249 15.425
-1.33514e-05 11.3012 636.48 249 53.5
-29.4494 181.395 636.48 249 15.5
-95.7106 94.9652 641.6 251 14.675
-201.238 -150.359 644.16 252 16.55
-24.5412 240.904 646.72 253 16.35
-34.3576 167.362 662.08 259 14.25
-186.513 96.3821 664.64 260 14.475
