 Event ID : 28
-115.344 -58.0584 105.6 65 32.6
144.793 -7.05056 105.6 65 983.4
134.976 -9.95207 105.6 65 1250.2
137.431 -11.3012 105.6 65 3591.4
139.885 -9.95207 105.6 65 3246.8
142.339 -11.3012 105.6 65 523.5
144.793 -9.95207 105.6 65 637.3
-95.7106 -49.5571 105.6 65 32.6
-93.2565 -48.208 105.6 65 32.6
-120.252 -52.4586 105.6 65 32.6
-117.798 -56.7093 105.6 65 32.6
-117.798 -53.8078 105.6 65 32.6
154.609 1.45075 105.6 65 113.6
-115.344 -52.4586 105.6 65 32.6
-112.889 -53.8078 105.6 65 32.6
-112.889 -56.7093 105.6 65 32.6
-95.7106 -58.0584 105.6 65 32.6
-95.7106 -52.4586 105.6 65 32.6
-98.1647 -65.2106 105.6 65 32.6
-95.7106 -60.9599 105.6 65 32.6
-95.7106 -66.5598 105.6 65 32.6
-161.972 -116.354 105.6 65 32.6
-157.064 -124.855 105.6 65 32.6
152.155 2.7999 105.6 65 163.1
132.522 -11.3012 109.76 66 1510.7
132.522 -14.2027 109.76 66 3100.4
127.614 -22.704 113.92 67 99.2
125.16 -18.4534 113.92 67 3497
122.706 -22.704 113.92 67 1975.1
122.706 -19.8025 113.92 67 1897.1
117.798 -19.8025 113.92 67 148
132.522 -28.3038 113.92 67 120.8
130.068 -15.5519 113.92 67 3207.6
127.614 -14.2027 113.92 67 908.3
125.16 -15.5519 113.92 67 531.1
120.252 -24.0532 118.08 68 2925.3
49.0824 -14.2027 118.08 68 126.1
115.344 -32.5545 118.08 68 2307.7
56.4447 -7.05056 118.08 68 92.6
117.798 -28.3038 118.08 68 2853.4
117.798 -31.2053 118.08 68 1573.4
120.252 -26.9547 118.08 68 1289.8
112.889 -39.7067 122.24 69 1884.2
29.4494 -22.704 122.24 69 85.5
78.5318 -36.8052 122.24 69 109.2
112.889 -36.8052 122.24 69 1198.7
115.344 -35.456 122.24 69 3085.2
115.344 -43.9573 126.4 70 984.9
112.889 -45.3065 126.4 70 2018.1
112.889 -48.208 126.4 70 2076.9
115.344 -41.0558 126.4 70 1581.7
115.344 -49.5571 130.56 71 793
112.889 -53.8078 130.56 71 1247.5
115.344 -52.4586 130.56 71 1024.9
115.344 -58.0584 130.56 71 1729.3
115.344 -60.9599 130.56 71 1608.3
46.6282 60.9599 130.56 71 94.8
66.2612 35.456 134.72 72 95.9
117.798 -62.3091 134.72 72 753.4
117.798 -73.8474 138.88 73 331.3
122.706 -65.3461 138.88 73 328.8
122.706 -82.3487 143.04 74 137.5
127.614 -73.8474 143.04 74 523.1
122.706 -70.8781 143.04 74 3771.2
127.614 -79.3795 147.2 75 3436
132.522 -82.3487 151.36 76 1504.2
137.431 -90.85 151.36 76 3109.9
132.522 -87.8808 151.36 76 2444.1
142.339 -87.8808 155.52 77 1086.2
147.247 -90.85 155.52 77 1166.2
152.155 -99.3513 163.84 79 1641
176.696 -96.3821 176.32 82 2484.2
181.605 -99.3513 180.48 83 1218.8
196.329 -96.3821 188.8 85 720
201.238 -87.8808 192.96 86 2197.4
206.146 -90.85 197.12 87 616.2
211.054 -87.8808 197.12 87 314.1
215.962 -79.3795 205.44 89 2182.1
215.962 -73.8474 205.44 89 950.2
220.871 -65.3461 209.6 90 450.9
220.871 -70.8781 209.6 90 2189.1
225.779 -56.8448 213.76 91 817.1
225.779 -62.3768 213.76 91 2571.1
230.687 -53.8755 217.92 92 2171.1
230.687 -48.3434 222.08 93 1210.4
235.595 -45.3742 222.08 93 1381
235.595 -39.8421 226.24 94 2158.8
230.687 -36.8729 226.24 94 170.8
235.595 -28.3716 230.4 95 2535
230.687 -19.8703 238.72 97 286.4
235.595 -11.369 238.72 97 2168.7
230.687 -14.3382 238.72 97 454.3
88.3482 116.218 242.88 98 106.9
235.595 -5.83687 242.88 98 723.9
230.687 -2.86764 247.04 99 1437.8
230.687 2.86764 247.04 99 1404.9
225.779 5.83687 251.2 100 1059.6
215.962 22.8395 259.52 102 1965.7
215.962 28.3716 259.52 102 420
206.146 28.3716 263.68 103 1269
211.054 31.3408 263.68 103 990.3
196.329 39.8421 272 105 1348.2
186.513 39.8421 272 105 1044.1
186.513 45.3742 276.16 106 1714.6
181.605 48.3434 276.16 106 891.1
176.697 45.3742 280.32 107 1985.1
171.788 48.3434 280.32 107 1305.3
166.88 45.3742 280.32 107 1007.1
161.972 48.3434 284.48 108 1598.2
157.064 45.3742 288.64 109 964.1
152.155 48.3434 288.64 109 1718.2
137.431 73.8474 438.4 145 515.8
41.72 52.4586 455.04 149 117.7
110.435 -49.5571 455.04 149 136.8
12.2706 -9.95207 455.04 149 459.8
130.068 -24.0532 484.16 156 107
201.238 19.8703 621.44 189 159.3
80.9859 32.5545 650.56 196 98.2
117.798 -36.8052 675.52 202 136.8
161.972 36.8729 696.32 207 116.7
107.981 141.858 737.92 217 263.4
107.981 147.39 737.92 217 154.2
98.1647 141.858 783.68 228 504.9
100.619 -26.9547 783.68 228 86.8
24.5412 45.3065 912.64 259 85.7
29.4494 133.221 1357.76 366 25.3
9.81647 260.876 1728 455 23.1
