 Event ID : 1
90.8024 26.9547 524 262 3.55223
88.3483 22.704 540 270 1.90938
85.8941 24.0532 548 274 4.94061
83.44 22.704 554 277 11.4542
78.5318 22.704 572 286 4.02768
78.5318 19.8025 578 289 1.63903
73.6235 19.8025 596 298 3.4618
71.1694 18.4534 600 300 1.343
68.7153 19.8025 604 302 2.76832
66.2612 18.4534 620 310 3.42725
63.8071 19.8025 626 313 2.9549
61.3529 18.4534 636 318 7.38323
61.3529 15.5519 636 318 6.72916
56.4447 15.5519 656 328 15.6248
51.5365 15.5519 670 335 11.0263
49.0824 14.2027 680 340 3.87906
44.1741 11.3012 698 349 1.42164
41.72 9.95207 710 355 3.71394
39.2659 11.3012 716 358 6.57161
36.8118 7.05056 734 367 8.64846
29.4494 11.3012 734 367 2.11826
36.8118 9.95207 734 367 17.6578
34.3577 11.3012 736 368 13.4277
31.9035 9.95207 736 368 35.1754
31.9035 7.05056 736 368 21.9302
34.3577 5.70141 738 369 6.52435
29.4494 5.70141 758 379 1.13677
22.0871 7.05056 776 388 5.34603
19.6329 5.70141 790 395 18.7305
14.7247 5.70141 804 402 2.74439
14.7247 2.7999 806 403 1.31592
12.2706 1.45075 816 408 1.31256
9.81648 2.7999 826 413 1.73326
7.36237 1.45075 832 416 3.24738
4.90825 2.7999 842 421 4.71839
2.45413 1.45075 852 426 10.2162
-2.45413 1.45075 854 427 3.722
-2.45413 -1.45075 856 428 16.5054
-7.36237 -1.45075 858 429 28.8392
-4.90825 -2.7999 858 429 1.97497
-7.36237 1.45075 858 429 5.16092
-9.81648 -2.7999 860 430 29.516
-12.2706 -1.45075 862 431 18.9511
-14.7247 -2.7999 862 431 14.0594
-12.2706 1.45075 862 431 17.6402
-9.81648 2.7999 864 432 2.4654
-17.1788 -1.45075 864 432 11.6505
2.45413 -1.45075 866 433 3.18648
-24.5412 -5.70141 866 433 2.84915
-17.1788 1.45075 866 433 2.32485
-19.6329 -2.7999 868 434 16.2838
-22.0871 -1.45075 868 434 40.0906
-24.5412 -2.7999 870 435 6.90394
-26.9953 -1.45075 870 435 2.01691
-29.4494 -2.7999 874 437 9.59349
-29.4494 -5.70141 874 437 6.06981
-31.9035 -1.45075 874 437 6.63465
-41.72 -1.45075 876 438 1.51011
-36.8118 -7.05056 876 438 4.99207
-34.3577 -2.7999 876 438 10.4887
-34.3577 -5.70141 876 438 11.3471
-39.2659 -2.7999 878 439 8.80266
-36.8118 -1.45075 878 439 5.46643
-39.2659 -5.70141 880 440 7.84164
-44.1741 -2.7999 882 441 3.58786
-44.1741 -5.70141 882 441 4.44535
-41.72 -7.05056 882 441 4.71239
-46.6282 -7.05056 884 442 6.57552
-49.0824 -5.70141 884 442 11.4531
-49.0824 -2.7999 886 443 4.77406
-51.5365 -7.05056 888 444 26.4543
-53.9906 -5.70141 888 444 2.90791
-46.6282 -1.45075 888 444 1.30321
-56.4447 -7.05056 890 445 25.0242
-58.8988 -5.70141 892 446 3.63379
-63.8071 -11.3012 892 446 1.43212
-61.353 -7.05056 894 447 7.84518
-63.8071 -5.70141 896 448 5.74609
-66.2612 -7.05056 896 448 35.5632
-68.7153 -11.3012 896 448 2.7475
-66.2612 -9.95207 896 448 6.14941
-1.33514e-05 -2.7999 898 449 3.94047
-68.7153 -5.70141 900 450 7.51673
-71.1694 -7.05056 900 450 21.0844
-73.6235 -11.3012 900 450 8.39175
-71.1694 -9.95207 900 450 21.1011
-73.6235 -5.70141 902 451 18.0177
-76.0777 -9.95207 902 451 12.0527
-1.33514e-05 -5.70141 904 452 11.4435
-80.9859 -7.05056 904 452 2.0473
-76.0777 -7.05056 904 452 3.44704
-78.5318 -11.3012 906 453 4.34702
-80.9859 -9.95207 906 453 5.83573
-83.44 -11.3012 908 454 2.45937
-85.8941 -9.95207 910 455 11.6868
-88.3482 -11.3012 912 456 25.2051
-90.8024 -9.95207 912 456 7.4325
-93.2565 -14.2027 912 456 3.04158
-93.2565 -11.3012 914 457 43.2024
-95.7106 -9.95207 916 458 42.4483
-90.8024 -7.05056 916 458 1.41594
-100.619 -9.95207 918 459 5.62854
-98.1647 -11.3012 918 459 16.4191
-98.1647 -14.2027 918 459 1.17243
-103.073 -14.2027 920 460 6.32322
-103.073 -11.3012 920 460 87.5513
-100.619 -15.5519 920 460 2.18059
-107.981 -11.3012 922 461 17.538
-105.527 -15.5519 922 461 6.62408
-107.981 -14.2027 924 462 12.9392
-105.527 -9.95207 924 462 7.66427
-112.889 -11.3012 926 463 2.77953
-110.435 -15.5519 926 463 7.51154
-112.889 -14.2027 928 464 25.1438
-110.435 -9.95207 928 464 3.89745
-115.344 -15.5519 928 464 3.11165
-117.798 -11.3012 930 465 1.93264
-117.798 -14.2027 930 465 15.6602
-120.252 -15.5519 932 466 3.65895
-122.706 -11.3012 932 466 1.02114
-122.706 -14.2027 934 467 24.0532
-2.45413 -9.95207 934 467 6.61209
-127.614 -11.3012 934 467 3.04036
-125.16 -18.4534 936 468 2.24404
-7.36236 -7.05056 936 468 3.73669
-4.90825 -5.70141 936 468 8.8449
-2.45413 -7.05056 936 468 40.047
-127.614 -14.2027 936 468 6.38202
-125.16 -15.5519 936 468 14.8309
-130.068 -15.5519 938 469 41.2257
-132.522 -14.2027 940 470 10.5813
-139.885 -18.4534 940 470 1.03917
-134.976 -18.4534 940 470 5.37059
-137.431 -14.2027 942 471 24.0303
-134.976 -15.5519 942 471 23.1565
-130.068 -18.4534 942 471 2.17082
-7.36236 -9.95207 968 484 1.31061
-4.90825 -11.3012 974 487 1.73908
-9.81648 -11.3012 994 497 1.63251
-9.81648 -14.2027 998 499 1.25638
-7.36237 -15.5519 998 499 1.30623
