==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 07, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Helium (gas).txt

 Ion = Beryllium [4] , Mass = 10 amu

 Target Density =  1.3000E-04 g/cm3 = 1.9557E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.707E-03  6.780E-03  708.86 um   154.14 um   125.94 um  
  11.00 keV   4.937E-03  6.463E-03  788.96 um   167.52 um   138.74 um  
  12.00 keV   5.157E-03  6.178E-03  869.83 um   180.56 um   151.52 um  
  13.00 keV   5.367E-03  5.922E-03  951.30 um   193.26 um   164.25 um  
  14.00 keV   5.570E-03  5.690E-03    1.03 mm   205.63 um   176.91 um  
  15.00 keV   5.765E-03  5.478E-03    1.12 mm   217.68 um   189.48 um  
  16.00 keV   5.954E-03  5.283E-03    1.20 mm   229.41 um   201.96 um  
  17.00 keV   6.138E-03  5.104E-03    1.28 mm   240.84 um   214.32 um  
  18.00 keV   6.315E-03  4.939E-03    1.36 mm   251.96 um   226.55 um  
  20.00 keV   6.657E-03  4.643E-03    1.53 mm   273.76 um   250.66 um  
  22.50 keV   6.781E-03  4.326E-03    1.74 mm   300.18 um   280.21 um  
  25.00 keV   7.083E-03  4.056E-03    1.95 mm   325.55 um   309.21 um  
  27.50 keV   7.458E-03  3.821E-03    2.16 mm   349.44 um   337.45 um  
  30.00 keV   7.858E-03  3.616E-03    2.37 mm   371.79 um   364.81 um  
  32.50 keV   8.256E-03  3.435E-03    2.57 mm   392.67 um   391.19 um  
  35.00 keV   8.640E-03  3.273E-03    2.77 mm   412.21 um   416.59 um  
