        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.133E-01  6.136E-01  565.88 um    75.53 um    71.55 um  
  11.00 keV   6.432E-01  5.837E-01  626.23 um    81.41 um    78.10 um  
  12.00 keV   6.718E-01  5.569E-01  686.63 um    87.05 um    84.54 um  
  13.00 keV   6.993E-01  5.329E-01  746.98 um    92.46 um    90.86 um  
  14.00 keV   7.257E-01  5.113E-01  807.20 um    97.65 um    97.06 um  
  15.00 keV   7.511E-01  4.915E-01  867.25 um   102.64 um   103.13 um  
  16.00 keV   7.758E-01  4.735E-01  927.06 um   107.44 um   109.08 um  
  17.00 keV   7.997E-01  4.569E-01  986.60 um   112.07 um   114.90 um  
  18.00 keV   8.228E-01  4.417E-01    1.05 mm   116.52 um   120.60 um  
  20.00 keV   8.673E-01  4.144E-01    1.16 mm   125.47 um   131.65 um  
  22.50 keV   9.157E-01  3.854E-01    1.31 mm   136.07 um   144.82 um  
  25.00 keV   9.409E-01  3.607E-01    1.45 mm   145.92 um   157.42 um  
  27.50 keV   9.634E-01  3.393E-01    1.60 mm   155.23 um   169.58 um  
  30.00 keV   9.848E-01  3.207E-01    1.74 mm   164.06 um   181.36 um  
  32.50 keV   1.006E+00  3.042E-01    1.89 mm   172.47 um   192.76 um  
  35.00 keV   1.027E+00  2.896E-01    2.03 mm   180.49 um   203.82 um  
  37.50 keV   1.049E+00  2.765E-01    2.17 mm   188.13 um   214.55 um  
  40.00 keV   1.071E+00  2.647E-01    2.31 mm   195.43 um   224.96 um  
  45.00 keV   1.116E+00  2.441E-01    2.59 mm   210.85 um   244.85 um  
  50.00 keV   1.164E+00  2.269E-01    2.87 mm   224.82 um   263.55 um  
  55.00 keV   1.212E+00  2.122E-01    3.14 mm   237.51 um   281.13 um  
  60.00 keV   1.262E+00  1.995E-01    3.40 mm   249.08 um   297.64 um  
  65.00 keV   1.313E+00  1.884E-01    3.66 mm   259.66 um   313.17 um  
