   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.947E-01  1.015E+00  354.85 um    76.77 um    61.96 um  
  11.00 keV   6.238E-01  9.770E-01  392.20 um    83.12 um    67.64 um  
  12.00 keV   6.515E-01  9.421E-01  429.84 um    89.33 um    73.29 um  
  13.00 keV   6.781E-01  9.099E-01  467.73 um    95.40 um    78.93 um  
  14.00 keV   7.037E-01  8.803E-01  505.81 um   101.32 um    84.54 um  
  15.00 keV   7.284E-01  8.528E-01  544.06 um   107.11 um    90.11 um  
  16.00 keV   7.523E-01  8.273E-01  582.44 um   112.77 um    95.66 um  
  17.00 keV   7.754E-01  8.035E-01  620.91 um   118.30 um   101.16 um  
  18.00 keV   7.979E-01  7.813E-01  659.45 um   123.70 um   106.62 um  
  20.00 keV   8.411E-01  7.410E-01  736.66 um   134.34 um   117.43 um  
  22.50 keV   8.921E-01  6.969E-01  833.20 um   147.06 um   130.67 um  
  25.00 keV   9.369E-01  6.586E-01  929.64 um   159.10 um   143.61 um  
  27.50 keV   9.846E-01  6.249E-01    1.03 mm   170.51 um   156.22 um  
  30.00 keV   1.038E+00  5.950E-01    1.12 mm   181.27 um   168.49 um  
  32.50 keV   1.092E+00  5.683E-01    1.21 mm   191.38 um   180.37 um  
  35.00 keV   1.143E+00  5.442E-01    1.31 mm   200.89 um   191.86 um  
  37.50 keV   1.190E+00  5.224E-01    1.40 mm   209.88 um   202.98 um  
  40.00 keV   1.234E+00  5.025E-01    1.49 mm   218.40 um   213.73 um  
  45.00 keV   1.307E+00  4.675E-01    1.67 mm   234.86 um   234.28 um  
  50.00 keV   1.366E+00  4.377E-01    1.84 mm   249.96 um   253.69 um  
  55.00 keV   1.413E+00  4.120E-01    2.01 mm   264.00 um   272.15 um  
  60.00 keV   1.451E+00  3.895E-01    2.19 mm   277.19 um   289.80 um  
  65.00 keV   1.483E+00  3.697E-01    2.36 mm   289.67 um   306.76 um  
