        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.392E-01  1.390E-01    1.31 mm   167.48 um   177.46 um  
  11.00 keV   4.606E-01  1.304E-01    1.44 mm   177.28 um   190.94 um  
  12.00 keV   4.811E-01  1.228E-01    1.56 mm   186.30 um   203.69 um  
  13.00 keV   5.020E-01  1.163E-01    1.68 mm   194.63 um   215.77 um  
  14.00 keV   5.223E-01  1.104E-01    1.80 mm   202.35 um   227.22 um  
  15.00 keV   5.420E-01  1.052E-01    1.92 mm   209.51 um   238.08 um  
  16.00 keV   5.612E-01  1.005E-01    2.03 mm   216.18 um   248.40 um  
  17.00 keV   5.799E-01  9.627E-02    2.14 mm   222.41 um   258.21 um  
  18.00 keV   5.981E-01  9.241E-02    2.25 mm   228.25 um   267.56 um  
  20.00 keV   6.333E-01  8.564E-02    2.47 mm   239.78 um   284.99 um  
  22.50 keV   6.753E-01  7.860E-02    2.72 mm   252.87 um   304.71 um  
  25.00 keV   7.155E-01  7.273E-02    2.97 mm   264.25 um   322.47 um  
  27.50 keV   7.541E-01  6.776E-02    3.20 mm   274.27 um   338.57 um  
  30.00 keV   7.913E-01  6.348E-02    3.43 mm   283.17 um   353.24 um  
  32.50 keV   8.273E-01  5.977E-02    3.64 mm   291.14 um   366.69 um  
  35.00 keV   8.623E-01  5.651E-02    3.85 mm   298.33 um   379.08 um  
  37.50 keV   8.963E-01  5.361E-02    4.06 mm   304.86 um   390.53 um  
  40.00 keV   9.294E-01  5.103E-02    4.25 mm   310.82 um   401.16 um  
  45.00 keV   9.933E-01  4.661E-02    4.63 mm   323.46 um   420.31 um  
  50.00 keV   1.055E+00  4.295E-02    4.99 mm   334.24 um   437.12 um  
  55.00 keV   1.114E+00  3.987E-02    5.33 mm   343.57 um   452.03 um  
  60.00 keV   1.171E+00  3.724E-02    5.65 mm   351.75 um   465.37 um  
  65.00 keV   1.226E+00  3.496E-02    5.96 mm   358.99 um   477.40 um  
